"DATETIME,TIME,LON,LAT,TOTAL_COLUMN_OZONE"
"""OCT-2004"",12692,10,35.75,352.668"
"""NOV-2004"",12723,10,35.75,369.279"
"""DEC-2004"",12753,10,35.75,375.099"
"""JAN-2005"",12784,10,35.75,398.483"
"""FEB-2005"",12815,10,35.75,427.218"
"""MAR-2005"",12843,10,35.75,417.496"
"""APR-2005"",12874,10,35.75,419.319"
"""MAY-2005"",12904,10,35.75,401.404"
"""JUN-2005"",12935,10,35.75,405.664"
"""JUL-2005"",12965,10,35.75,371.419"
"""AUG-2005"",12996,10,35.75,376"
"""SEP-2005"",13027,10,35.75,361.978"
"""OCT-2005"",13057,10,35.75,348.922"
"""NOV-2005"",13088,10,35.75,349.862"
"""DEC-2005"",13118,10,35.75,384.938"
"""JAN-2006"",13149,10,35.75,399.933"
"""FEB-2006"",13180,10,35.75,389.221"
"""MAR-2006"",13208,10,35.75,406.094"
"""APR-2006"",13239,10,35.75,405.383"
"""MAY-2006"",13269,10,35.75,409.706"
"""JUN-2006"",13300,10,35.75,402.858"
"""JUL-2006"",13330,10,35.75,388.308"
"""AUG-2006"",13361,10,35.75,379.275"
"""SEP-2006"",13392,10,35.75,368.415"
"""OCT-2006"",13422,10,35.75,353.733"
"""NOV-2006"",13453,10,35.75,367.957"
"""DEC-2006"",13483,10,35.75,367.942"
"""JAN-2007"",13514,10,35.75,364.788"
"""FEB-2007"",13545,10,35.75,412.273"
"""MAR-2007"",13573,10,35.75,442.778"
"""APR-2007"",13604,10,35.75,435.04"
"""MAY-2007"",13634,10,35.75,421.121"
"""JUN-2007"",13665,10,35.75,391.78"
"""JUL-2007"",13695,10,35.75,369"
"""AUG-2007"",13726,10,35.75,365.346"
"""SEP-2007"",13757,10,35.75,363.237"
"""OCT-2007"",13787,10,35.75,364.929"
"""NOV-2007"",13818,10,35.75,354.453"
"""DEC-2007"",13848,10,35.75,370.608"
"""JAN-2008"",13879,10,35.75,369.892"
"""FEB-2008"",13910,10,35.75,396.482"
"""MAR-2008"",13939,10,35.75,419.675"
"""APR-2008"",13970,10,35.75,406.569"
"""MAY-2008"",14000,10,35.75,404.467"
"""JUN-2008"",14031,10,35.75,393.082"
"""JUL-2008"",14061,10,35.75,371.054"
"""AUG-2008"",14092,10,35.75,368.275"
"""SEP-2008"",14123,10,35.75,359.707"
"""OCT-2008"",14153,10,35.75,354.504"
"""NOV-2008"",14184,10,35.75,363.196"
"""DEC-2008"",14214,10,35.75,387.201"
"""JAN-2009"",14245,10,35.75,392.542"
"""FEB-2009"",14276,10,35.75,422.994"
"""MAR-2009"",14304,10,35.75,423.652"
"""APR-2009"",14335,10,35.75,449.423"
"""MAY-2009"",14365,10,35.75,418.774"
"""JUN-2009"",14396,10,35.75,398.714"
"""JUL-2009"",14426,10,35.75,379.156"
"""AUG-2009"",14457,10,35.75,369.238"
"""SEP-2009"",14488,10,35.75,370.088"
"""OCT-2009"",14518,10,35.75,356.816"
"""NOV-2009"",14549,10,35.75,351.583"
"""DEC-2009"",14579,10,35.75,365.007"
"""JAN-2010"",14610,10,35.75,404.694"
