"DATETIME,TIME,LON,LAT,CO2_PPMV_UPPERTROP"
"""SEP-2002"",0,10.5,35.5,372.694"
"""OCT-2002"",1,10.5,35.5,373.234"
"""NOV-2002"",2,10.5,35.5,373.615"
"""DEC-2002"",3,10.5,35.5,374.049"
"""JAN-2003"",4,10.5,35.5,374.569"
"""FEB-2003"",5,10.5,35.5,374.871"
"""MAR-2003"",6,10.5,35.5,376.159"
"""APR-2003"",7,10.5,35.5,376.238"
"""MAY-2003"",8,10.5,35.5,377.271"
"""JUN-2003"",9,10.5,35.5,377.712"
"""JUL-2003"",10,10.5,35.5,376.398"
"""AUG-2003"",11,10.5,35.5,375.455"
"""SEP-2003"",12,10.5,35.5,375.627"
"""OCT-2003"",13,10.5,35.5,375.354"
"""NOV-2003"",14,10.5,35.5,376.361"
"""DEC-2003"",15,10.5,35.5,375.331"
"""JAN-2004"",16,10.5,35.5,376.626"
"""FEB-2004"",17,10.5,35.5,377.01"
"""MAR-2004"",18,10.5,35.5,376.689"
"""APR-2004"",19,10.5,35.5,378.065"
"""MAY-2004"",20,10.5,35.5,378.814"
"""JUN-2004"",21,10.5,35.5,379.62"
"""JUL-2004"",22,10.5,35.5,378.498"
"""AUG-2004"",23,10.5,35.5,377.548"
"""SEP-2004"",24,10.5,35.5,377.249"
"""OCT-2004"",25,10.5,35.5,377.189"
"""NOV-2004"",26,10.5,35.5,377.112"
"""DEC-2004"",27,10.5,35.5,377.332"
"""JAN-2005"",28,10.5,35.5,378.148"
"""FEB-2005"",29,10.5,35.5,379.477"
"""MAR-2005"",30,10.5,35.5,379.349"
"""APR-2005"",31,10.5,35.5,379.526"
"""MAY-2005"",32,10.5,35.5,381.123"
"""JUN-2005"",33,10.5,35.5,381.253"
"""JUL-2005"",34,10.5,35.5,380.521"
"""AUG-2005"",35,10.5,35.5,379.826"
"""SEP-2005"",36,10.5,35.5,379.293"
"""OCT-2005"",37,10.5,35.5,379.568"
"""NOV-2005"",38,10.5,35.5,379.896"
"""DEC-2005"",39,10.5,35.5,380.249"
"""JAN-2006"",40,10.5,35.5,381.011"
"""FEB-2006"",41,10.5,35.5,380.697"
"""MAR-2006"",42,10.5,35.5,382.102"
"""APR-2006"",43,10.5,35.5,382.243"
"""MAY-2006"",44,10.5,35.5,383.481"
"""JUN-2006"",45,10.5,35.5,383.179"
"""JUL-2006"",46,10.5,35.5,382.441"
"""AUG-2006"",47,10.5,35.5,381.817"
"""SEP-2006"",48,10.5,35.5,381.884"
"""OCT-2006"",49,10.5,35.5,381.261"
"""NOV-2006"",50,10.5,35.5,381.65"
"""DEC-2006"",51,10.5,35.5,381.981"
"""JAN-2007"",52,10.5,35.5,382.677"
"""FEB-2007"",53,10.5,35.5,382.352"
"""MAR-2007"",54,10.5,35.5,383.832"
"""APR-2007"",55,10.5,35.5,384.124"
"""MAY-2007"",56,10.5,35.5,385.269"
"""JUN-2007"",57,10.5,35.5,384.75"
"""JUL-2007"",58,10.5,35.5,384.203"
"""AUG-2007"",59,10.5,35.5,383.191"
"""SEP-2007"",60,10.5,35.5,382.913"
"""OCT-2007"",61,10.5,35.5,383.38"
"""NOV-2007"",62,10.5,35.5,383.598"
"""DEC-2007"",63,10.5,35.5,383.467"
"""JAN-2008"",64,10.5,35.5,384.363"
"""FEB-2008"",65,10.5,35.5,385.053"
"""MAR-2008"",66,10.5,35.5,385.449"
"""APR-2008"",67,10.5,35.5,386.31"
"""MAY-2008"",68,10.5,35.5,386.377"
"""JUN-2008"",69,10.5,35.5,387.351"
"""JUL-2008"",70,10.5,35.5,386.571"
"""AUG-2008"",71,10.5,35.5,385.405"
"""SEP-2008"",72,10.5,35.5,384.608"
"""OCT-2008"",73,10.5,35.5,384.314"
"""NOV-2008"",74,10.5,35.5,384.994"
"""DEC-2008"",75,10.5,35.5,385.713"
"""JAN-2009"",76,10.5,35.5,386.235"
"""FEB-2009"",77,10.5,35.5,387.696"
"""MAR-2009"",78,10.5,35.5,387.721"
"""APR-2009"",79,10.5,35.5,388.191"
"""MAY-2009"",80,10.5,35.5,389.078"
"""JUN-2009"",81,10.5,35.5,389.634"
"""JUL-2009"",82,10.5,35.5,388.547"
"""AUG-2009"",83,10.5,35.5,387.128"
"""SEP-2009"",84,10.5,35.5,386.882"
"""OCT-2009"",85,10.5,35.5,386.526"
"""NOV-2009"",86,10.5,35.5,386.984"
"""DEC-2009"",87,10.5,35.5,387.505"
"""JAN-2010"",88,10.5,35.5,388.229"
"""FEB-2010"",89,10.5,35.5,388.21"
"""MAR-2010"",90,10.5,35.5,389.026"
"""APR-2010"",91,10.5,35.5,389.519"
"""MAY-2010"",92,10.5,35.5,390.047"
"""JUN-2010"",93,10.5,35.5,390.508"
"""JUL-2010"",94,10.5,35.5,390.925"
"""AUG-2010"",95,10.5,35.5,389.677"
"""SEP-2010"",96,10.5,35.5,388.363"
"""OCT-2010"",97,10.5,35.5,388.991"
"""NOV-2010"",98,10.5,35.5,389.259"
"""DEC-2010"",99,10.5,35.5,389.433"
"""JAN-2011"",100,10.5,35.5,389.432"
"""FEB-2011"",101,10.5,35.5,390.833"
"""MAR-2011"",102,10.5,35.5,391.241"
"""APR-2011"",103,10.5,35.5,391.77"
"""MAY-2011"",104,10.5,35.5,392.605"
"""JUN-2011"",105,10.5,35.5,392.081"
"""JUL-2011"",106,10.5,35.5,391.926"
"""AUG-2011"",107,10.5,35.5,391.122"
"""SEP-2011"",108,10.5,35.5,390.516"
"""OCT-2011"",109,10.5,35.5,390.189"
"""NOV-2011"",110,10.5,35.5,390.718"
"""DEC-2011"",111,10.5,35.5,391.165"
"""JAN-2012"",112,10.5,35.5,390.889"
"""FEB-2012"",113,10.5,35.5,391.944"
"""MAR-2012"",114,10.5,35.5,392.569"
"""APR-2012"",115,10.5,35.5,392.883"
"""MAY-2012"",116,10.5,35.5,394.599"
"""JUN-2012"",117,10.5,35.5,395.269"
"""JUL-2012"",118,10.5,35.5,393.577"
"""AUG-2012"",119,10.5,35.5,392.83"
"""SEP-2012"",120,10.5,35.5,392.436"
"""OCT-2012"",121,10.5,35.5,392.361"
"""NOV-2012"",122,10.5,35.5,392.442"
"""DEC-2012"",123,10.5,35.5,393.295"
"""JAN-2013"",124,10.5,35.5,393.314"
"""FEB-2013"",125,10.5,35.5,394.078"
"""MAR-2013"",126,10.5,35.5,394.64"
"""APR-2013"",127,10.5,35.5,395.337"
"""MAY-2013"",128,10.5,35.5,396.458"
"""JUN-2013"",129,10.5,35.5,397.115"
"""JUL-2013"",130,10.5,35.5,395.911"
"""AUG-2013"",131,10.5,35.5,394.833"
"""SEP-2013"",132,10.5,35.5,393.921"
"""OCT-2013"",133,10.5,35.5,394.288"
"""NOV-2013"",134,10.5,35.5,394.902"
"""DEC-2013"",135,10.5,35.5,394.813"
"""JAN-2014"",136,10.5,35.5,395.793"
"""FEB-2014"",137,10.5,35.5,396.088"
"""MAR-2014"",138,10.5,35.5,396.588"
"""APR-2014"",139,10.5,35.5,397.823"
"""MAY-2014"",140,10.5,35.5,398.403"
"""JUN-2014"",141,10.5,35.5,397.194"
"""JUL-2014"",142,10.5,35.5,397.754"
"""AUG-2014"",143,10.5,35.5,396.389"
"""SEP-2014"",144,10.5,35.5,396.122"
"""OCT-2014"",145,10.5,35.5,396.112"
"""NOV-2014"",146,10.5,35.5,395.856"
"""DEC-2014"",147,10.5,35.5,396.785"
"""JAN-2015"",148,10.5,35.5,397.566"
"""FEB-2015"",149,10.5,35.5,398.038"
"""MAR-2015"",150,10.5,35.5,398.741"
"""APR-2015"",151,10.5,35.5,400.589"
"""MAY-2015"",152,10.5,35.5,400.824"
"""JUN-2015"",153,10.5,35.5,400.937"
"""JUL-2015"",154,10.5,35.5,400.355"
"""AUG-2015"",155,10.5,35.5,399.275"
"""SEP-2015"",156,10.5,35.5,398.48"
"""OCT-2015"",157,10.5,35.5,398.793"
"""NOV-2015"",158,10.5,35.5,399.775"
"""DEC-2015"",159,10.5,35.5,400.058"
"""JAN-2016"",160,10.5,35.5,400.509"
"""FEB-2016"",161,10.5,35.5,400.543"
"""MAR-2016"",162,10.5,35.5,401.904"
"""APR-2016"",163,10.5,35.5,402.219"
"""MAY-2016"",164,10.5,35.5,402.732"
"""JUN-2016"",165,10.5,35.5,403.869"
"""JUL-2016"",166,10.5,35.5,403.255"
"""AUG-2016"",167,10.5,35.5,402.428"
"""SEP-2016"",168,10.5,35.5,401.151"
"""OCT-2016"",169,10.5,35.5,401.909"
"""NOV-2016"",170,10.5,35.5,400.767"
"""DEC-2016"",171,10.5,35.5,401.03"
"""JAN-2017"",172,10.5,35.5,402.494"
"""FEB-2017"",173,10.5,35.5,402.945"
"""MAR-2017"",174,10.5,35.5,403.815"
"""APR-2017"",175,10.5,35.5,403.582"
"""MAY-2017"",176,10.5,35.5,405.209"
"""JUN-2017"",177,10.5,35.5,405.572"
"""JUL-2017"",178,10.5,35.5,405.127"
"""AUG-2017"",179,10.5,35.5,404.107"
"""SEP-2017"",180,10.5,35.5,403.359"
"""OCT-2017"",181,10.5,35.5,403.814"
"""NOV-2017"",182,10.5,35.5,403.377"
"""DEC-2017"",183,10.5,35.5,404.279"
"""JAN-2018"",184,10.5,35.5,404.028"
"""FEB-2018"",185,10.5,35.5,404.321"
"""MAR-2018"",186,10.5,35.5,405.834"
"""APR-2018"",187,10.5,35.5,405.991"
"""MAY-2018"",188,10.5,35.5,406.24"
"""JUN-2018"",189,10.5,35.5,407.13"
"""JUL-2018"",190,10.5,35.5,407.201"
"""AUG-2018"",191,10.5,35.5,405.257"
"""SEP-2018"",192,10.5,35.5,405.245"
"""OCT-2018"",193,10.5,35.5,404.855"
"""NOV-2018"",194,10.5,35.5,406.153"
"""DEC-2018"",195,10.5,35.5,407.733"
"""JAN-2019"",196,10.5,35.5,406.512"
"""FEB-2019"",197,10.5,35.5,407.944"
"""MAR-2019"",198,10.5,35.5,408.432"
"""APR-2019"",199,10.5,35.5,408.542"
"""MAY-2019"",200,10.5,35.5,408.604"
"""JUN-2019"",201,10.5,35.5,410.529"
"""JUL-2019"",202,10.5,35.5,409.473"
"""AUG-2019"",203,10.5,35.5,408.354"
"""SEP-2019"",204,10.5,35.5,407.78"
"""OCT-2019"",205,10.5,35.5,408.514"
"""NOV-2019"",206,10.5,35.5,409.457"
"""DEC-2019"",207,10.5,35.5,410.783"
"""JAN-2020"",208,10.5,35.5,409.449"
"""FEB-2020"",209,10.5,35.5,410.801"
"""MAR-2020"",210,10.5,35.5,410.06"
"""APR-2020"",211,10.5,35.5,411.112"
"""MAY-2020"",212,10.5,35.5,410.591"
"""JUN-2020"",213,10.5,35.5,412.199"
"""JUL-2020"",214,10.5,35.5,412.373"
"""AUG-2020"",215,10.5,35.5,411.619"
"""SEP-2020"",216,10.5,35.5,408.953"
"""OCT-2020"",217,10.5,35.5,410.107"
"""NOV-2020"",218,10.5,35.5,410.699"
"""DEC-2020"",219,10.5,35.5,411.833"
"""JAN-2021"",220,10.5,35.5,411.661"
"""FEB-2021"",221,10.5,35.5,411.535"
"""MAR-2021"",222,10.5,35.5,411.763"
"""APR-2021"",223,10.5,35.5,411.331"
"""MAY-2021"",224,10.5,35.5,413.488"
"""JUN-2021"",225,10.5,35.5,412.95"
"""JUL-2021"",226,10.5,35.5,414.249"
"""AUG-2021"",227,10.5,35.5,412.539"
"""SEP-2021"",228,10.5,35.5,411.172"
"""OCT-2021"",229,10.5,35.5,411.084"
"""NOV-2021"",230,10.5,35.5,411.931"
"""DEC-2021"",231,10.5,35.5,412.576"
"""JAN-2022"",232,10.5,35.5,412.583"
"""FEB-2022"",233,10.5,35.5,412.93"
"""MAR-2022"",234,10.5,35.5,413.022"
"""APR-2022"",235,10.5,35.5,413.457"
"""MAY-2022"",236,10.5,35.5,415.216"
"""JUN-2022"",237,10.5,35.5,416.127"
"""JUL-2022"",238,10.5,35.5,416.297"
"""AUG-2022"",239,10.5,35.5,414.539"
"""SEP-2022"",240,10.5,35.5,413.582"
"""OCT-2022"",241,10.5,35.5,413.947"
"""NOV-2022"",242,10.5,35.5,413.775"
"""DEC-2022"",243,10.5,35.5,414.951"
"""JAN-2023"",244,10.5,35.5,415.679"
"""FEB-2023"",245,10.5,35.5,414.174"
"""MAR-2023"",246,10.5,35.5,416.586"
"""APR-2023"",247,10.5,35.5,416.028"
"""MAY-2023"",248,10.5,35.5,414.138"
"""JUN-2023"",249,10.5,35.5,417.078"
"""JUL-2023"",250,10.5,35.5,417.413"
"""AUG-2023"",251,10.5,35.5,416.618"
