"DATETIME,TIME,LON,LAT,TOTVAP"
"""SEP-2002"",0,10,36,31.2002"
"""OCT-2002"",1,10,36,22.8701"
"""OCT-2002"",2,10,36,19.3018"
"""DEC-2002"",3,10,36,15.7827"
"""DEC-2002"",4,10,36,14.0552"
"""JAN-2003"",5,10,36,13.438"
"""MAR-2003"",6,10,36,14.2183"
"""APR-2003"",7,10,36,19.5889"
"""MAY-2003"",8,10,36,21.7734"
"""JUN-2003"",9,10,36,25.6748"
"""JUL-2003"",10,10,36,29.4072"
"""AUG-2003"",11,10,36,30.5654"
"""SEP-2003"",12,10,36,34.2012"
"""OCT-2003"",13,10,36,28.7686"
"""NOV-2003"",14,10,36,17.5703"
"""DEC-2003"",15,10,36,13.8721"
"""DEC-2003"",16,10,36,12.9258"
"""JAN-2004"",17,10,36,13.0073"
"""MAR-2004"",18,10,36,15.6641"
"""APR-2004"",19,10,36,18.1875"
"""MAY-2004"",20,10,36,20.875"
"""JUN-2004"",21,10,36,27.126"
"""JUL-2004"",22,10,36,26.6719"
"""AUG-2004"",23,10,36,31.0215"
"""AUG-2004"",24,10,36,28.8203"
"""SEP-2004"",25,10,36,25.7734"
"""OCT-2004"",26,10,36,18.3652"
"""NOV-2004"",27,10,36,15.4409"
"""DEC-2004"",28,10,36,10.7383"
"""JAN-2005"",29,10,36,11.7266"
"""MAR-2005"",30,10,36,15.8809"
"""APR-2005"",31,10,36,18.4824"
"""MAY-2005"",32,10,36,20.1279"
"""JUN-2005"",33,10,36,27.2471"
"""JUL-2005"",34,10,36,28.3418"
"""AUG-2005"",35,10,36,32.3613"
"""AUG-2005"",36,10,36,29.6689"
"""OCT-2005"",37,10,36,26.9404"
"""OCT-2005"",38,10,36,18.5938"
"""DEC-2005"",39,10,36,13.4409"
"""DEC-2005"",40,10,36,12.0942"
"""JAN-2006"",41,10,36,13.062"
"""MAR-2006"",42,10,36,15.1758"
"""APR-2006"",43,10,36,19.0752"
"""MAY-2006"",44,10,36,24.0127"
"""JUN-2006"",45,10,36,22.707"
"""JUL-2006"",46,10,36,29.0596"
"""AUG-2006"",47,10,36,30.8594"
"""AUG-2006"",48,10,36,28.1436"
"""OCT-2006"",49,10,36,24.7617"
"""OCT-2006"",50,10,36,19.04"
"""DEC-2006"",51,10,36,15.0249"
"""DEC-2006"",52,10,36,13.7271"
"""JAN-2007"",53,10,36,15.0049"
"""MAR-2007"",54,10,36,15.2012"
"""APR-2007"",55,10,36,20.2246"
"""MAY-2007"",56,10,36,21.3086"
"""JUN-2007"",57,10,36,24.5186"
"""JUL-2007"",58,10,36,23.8477"
"""AUG-2007"",59,10,36,29.7324"
"""SEP-2007"",60,10,36,32.3555"
"""OCT-2007"",61,10,36,26.0166"
"""NOV-2007"",62,10,36,17.0312"
"""DEC-2007"",63,10,36,14.772"
"""DEC-2007"",64,10,36,13.2959"
"""JAN-2008"",65,10,36,13.8579"
"""MAR-2008"",66,10,36,15.2505"
"""APR-2008"",67,10,36,16.3955"
"""MAY-2008"",68,10,36,23.2158"
"""JUN-2008"",69,10,36,24.2529"
"""JUL-2008"",70,10,36,29.1943"
"""AUG-2008"",71,10,36,29.5156"
"""AUG-2008"",72,10,36,31.9199"
"""SEP-2008"",73,10,36,27.1162"
"""OCT-2008"",74,10,36,17.4756"
"""NOV-2008"",75,10,36,14.2598"
"""DEC-2008"",76,10,36,14.1792"
"""JAN-2009"",77,10,36,11.6504"
"""MAR-2009"",78,10,36,14.5073"
"""APR-2009"",79,10,36,18.0186"
"""MAY-2009"",80,10,36,20.4512"
"""JUN-2009"",81,10,36,23.7393"
"""JUL-2009"",82,10,36,28.5078"
"""AUG-2009"",83,10,36,32.3408"
"""AUG-2009"",84,10,36,31.8506"
"""OCT-2009"",85,10,36,23.9951"
"""OCT-2009"",86,10,36,17.4082"
"""DEC-2009"",87,10,36,15.7666"
"""DEC-2009"",88,10,36,14.0361"
"""JAN-2010"",89,10,36,15.3848"
"""MAR-2010"",90,10,36,15.167"
"""APR-2010"",91,10,36,20.2188"
"""MAY-2010"",92,10,36,20.7383"
"""JUN-2010"",93,10,36,26.8037"
"""JUL-2010"",94,10,36,29.0254"
"""AUG-2010"",95,10,36,31.374"
"""AUG-2010"",96,10,36,30.3379"
"""OCT-2010"",97,10,36,23.5537"
"""OCT-2010"",98,10,36,18.7764"
"""DEC-2010"",99,10,36,15.2129"
"""DEC-2010"",100,10,36,14.3403"
"""JAN-2011"",101,10,36,12.4956"
"""MAR-2011"",102,10,36,15.6646"
"""APR-2011"",103,10,36,18.251"
"""MAY-2011"",104,10,36,22.875"
"""JUN-2011"",105,10,36,25.8008"
"""JUL-2011"",106,10,36,29.3994"
"""AUG-2011"",107,10,36,28.2754"
"""SEP-2011"",108,10,36,30.9375"
"""OCT-2011"",109,10,36,24.5947"
"""NOV-2011"",110,10,36,20.249"
"""DEC-2011"",111,10,36,14.498"
"""DEC-2011"",112,10,36,13.0132"
"""JAN-2012"",113,10,36,11.29"
"""MAR-2012"",114,10,36,14.0488"
"""APR-2012"",115,10,36,17.9463"
"""MAY-2012"",116,10,36,22.374"
"""JUN-2012"",117,10,36,26.8916"
"""JUL-2012"",118,10,36,29.3037"
"""JUL-2012"",119,10,36,26.7451"
"""AUG-2012"",120,10,36,30.4697"
"""SEP-2012"",121,10,36,27.3594"
"""OCT-2012"",122,10,36,22.4561"
"""NOV-2012"",123,10,36,14.187"
"""DEC-2012"",124,10,36,13.1304"
"""JAN-2013"",125,10,36,12.6206"
"""MAR-2013"",126,10,36,16.9541"
"""APR-2013"",127,10,36,18.5918"
"""MAY-2013"",128,10,36,21.6611"
"""JUN-2013"",129,10,36,23.2168"
"""JUL-2013"",130,10,36,30.1816"
"""AUG-2013"",131,10,36,29.6094"
"""AUG-2013"",132,10,36,33.1719"
"""OCT-2013"",133,10,36,28.1299"
"""OCT-2013"",134,10,36,18.8125"
"""NOV-2013"",135,10,36,14.4492"
"""DEC-2013"",136,10,36,13.4185"
"""JAN-2014"",137,10,36,13.2168"
"""MAR-2014"",138,10,36,14.9863"
"""APR-2014"",139,10,36,17.1514"
"""MAY-2014"",140,10,36,21.2197"
"""JUN-2014"",141,10,36,26.0898"
