YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,WS2M
1990,1,1,2.39,2.93,0.52,321.4,47.1,-999.0,-999.0,-999.0,-999.0,4.18
1990,1,2,2.52,2.96,0.55,312.7,48.2,-999.0,-999.0,-999.0,-999.0,2.64
1990,1,3,2.89,3.12,0.62,313.1,55.8,-999.0,-999.0,-999.0,-999.0,1.82
1990,1,4,1.42,3.18,0.3,320.1,29.3,-999.0,-999.0,-999.0,-999.0,1.76
1990,1,5,1.53,3.11,0.33,348.0,31.3,-999.0,-999.0,-999.0,-999.0,4.2
1990,1,6,1.89,3.12,0.41,327.5,38.0,-999.0,-999.0,-999.0,-999.0,3.02
1990,1,7,3.23,3.24,0.69,290.2,60.7,-999.0,-999.0,-999.0,-999.0,1.38
1990,1,8,2.98,3.38,0.62,312.4,56.7,-999.0,-999.0,-999.0,-999.0,2.15
1990,1,9,2.41,3.07,0.51,331.5,47.4,-999.0,-999.0,-999.0,-999.0,1.25
1990,1,10,1.64,3.33,0.34,328.3,33.2,-999.0,-999.0,-999.0,-999.0,0.98
1990,1,11,1.86,3.13,0.38,345.1,37.5,-999.0,-999.0,-999.0,-999.0,1.38
1990,1,12,2.32,3.13,0.48,334.4,45.8,-999.0,-999.0,-999.0,-999.0,3.18
1990,1,13,1.38,2.96,0.28,319.8,28.3,-999.0,-999.0,-999.0,-999.0,1.98
1990,1,14,2.35,3.3,0.48,318.1,46.5,-999.0,-999.0,-999.0,-999.0,3.53
1990,1,15,3.19,3.37,0.65,290.9,60.5,-999.0,-999.0,-999.0,-999.0,2.81
1990,1,16,2.98,3.33,0.6,306.8,57.1,-999.0,-999.0,-999.0,-999.0,2.45
1990,1,17,2.64,3.4,0.52,335.5,51.8,-999.0,-999.0,-999.0,-999.0,1.84
1990,1,18,3.16,3.53,0.62,314.9,60.7,-999.0,-999.0,-999.0,-999.0,0.99
1990,1,19,2.88,3.42,0.56,312.1,56.1,-999.0,-999.0,-999.0,-999.0,3.32
1990,1,20,2.5,3.29,0.49,321.1,49.4,-999.0,-999.0,-999.0,-999.0,3.91
1990,1,21,0.78,3.69,0.15,307.8,16.9,-999.0,-999.0,-999.0,-999.0,4.68
1990,1,22,0.51,3.7,0.1,322.2,11.4,-999.0,-999.0,-999.0,-999.0,6.55
1990,1,23,0.85,3.75,0.16,342.5,18.6,-999.0,-999.0,-999.0,-999.0,6.14
1990,1,24,1.56,3.67,0.3,332.2,32.1,-999.0,-999.0,-999.0,-999.0,4.19
1990,1,25,3.28,3.4,0.62,277.8,63.6,-999.0,-999.0,-999.0,-999.0,2.12
1990,1,26,3.33,3.44,0.62,301.6,64.7,-999.0,-999.0,-999.0,-999.0,1.39
1990,1,27,3.39,3.56,0.62,291.7,65.3,-999.0,-999.0,-999.0,-999.0,1.87
1990,1,28,1.77,3.96,0.33,312.6,36.4,-999.0,-999.0,-999.0,-999.0,3.12
1990,1,29,0.74,3.97,0.13,322.8,16.2,-999.0,-999.0,-999.0,-999.0,2.16
1990,1,30,3.18,3.59,0.57,311.3,62.3,-999.0,-999.0,-999.0,-999.0,2.7
1990,1,31,3.15,3.85,0.56,328.1,62.0,-999.0,-999.0,-999.0,-999.0,1.86
