ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,WS2M,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_RANGE,WD10M,WS50M,WS50M_RANGE,WD50M,Date
2.39,2.93,0.52,321.4,47.1,-999.0,-999.0,-999.0,-999.0,4.18,11.59,7.23,9.4,11.4,9.02,16.13,7.11,6.41,76.44,0.39,99.24,5.95,5.52,326.88,8.88,3.64,327.19,1990-01-01
2.52,2.96,0.55,312.7,48.2,-999.0,-999.0,-999.0,-999.0,2.64,9.63,5.68,7.65,9.25,10.07,15.42,5.35,5.74,78.19,0.22,99.63,4.05,3.27,311.88,6.67,2.87,312.0,1990-01-02
2.89,3.12,0.62,313.1,55.8,-999.0,-999.0,-999.0,-999.0,1.82,10.26,4.34,7.3,9.94,12.07,17.55,5.48,5.25,71.06,0.01,99.51,2.91,4.09,246.88,4.84,6.76,246.88,1990-01-03
1.42,3.18,0.3,320.1,29.3,-999.0,-999.0,-999.0,-999.0,1.76,9.51,5.22,7.37,8.82,9.23,14.54,5.31,5.62,75.81,0.41,99.21,2.96,2.83,166.56,4.62,2.6,166.81,1990-01-04
1.53,3.11,0.33,348.0,31.3,-999.0,-999.0,-999.0,-999.0,4.2,11.11,10.06,10.58,10.59,5.18,13.61,8.43,7.75,92.25,15.65,99.35,6.05,6.46,89.31,8.71,7.41,75.56,1990-01-05
1.89,3.12,0.41,327.5,38.0,-999.0,-999.0,-999.0,-999.0,3.02,11.23,9.26,10.25,10.8,6.68,14.54,7.86,7.26,88.19,12.93,100.39,4.4,4.59,22.81,6.36,6.31,23.44,1990-01-06
3.23,3.24,0.69,290.2,60.7,-999.0,-999.0,-999.0,-999.0,1.38,9.4,5.19,7.3,8.47,11.96,16.17,4.2,5.49,76.94,0.17,100.79,2.26,2.31,225.25,3.48,5.13,226.94,1990-01-07
2.98,3.38,0.62,312.4,56.7,-999.0,-999.0,-999.0,-999.0,2.15,9.46,4.23,6.85,9.05,12.94,17.02,4.08,5.13,72.94,0.03,100.88,3.5,1.5,226.75,5.95,4.16,227.19,1990-01-08
2.41,3.07,0.51,331.5,47.4,-999.0,-999.0,-999.0,-999.0,1.25,10.16,6.82,8.49,9.15,7.69,14.84,7.15,6.1,80.62,0.28,100.85,2.18,1.77,169.06,3.36,3.38,169.12,1990-01-09
1.64,3.33,0.34,328.3,33.2,-999.0,-999.0,-999.0,-999.0,0.98,9.94,8.44,9.19,8.58,5.41,13.22,7.8,6.84,90.75,10.63,100.61,1.65,1.4,79.06,2.45,2.22,79.88,1990-01-10
1.86,3.13,0.38,345.1,37.5,-999.0,-999.0,-999.0,-999.0,1.38,10.0,8.67,9.33,9.48,6.92,13.94,7.02,7.02,91.56,11.72,100.31,2.14,2.32,75.69,3.39,4.38,76.25,1990-01-11
2.32,3.13,0.48,334.4,45.8,-999.0,-999.0,-999.0,-999.0,3.18,11.88,10.4,11.14,11.52,5.6,15.41,9.81,7.87,90.94,7.99,100.09,4.59,4.48,103.69,7.2,3.02,104.25,1990-01-12
1.38,2.96,0.28,319.8,28.3,-999.0,-999.0,-999.0,-999.0,1.98,11.42,10.1,10.76,10.8,4.17,13.44,9.27,7.75,91.69,14.33,99.83,2.98,4.0,108.0,4.86,6.99,109.44,1990-01-13
2.35,3.3,0.48,318.1,46.5,-999.0,-999.0,-999.0,-999.0,3.53,10.62,8.98,9.8,10.28,7.48,14.53,7.05,7.2,89.5,3.99,99.83,5.14,5.67,236.0,7.91,5.24,236.31,1990-01-14
3.19,3.37,0.65,290.9,60.5,-999.0,-999.0,-999.0,-999.0,2.81,9.33,6.03,7.68,9.03,9.59,15.05,5.47,5.86,81.94,0.15,100.31,4.27,2.85,174.69,7.09,1.86,174.94,1990-01-15
2.98,3.33,0.6,306.8,57.1,-999.0,-999.0,-999.0,-999.0,2.45,9.32,6.0,7.66,9.14,10.66,15.2,4.55,5.8,81.12,0.38,100.71,3.79,1.92,158.81,6.45,3.2,159.06,1990-01-16
2.64,3.4,0.52,335.5,51.8,-999.0,-999.0,-999.0,-999.0,1.84,10.15,7.07,8.61,9.48,7.98,14.9,6.93,6.23,82.12,0.41,100.71,2.84,3.19,53.19,4.38,4.89,53.5,1990-01-17
3.16,3.53,0.62,314.9,60.7,-999.0,-999.0,-999.0,-999.0,0.99,10.0,4.14,7.07,8.83,10.58,15.65,5.08,5.13,70.44,0.04,100.15,1.56,1.85,235.0,2.21,3.2,235.38,1990-01-18
2.88,3.42,0.56,312.1,56.1,-999.0,-999.0,-999.0,-999.0,3.32,8.97,5.76,7.36,8.65,9.38,14.33,4.94,5.74,81.94,1.55,100.18,4.91,5.18,240.94,7.68,5.12,241.38,1990-01-19
2.5,3.29,0.49,321.1,49.4,-999.0,-999.0,-999.0,-999.0,3.91,10.1,6.78,8.44,10.02,8.3,14.64,6.34,6.1,81.5,1.64,100.67,5.55,3.25,151.0,8.09,1.67,151.69,1990-01-20
0.78,3.69,0.15,307.8,16.9,-999.0,-999.0,-999.0,-999.0,4.68,10.31,6.9,8.61,9.92,3.0,11.83,8.83,6.16,79.69,6.97,100.53,6.6,4.54,46.25,9.23,4.34,47.44,1990-01-21
0.51,3.7,0.1,322.2,11.4,-999.0,-999.0,-999.0,-999.0,6.55,10.44,9.19,9.82,10.12,1.01,10.99,9.98,7.26,91.88,73.51,100.15,9.12,2.33,62.38,12.03,2.31,63.81,1990-01-22
0.85,3.75,0.16,342.5,18.6,-999.0,-999.0,-999.0,-999.0,6.14,10.67,9.4,10.04,10.4,1.83,11.9,10.07,7.32,91.75,63.11,100.08,8.55,2.63,45.75,11.22,2.53,47.44,1990-01-23
1.56,3.67,0.3,332.2,32.1,-999.0,-999.0,-999.0,-999.0,4.19,10.3,8.81,9.55,9.89,6.74,13.54,6.8,7.08,90.75,4.02,100.26,6.0,4.29,64.5,8.53,2.96,65.19,1990-01-24
3.28,3.4,0.62,277.8,63.6,-999.0,-999.0,-999.0,-999.0,2.12,9.91,5.58,7.75,8.97,12.29,16.74,4.45,5.68,77.0,0.09,100.33,3.22,4.52,290.25,5.12,6.77,290.44,1990-01-25
3.33,3.44,0.62,301.6,64.7,-999.0,-999.0,-999.0,-999.0,1.39,11.6,4.85,8.23,9.48,14.44,19.34,4.9,5.43,64.81,0.0,100.04,2.26,2.21,273.44,3.27,3.37,273.25,1990-01-26
3.39,3.56,0.62,291.7,65.3,-999.0,-999.0,-999.0,-999.0,1.87,11.74,6.51,9.12,10.62,12.33,19.5,7.17,6.04,72.69,0.0,99.92,2.91,3.92,258.38,4.66,7.55,259.69,1990-01-27
1.77,3.96,0.33,312.6,36.4,-999.0,-999.0,-999.0,-999.0,3.12,9.19,5.57,7.37,8.59,7.67,13.28,5.61,5.68,78.44,0.0,99.69,4.62,3.15,209.19,7.63,2.81,209.56,1990-01-28
0.74,3.97,0.13,322.8,16.2,-999.0,-999.0,-999.0,-999.0,2.16,10.8,6.87,8.84,10.25,9.48,16.95,7.48,6.29,78.56,0.75,99.13,3.53,3.94,255.56,5.79,3.48,255.69,1990-01-29
3.18,3.59,0.57,311.3,62.3,-999.0,-999.0,-999.0,-999.0,2.7,10.95,6.37,8.66,10.73,11.74,18.31,6.57,6.04,77.0,0.04,99.61,4.06,1.32,294.0,6.98,3.77,294.06,1990-01-30
3.15,3.85,0.56,328.1,62.0,-999.0,-999.0,-999.0,-999.0,1.86,10.4,5.9,8.15,10.41,11.61,17.17,5.56,5.8,76.5,0.03,99.82,3.09,3.4,257.12,5.67,7.08,258.19,1990-01-31
3.29,4.11,0.58,332.5,64.6,-999.0,-999.0,-999.0,-999.0,1.69,11.21,6.75,8.98,11.34,10.84,17.62,6.77,6.23,76.06,0.64,99.46,2.66,2.18,242.12,4.56,4.77,227.81,1990-02-01
3.69,3.88,0.65,317.6,71.8,-999.0,-999.0,-999.0,-999.0,3.0,9.72,5.8,7.76,9.39,11.72,16.73,5.01,5.8,78.75,0.15,99.96,4.53,5.69,321.31,6.91,6.04,321.0,1990-02-02
3.66,3.83,0.63,293.4,70.7,-999.0,-999.0,-999.0,-999.0,1.55,10.35,6.19,8.27,10.17,13.3,18.04,4.74,5.92,78.0,0.03,100.45,2.77,1.39,242.44,4.48,3.98,243.5,1990-02-03
3.78,3.86,0.65,288.6,72.7,-999.0,-999.0,-999.0,-999.0,1.31,11.44,4.45,7.94,10.0,11.88,18.9,7.02,5.25,64.56,0.0,100.54,2.12,1.56,193.38,3.11,3.43,192.88,1990-02-04
3.57,3.83,0.61,303.3,69.3,-999.0,-999.0,-999.0,-999.0,1.33,10.77,6.52,8.65,10.05,10.86,17.55,6.69,6.04,76.31,0.0,100.68,2.12,2.6,134.38,3.13,5.27,135.0,1990-02-05
3.98,3.93,0.67,285.7,75.6,-999.0,-999.0,-999.0,-999.0,2.09,10.86,7.66,9.26,10.66,12.09,18.19,6.08,6.53,80.94,0.01,100.26,3.29,3.33,201.44,5.1,4.16,201.88,1990-02-06
3.22,3.92,0.54,317.5,63.1,-999.0,-999.0,-999.0,-999.0,2.42,12.61,7.91,10.26,12.33,13.58,20.08,6.5,6.71,75.69,0.0,100.13,3.75,4.06,215.81,6.02,4.35,230.12,1990-02-07
3.9,4.25,0.65,335.9,76.0,-999.0,-999.0,-999.0,-999.0,1.4,12.33,9.03,10.69,12.37,8.54,17.66,9.12,7.14,81.25,0.04,100.43,2.19,2.17,114.25,3.21,3.3,113.44,1990-02-08
3.92,3.93,0.64,312.9,73.7,-999.0,-999.0,-999.0,-999.0,2.09,11.55,7.98,9.76,11.42,13.76,18.93,5.17,6.65,79.62,0.0,100.35,3.31,3.23,320.12,5.32,5.14,319.94,1990-02-09
4.0,4.23,0.65,312.0,78.6,-999.0,-999.0,-999.0,-999.0,2.29,11.64,7.15,9.4,11.15,10.4,17.56,7.17,6.35,76.31,0.19,100.12,3.48,5.55,199.69,5.46,7.17,244.44,1990-02-10
3.31,4.43,0.53,332.7,65.2,-999.0,-999.0,-999.0,-999.0,2.05,11.76,6.65,9.2,10.91,14.59,19.9,5.32,6.16,74.88,0.06,99.69,3.23,5.0,275.62,4.85,5.9,275.62,1990-02-11
1.85,4.35,0.3,346.0,38.7,-999.0,-999.0,-999.0,-999.0,3.21,11.87,6.73,9.3,11.39,14.02,20.93,6.91,6.23,75.31,0.02,99.12,4.88,6.81,279.62,7.88,7.21,279.88,1990-02-12
3.15,4.35,0.5,343.8,63.5,-999.0,-999.0,-999.0,-999.0,4.71,13.73,7.79,10.76,13.4,12.89,21.15,8.25,6.65,69.88,0.01,99.11,6.77,5.74,296.44,10.23,4.35,296.56,1990-02-13
3.56,4.1,0.55,329.0,70.2,-999.0,-999.0,-999.0,-999.0,3.23,14.56,6.9,10.73,14.02,15.84,24.13,8.29,6.29,64.06,0.0,99.38,4.9,3.34,298.38,7.74,3.86,298.5,1990-02-14
4.09,4.17,0.63,307.6,77.6,-999.0,-999.0,-999.0,-999.0,3.35,14.83,2.58,8.71,14.01,16.91,25.18,8.27,4.7,48.38,0.0,99.17,5.07,2.98,300.81,8.22,5.12,301.0,1990-02-15
3.93,3.99,0.6,327.2,76.8,-999.0,-999.0,-999.0,-999.0,3.2,15.28,5.82,10.55,14.84,14.85,23.9,9.05,5.92,55.31,0.0,99.25,4.85,3.77,316.06,7.86,5.18,316.19,1990-02-16
