"DATETIME,TIME,LON,LAT,TOTAL_COLUMN_OZONE"
"""OCT-2004"",12692,10,34,349.194"
"""NOV-2004"",12723,10,34,366.507"
"""DEC-2004"",12753,10,34,371.069"
"""JAN-2005"",12784,10,34,393.133"
"""FEB-2005"",12815,10,34,413.102"
"""MAR-2005"",12843,10,34,408.946"
"""APR-2005"",12874,10,34,407.177"
"""MAY-2005"",12904,10,34,395.804"
"""JUN-2005"",12935,10,34,400.47"
"""JUL-2005"",12965,10,34,366.903"
"""AUG-2005"",12996,10,34,370.35"
"""SEP-2005"",13027,10,34,358.052"
"""OCT-2005"",13057,10,34,346.888"
"""NOV-2005"",13088,10,34,341.026"
"""DEC-2005"",13118,10,34,377.308"
"""JAN-2006"",13149,10,34,395.108"
"""FEB-2006"",13180,10,34,374.168"
"""MAR-2006"",13208,10,34,393.616"
"""APR-2006"",13239,10,34,394.375"
"""MAY-2006"",13269,10,34,405.028"
"""JUN-2006"",13300,10,34,393.935"
"""JUL-2006"",13330,10,34,382.575"
"""AUG-2006"",13361,10,34,372.775"
"""SEP-2006"",13392,10,34,366.045"
"""OCT-2006"",13422,10,34,353.263"
"""NOV-2006"",13453,10,34,367.56"
"""DEC-2006"",13483,10,34,363.517"
"""JAN-2007"",13514,10,34,358.529"
"""FEB-2007"",13545,10,34,404.708"
"""MAR-2007"",13573,10,34,427.532"
"""APR-2007"",13604,10,34,425.647"
"""MAY-2007"",13634,10,34,413.829"
"""JUN-2007"",13665,10,34,389.558"
"""JUL-2007"",13695,10,34,366.9"
"""AUG-2007"",13726,10,34,364.683"
"""SEP-2007"",13757,10,34,360.784"
"""OCT-2007"",13787,10,34,356.733"
"""NOV-2007"",13818,10,34,353.539"
"""DEC-2007"",13848,10,34,364.625"
"""JAN-2008"",13879,10,34,370.758"
"""FEB-2008"",13910,10,34,389.004"
"""MAR-2008"",13939,10,34,404.862"
"""APR-2008"",13970,10,34,392.451"
"""MAY-2008"",14000,10,34,394.975"
"""JUN-2008"",14031,10,34,385"
"""JUL-2008"",14061,10,34,369.469"
"""AUG-2008"",14092,10,34,367.161"
"""SEP-2008"",14123,10,34,357.016"
"""OCT-2008"",14153,10,34,353.671"
"""NOV-2008"",14184,10,34,358.428"
"""DEC-2008"",14214,10,34,380.299"
"""JAN-2009"",14245,10,34,385.347"
"""FEB-2009"",14276,10,34,404.153"
"""MAR-2009"",14304,10,34,416.299"
"""APR-2009"",14335,10,34,445.349"
"""MAY-2009"",14365,10,34,415.011"
"""JUN-2009"",14396,10,34,392.424"
"""JUL-2009"",14426,10,34,375.958"
"""AUG-2009"",14457,10,34,366.615"
"""SEP-2009"",14488,10,34,364.856"
"""OCT-2009"",14518,10,34,354.191"
"""NOV-2009"",14549,10,34,348.271"
"""DEC-2009"",14579,10,34,355.086"
"""JAN-2010"",14610,10,34,389.706"
"""FEB-2010"",14641,10,34,393.324"
"""MAR-2010"",14669,10,34,402.562"
"""APR-2010"",14700,10,34,421.507"
"""MAY-2010"",14730,10,34,412.007"
"""JUN-2010"",14761,10,34,398.118"
"""JUL-2010"",14791,10,34,386.425"
"""AUG-2010"",14822,10,34,372.595"
"""SEP-2010"",14853,10,34,368.461"
"""OCT-2010"",14883,10,34,355.211"
"""NOV-2010"",14914,10,34,356.993"
"""DEC-2010"",14944,10,34,352.618"
"""JAN-2011"",14975,10,34,371.987"
"""FEB-2011"",15006,10,34,417.592"
"""MAR-2011"",15034,10,34,408.224"
"""APR-2011"",15065,10,34,408.331"
"""MAY-2011"",15095,10,34,395.726"
"""JUN-2011"",15126,10,34,387.125"
"""JUL-2011"",15156,10,34,365.362"
"""AUG-2011"",15187,10,34,366.273"
"""SEP-2011"",15218,10,34,352.725"
"""OCT-2011"",15248,10,34,356.167"
"""NOV-2011"",15279,10,34,349.307"
"""DEC-2011"",15309,10,34,360.24"
"""JAN-2012"",15340,10,34,395.542"
"""FEB-2012"",15371,10,34,409.397"
"""MAR-2012"",15400,10,34,416.922"
"""APR-2012"",15431,10,34,399.147"
"""MAY-2012"",15461,10,34,408.07"
"""JUN-2012"",15492,10,34,387.656"
"""JUL-2012"",15522,10,34,369.574"
"""AUG-2012"",15553,10,34,366.195"
"""SEP-2012"",15584,10,34,359.642"
"""OCT-2012"",15614,10,34,343.591"
"""NOV-2012"",15645,10,34,346.482"
"""DEC-2012"",15675,10,34,351.046"
"""JAN-2013"",15706,10,34,396.104"
"""FEB-2013"",15737,10,34,392.952"
"""MAR-2013"",15765,10,34,377.527"
"""APR-2013"",15796,10,34,400.027"
"""MAY-2013"",15826,10,34,385.526"
"""JUN-2013"",15857,10,34,395.344"
"""JUL-2013"",15887,10,34,381.328"
"""AUG-2013"",15918,10,34,377.094"
"""SEP-2013"",15949,10,34,368.023"
"""OCT-2013"",15979,10,34,347.756"
"""NOV-2013"",16010,10,34,367.726"
"""DEC-2013"",16040,10,34,375.473"
"""JAN-2014"",16071,10,34,395.369"
"""FEB-2014"",16102,10,34,393.006"
"""MAR-2014"",16130,10,34,428.804"
"""APR-2014"",16161,10,34,414.369"
"""MAY-2014"",16191,10,34,402.583"
"""JUN-2014"",16222,10,34,392.773"
"""JUL-2014"",16252,10,34,378.359"
"""AUG-2014"",16283,10,34,364.708"
"""SEP-2014"",16314,10,34,358.08"
"""OCT-2014"",16344,10,34,358.363"
"""NOV-2014"",16375,10,34,350.809"
"""DEC-2014"",16405,10,34,372.313"
"""JAN-2015"",16436,10,34,388.788"
"""FEB-2015"",16467,10,34,423.619"
"""MAR-2015"",16495,10,34,427.319"
"""APR-2015"",16526,10,34,420.91"
"""MAY-2015"",16556,10,34,406.375"
"""JUN-2015"",16587,10,34,402.152"
"""JUL-2015"",16617,10,34,385.261"
"""AUG-2015"",16648,10,34,378.919"
"""SEP-2015"",16679,10,34,368.387"
"""OCT-2015"",16709,10,34,356.619"
"""NOV-2015"",16740,10,34,356.34"
"""DEC-2015"",16770,10,34,349.525"
"""JAN-2016"",16801,10,34,372.09"
"""FEB-2016"",16832,10,34,371.694"
"""MAR-2016"",16861,10,34,427.73"
"""APR-2016"",16892,10,34,393.105"
"""MAY-2016"",16922,10,34,401.179"
"""JUN-2016"",16953,10,34,388.741"
"""JUL-2016"",16983,10,34,373.047"
"""AUG-2016"",17014,10,34,374.778"
"""SEP-2016"",17045,10,34,361.987"
"""OCT-2016"",17075,10,34,336.309"
"""NOV-2016"",17106,10,34,349.757"
"""DEC-2016"",17136,10,34,364.908"
"""JAN-2017"",17167,10,34,394.576"
"""FEB-2017"",17198,10,34,408.325"
"""MAR-2017"",17226,10,34,398.028"
"""APR-2017"",17257,10,34,428.827"
"""MAY-2017"",17287,10,34,400.603"
"""JUN-2017"",17318,10,34,398.5"
"""JUL-2017"",17348,10,34,375.825"
"""AUG-2017"",17379,10,34,369.402"
"""SEP-2017"",17410,10,34,362.56"
"""OCT-2017"",17440,10,34,359"
"""NOV-2017"",17471,10,34,378.007"
"""DEC-2017"",17501,10,34,382.941"
"""JAN-2018"",17532,10,34,389.743"
"""FEB-2018"",17563,10,34,420.243"
"""MAR-2018"",17591,10,34,430.445"
"""APR-2018"",17622,10,34,411.8"
"""MAY-2018"",17652,10,34,409.943"
"""JUN-2018"",17683,10,34,401.804"
"""JUL-2018"",17713,10,34,376.348"
"""AUG-2018"",17744,10,34,380.494"
"""SEP-2018"",17775,10,34,363.487"
"""OCT-2018"",17805,10,34,350.769"
"""NOV-2018"",17836,10,34,335.028"
"""DEC-2018"",17866,10,34,347.836"
"""JAN-2019"",17897,10,34,386.294"
"""FEB-2019"",17928,10,34,398.09"
"""MAR-2019"",17956,10,34,389.551"
"""APR-2019"",17987,10,34,401.691"
"""MAY-2019"",18017,10,34,418.859"
"""JUN-2019"",18048,10,34,392.179"
"""JUL-2019"",18078,10,34,382.142"
"""AUG-2019"",18109,10,34,369.426"
"""SEP-2019"",18140,10,34,361.625"
"""OCT-2019"",18170,10,34,358.143"
"""NOV-2019"",18201,10,34,379.729"
"""DEC-2019"",18231,10,34,387.743"
"""JAN-2020"",18262,10,34,400.981"
"""FEB-2020"",18293,10,34,382.138"
"""MAR-2020"",18322,10,34,418.431"
"""APR-2020"",18353,10,34,406.822"
"""MAY-2020"",18383,10,34,390.722"
"""JUN-2020"",18414,10,34,377.156"
"""JUL-2020"",18444,10,34,359.982"
"""AUG-2020"",18475,10,34,362.179"
"""SEP-2020"",18506,10,34,353.156"
"""OCT-2020"",18536,10,34,349.72"
"""NOV-2020"",18567,10,34,350.566"
"""DEC-2020"",18597,10,34,371.625"
"""JAN-2021"",18628,10,34,381.86"
"""FEB-2021"",18659,10,34,376.914"
"""MAR-2021"",18687,10,34,417.219"
"""APR-2021"",18718,10,34,408.964"
"""MAY-2021"",18748,10,34,386.413"
"""JUN-2021"",18779,10,34,385.952"
"""JUL-2021"",18809,10,34,376.152"
"""AUG-2021"",18840,10,34,369.38"
"""SEP-2021"",18871,10,34,363.131"
"""OCT-2021"",18901,10,34,298.618"
"""NOV-2021"",18932,10,34,290.405"
"""DEC-2021"",18962,10,34,313.022"
"""JAN-2022"",18993,10,34,325.553"
"""FEB-2022"",19024,10,34,320.707"
"""MAR-2022"",19052,10,34,326.744"
"""APR-2022"",19083,10,34,330.135"
"""MAY-2022"",19113,10,34,333.557"
"""JUN-2022"",19144,10,34,300.153"
"""JUL-2022"",19174,10,34,302.309"
"""AUG-2022"",19205,10,34,300.391"
"""SEP-2022"",19236,10,34,286.7"
"""OCT-2022"",19266,10,34,271.695"
"""NOV-2022"",19297,10,34,273.365"
"""DEC-2022"",19327,10,34,280.589"
"""JAN-2023"",19358,10,34,317.206"
"""FEB-2023"",19389,10,34,305.619"
"""MAR-2023"",19417,10,34,307.969"
"""APR-2023"",19448,10,34,333.424"
"""MAY-2023"",19478,10,34,328.816"
"""JUN-2023"",19509,10,34,312.821"
"""JUL-2023"",19539,10,34,294.428"
