"DATETIME,TIME,LON,LAT,CH4_VMR_A_"
"""JAN-2019"",0,10,34,1.86882"
"""FEB-2019"",1,10,34,1.86858"
"""MAR-2019"",2,10,34,1.86916"
"""APR-2019"",3,10,34,1.87894"
"""MAY-2019"",4,10,34,1.8857"
"""JUN-2019"",5,10,34,1.87033"
"""JUL-2019"",6,10,34,1.8815"
"""AUG-2019"",7,10,34,1.89105"
"""SEP-2019"",8,10,34,1.89361"
"""OCT-2019"",9,10,34,1.89419"
"""NOV-2019"",10,10,34,1.8772"
"""DEC-2019"",11,10,34,1.86742"
"""JAN-2020"",12,10,34,1.87068"
"""FEB-2020"",13,10,34,1.87068"
"""MAR-2020"",14,10,34,1.88174"
"""APR-2020"",15,10,34,1.88197"
"""MAY-2020"",16,10,34,1.87405"
"""JUN-2020"",17,10,34,1.88395"
"""JUL-2020"",18,10,34,1.89501"
"""AUG-2020"",19,10,34,1.89303"
"""SEP-2020"",20,10,34,1.89466"
"""OCT-2020"",21,10,34,1.89361"
"""NOV-2020"",22,10,34,1.90048"
"""DEC-2020"",23,10,34,1.88686"
"""JAN-2021"",24,10,34,1.87044"
"""FEB-2021"",25,10,34,1.87138"
"""MAR-2021"",26,10,34,1.88581"
"""APR-2021"",27,10,34,1.88802"
"""MAY-2021"",28,10,34,1.88884"
"""JUN-2021"",29,10,34,1.87987"
"""JUL-2021"",30,10,34,1.89769"
"""AUG-2021"",31,10,34,1.90409"
"""SEP-2021"",32,10,34,1.90374"
"""OCT-2021"",33,10,34,1.90828"
"""NOV-2021"",34,10,34,1.89431"
"""DEC-2021"",35,10,34,1.88116"
"""JAN-2022"",36,10,34,1.89163"
"""FEB-2022"",37,10,34,1.88802"
"""MAR-2022"",38,10,34,1.89745"
