"DATETIME,TIME,LON,LAT,CO2_PPMV_UPPERTROP"
"""SEP-2002"",0,10.5,33.5,373.157"
"""OCT-2002"",1,10.5,33.5,373.002"
"""NOV-2002"",2,10.5,33.5,373.571"
"""DEC-2002"",3,10.5,33.5,374.337"
"""JAN-2003"",4,10.5,33.5,375.551"
"""FEB-2003"",5,10.5,33.5,376.003"
"""MAR-2003"",6,10.5,33.5,375.603"
"""APR-2003"",7,10.5,33.5,376.677"
"""MAY-2003"",8,10.5,33.5,377.313"
"""JUN-2003"",9,10.5,33.5,377.948"
"""JUL-2003"",10,10.5,33.5,376.933"
"""AUG-2003"",11,10.5,33.5,375.405"
"""SEP-2003"",12,10.5,33.5,375.261"
"""OCT-2003"",13,10.5,33.5,375.235"
"""NOV-2003"",14,10.5,33.5,375.426"
"""DEC-2003"",15,10.5,33.5,376.057"
"""JAN-2004"",16,10.5,33.5,376.631"
"""FEB-2004"",17,10.5,33.5,377.137"
"""MAR-2004"",18,10.5,33.5,377.9"
"""APR-2004"",19,10.5,33.5,378.55"
"""MAY-2004"",20,10.5,33.5,379.484"
"""JUN-2004"",21,10.5,33.5,379.94"
"""JUL-2004"",22,10.5,33.5,378.323"
"""AUG-2004"",23,10.5,33.5,377.444"
"""SEP-2004"",24,10.5,33.5,377.201"
"""OCT-2004"",25,10.5,33.5,377.437"
"""NOV-2004"",26,10.5,33.5,377.093"
"""DEC-2004"",27,10.5,33.5,377.865"
"""JAN-2005"",28,10.5,33.5,378.724"
"""FEB-2005"",29,10.5,33.5,379.574"
"""MAR-2005"",30,10.5,33.5,379.748"
"""APR-2005"",31,10.5,33.5,380.871"
"""MAY-2005"",32,10.5,33.5,381.907"
"""JUN-2005"",33,10.5,33.5,381.85"
"""JUL-2005"",34,10.5,33.5,381.201"
"""AUG-2005"",35,10.5,33.5,380.006"
"""SEP-2005"",36,10.5,33.5,379.378"
"""OCT-2005"",37,10.5,33.5,380.505"
"""NOV-2005"",38,10.5,33.5,379.462"
"""DEC-2005"",39,10.5,33.5,380.159"
"""JAN-2006"",40,10.5,33.5,381.241"
"""FEB-2006"",41,10.5,33.5,381.773"
"""MAR-2006"",42,10.5,33.5,382.525"
"""APR-2006"",43,10.5,33.5,382.46"
"""MAY-2006"",44,10.5,33.5,383.556"
"""JUN-2006"",45,10.5,33.5,384.259"
"""JUL-2006"",46,10.5,33.5,382.494"
"""AUG-2006"",47,10.5,33.5,382.044"
"""SEP-2006"",48,10.5,33.5,381.482"
"""OCT-2006"",49,10.5,33.5,381.223"
"""NOV-2006"",50,10.5,33.5,381.592"
"""DEC-2006"",51,10.5,33.5,381.934"
"""JAN-2007"",52,10.5,33.5,382.466"
"""FEB-2007"",53,10.5,33.5,383.534"
"""MAR-2007"",54,10.5,33.5,383.795"
"""APR-2007"",55,10.5,33.5,384.536"
"""MAY-2007"",56,10.5,33.5,385.952"
"""JUN-2007"",57,10.5,33.5,385.486"
"""JUL-2007"",58,10.5,33.5,384.142"
"""AUG-2007"",59,10.5,33.5,383.207"
"""SEP-2007"",60,10.5,33.5,383.523"
"""OCT-2007"",61,10.5,33.5,383.602"
"""NOV-2007"",62,10.5,33.5,384.138"
"""DEC-2007"",63,10.5,33.5,384.132"
"""JAN-2008"",64,10.5,33.5,384.059"
"""FEB-2008"",65,10.5,33.5,385.365"
"""MAR-2008"",66,10.5,33.5,386.286"
"""APR-2008"",67,10.5,33.5,386.783"
"""MAY-2008"",68,10.5,33.5,387.146"
"""JUN-2008"",69,10.5,33.5,387.745"
"""JUL-2008"",70,10.5,33.5,386.841"
"""AUG-2008"",71,10.5,33.5,385.39"
"""SEP-2008"",72,10.5,33.5,384.211"
"""OCT-2008"",73,10.5,33.5,384.602"
"""NOV-2008"",74,10.5,33.5,385.058"
"""DEC-2008"",75,10.5,33.5,386.317"
"""JAN-2009"",76,10.5,33.5,386.593"
"""FEB-2009"",77,10.5,33.5,388.17"
"""MAR-2009"",78,10.5,33.5,387.485"
"""APR-2009"",79,10.5,33.5,388.82"
"""MAY-2009"",80,10.5,33.5,389.269"
"""JUN-2009"",81,10.5,33.5,389.403"
"""JUL-2009"",82,10.5,33.5,389.214"
"""AUG-2009"",83,10.5,33.5,388.015"
"""SEP-2009"",84,10.5,33.5,386.653"
"""OCT-2009"",85,10.5,33.5,386.645"
"""NOV-2009"",86,10.5,33.5,387.183"
"""DEC-2009"",87,10.5,33.5,387.979"
"""JAN-2010"",88,10.5,33.5,388.541"
"""FEB-2010"",89,10.5,33.5,389.689"
"""MAR-2010"",90,10.5,33.5,389.19"
"""APR-2010"",91,10.5,33.5,389.95"
"""MAY-2010"",92,10.5,33.5,390.078"
"""JUN-2010"",93,10.5,33.5,390.837"
"""JUL-2010"",94,10.5,33.5,390.821"
"""AUG-2010"",95,10.5,33.5,389.873"
"""SEP-2010"",96,10.5,33.5,388.718"
"""OCT-2010"",97,10.5,33.5,389.008"
"""NOV-2010"",98,10.5,33.5,389.45"
"""DEC-2010"",99,10.5,33.5,390.398"
"""JAN-2011"",100,10.5,33.5,390.412"
"""FEB-2011"",101,10.5,33.5,391.246"
"""MAR-2011"",102,10.5,33.5,391.995"
"""APR-2011"",103,10.5,33.5,392.225"
"""MAY-2011"",104,10.5,33.5,392.026"
"""JUN-2011"",105,10.5,33.5,392.941"
"""JUL-2011"",106,10.5,33.5,391.998"
"""AUG-2011"",107,10.5,33.5,391.385"
"""SEP-2011"",108,10.5,33.5,390.7"
"""OCT-2011"",109,10.5,33.5,390.288"
"""NOV-2011"",110,10.5,33.5,390.48"
"""DEC-2011"",111,10.5,33.5,391.51"
"""JAN-2012"",112,10.5,33.5,391.707"
"""FEB-2012"",113,10.5,33.5,392.572"
"""MAR-2012"",114,10.5,33.5,392.58"
"""APR-2012"",115,10.5,33.5,393.455"
"""MAY-2012"",116,10.5,33.5,394.807"
"""JUN-2012"",117,10.5,33.5,395.12"
"""JUL-2012"",118,10.5,33.5,393.781"
"""AUG-2012"",119,10.5,33.5,392.907"
"""SEP-2012"",120,10.5,33.5,392.801"
"""OCT-2012"",121,10.5,33.5,392.148"
"""NOV-2012"",122,10.5,33.5,393.439"
"""DEC-2012"",123,10.5,33.5,393.834"
"""JAN-2013"",124,10.5,33.5,394.579"
"""FEB-2013"",125,10.5,33.5,394.698"
"""MAR-2013"",126,10.5,33.5,395.249"
"""APR-2013"",127,10.5,33.5,396.298"
"""MAY-2013"",128,10.5,33.5,396.31"
"""JUN-2013"",129,10.5,33.5,397.542"
"""JUL-2013"",130,10.5,33.5,396.215"
"""AUG-2013"",131,10.5,33.5,395.012"
"""SEP-2013"",132,10.5,33.5,393.987"
"""OCT-2013"",133,10.5,33.5,395.255"
"""NOV-2013"",134,10.5,33.5,395.338"
"""DEC-2013"",135,10.5,33.5,395.432"
"""JAN-2014"",136,10.5,33.5,396.234"
"""FEB-2014"",137,10.5,33.5,397.047"
"""MAR-2014"",138,10.5,33.5,397.738"
"""APR-2014"",139,10.5,33.5,398.368"
"""MAY-2014"",140,10.5,33.5,398.526"
"""JUN-2014"",141,10.5,33.5,398.357"
"""JUL-2014"",142,10.5,33.5,397.895"
