YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_RANGE,WD10M,WS50M,WS50M_RANGE,WD50M
1990,1,1,13.81,7.9,10.85,13.93,7.98,18.26,10.27,6.65,69.75,0.29,100.83,4.66,4.64,325.12,6.51,4.48,325.75
1990,1,2,12.84,5.78,9.31,13.15,8.98,17.49,8.5,5.74,65.06,0.01,101.27,3.3,1.56,297.38,4.48,2.2,297.44
1990,1,3,12.61,5.72,9.16,13.01,8.26,17.45,9.19,5.68,63.88,0.0,101.17,2.73,3.06,258.94,3.52,3.3,258.75
1990,1,4,11.84,5.9,8.87,11.69,8.21,16.14,7.93,5.8,68.56,0.33,100.75,3.39,2.74,154.06,4.95,5.8,153.75
1990,1,5,13.27,10.19,11.73,13.21,4.4,15.85,11.44,7.75,81.94,6.49,100.79,5.38,3.77,139.62,7.3,4.65,140.0
1990,1,6,13.77,10.74,12.26,13.82,5.3,16.87,11.55,7.93,82.69,6.54,101.82,6.27,5.09,62.25,8.51,4.11,47.81
1990,1,7,12.08,7.15,9.62,12.37,7.44,16.45,9.01,6.23,73.94,0.12,102.44,2.94,2.68,75.12,4.02,5.14,75.62
1990,1,8,12.99,7.19,10.09,12.31,7.91,17.64,9.73,6.23,70.12,0.01,102.51,3.07,3.39,142.44,4.09,4.57,142.44
1990,1,9,13.8,8.62,11.21,13.76,4.86,16.59,11.73,6.84,71.62,0.99,102.37,3.59,2.04,107.62,5.21,4.88,107.81
1990,1,10,12.98,9.26,11.12,13.16,3.22,14.77,11.55,7.14,78.75,2.65,102.11,3.55,2.42,97.25,4.94,3.48,97.38
1990,1,11,12.51,9.8,11.15,12.87,3.66,14.62,10.96,7.45,84.12,0.34,101.79,4.2,3.31,80.5,5.88,3.51,80.19
1990,1,12,13.65,8.41,11.03,13.35,5.23,16.47,11.23,6.84,71.5,1.66,101.5,5.8,4.67,105.75,8.21,5.61,105.19
1990,1,13,12.83,7.45,10.14,13.12,6.98,16.48,9.51,6.47,71.75,2.5,101.31,3.95,5.57,195.69,5.31,7.59,195.44
1990,1,14,11.87,8.74,10.3,12.63,8.42,16.18,7.76,6.96,82.38,0.21,101.37,4.68,1.83,199.81,6.57,4.28,201.44
1990,1,15,11.91,7.65,9.78,12.41,7.55,16.18,8.62,6.47,77.56,0.4,101.82,6.25,2.38,18.12,8.62,3.27,18.69
1990,1,16,12.16,8.51,10.33,12.66,5.55,15.05,9.49,6.84,79.5,6.51,102.21,6.09,1.88,30.5,8.15,2.91,30.75
1990,1,17,12.26,9.72,10.98,12.67,4.25,14.62,10.37,7.39,85.0,1.54,102.22,4.44,2.48,48.19,6.09,3.09,48.44
1990,1,18,11.7,7.26,9.48,12.15,4.14,13.96,9.82,6.29,75.0,2.4,101.75,2.63,2.66,66.62,3.53,4.47,66.75
1990,1,19,11.65,6.51,9.08,11.74,6.87,15.28,8.41,5.98,71.69,2.0,101.69,4.98,8.71,124.06,6.69,10.37,124.0
1990,1,20,12.19,8.76,10.48,12.6,6.27,15.08,8.8,6.96,80.44,4.61,102.07,7.62,3.61,37.0,9.66,3.47,37.38
1990,1,21,12.97,9.09,11.03,13.05,1.15,13.55,12.4,7.14,77.69,41.78,101.7,11.36,3.98,64.38,14.12,4.66,64.88
1990,1,22,13.94,12.37,13.15,13.83,1.58,14.69,13.12,8.85,90.19,55.98,101.16,10.88,5.05,80.56,13.52,6.32,81.56
1990,1,23,14.31,12.48,13.4,14.05,2.35,15.7,13.35,8.91,88.81,34.46,101.21,5.28,3.15,80.25,7.33,4.51,80.56
1990,1,24,12.95,11.3,12.12,12.95,4.05,14.69,10.64,8.24,89.75,4.12,101.59,8.52,4.46,20.56,10.79,3.95,21.44
1990,1,25,11.35,7.51,9.43,11.8,7.74,15.63,7.89,6.35,79.0,0.07,101.99,3.29,3.98,225.25,4.82,6.23,225.44
1990,1,26,11.0,6.73,8.87,11.08,9.31,16.26,6.94,6.04,76.5,0.0,101.83,6.06,4.35,247.06,8.47,3.75,247.5
1990,1,27,10.69,6.5,8.6,10.92,9.68,16.34,6.66,5.98,76.75,0.0,101.7,6.12,2.91,238.88,8.3,2.37,239.31
1990,1,28,11.26,6.51,8.88,11.08,7.86,16.06,8.21,5.98,73.56,0.0,101.4,3.91,3.19,197.06,5.7,4.23,197.62
1990,1,29,10.97,6.63,8.8,11.08,6.33,15.11,8.78,6.1,75.25,2.13,100.85,5.94,5.35,228.69,8.13,5.51,229.31
1990,1,30,11.12,7.05,9.08,11.46,10.25,17.07,6.82,6.23,77.94,0.0,101.3,5.02,3.2,257.69,7.02,5.76,258.19
1990,1,31,11.58,6.43,9.01,11.45,8.3,15.82,7.52,5.98,72.25,0.0,101.5,2.51,3.98,237.62,3.48,6.0,241.25
1990,2,1,11.76,6.6,9.19,11.84,8.48,16.27,7.8,6.04,71.44,0.0,101.17,5.34,5.18,248.25,7.48,5.66,249.31
1990,2,2,11.8,7.08,9.44,11.68,10.86,17.11,6.26,6.23,74.88,0.03,101.55,2.62,2.89,206.94,3.64,4.7,221.75
1990,2,3,12.24,7.73,9.98,12.01,8.59,16.7,8.1,6.47,76.12,0.01,102.12,1.83,2.19,227.31,2.38,3.53,228.31
1990,2,4,12.29,6.47,9.38,11.54,9.72,17.28,7.57,5.98,69.69,0.0,102.21,2.63,2.91,214.38,3.41,3.51,216.19
1990,2,5,12.65,8.43,10.54,12.15,7.29,17.19,9.9,6.84,76.75,0.0,102.25,2.11,3.48,118.06,2.78,5.7,117.75
1990,2,6,12.65,8.76,10.71,12.43,8.24,17.35,9.11,6.96,78.69,0.0,101.91,2.59,2.12,186.38,3.5,3.29,186.75
1990,2,7,13.17,8.94,11.05,13.25,8.45,17.93,9.48,7.02,76.94,0.0,101.72,3.01,1.56,165.69,4.19,2.66,165.88
1990,2,8,13.34,10.51,11.93,13.48,5.44,16.2,10.76,7.81,83.56,0.0,102.0,2.78,2.54,67.56,3.68,2.49,67.38
1990,2,9,13.77,8.71,11.24,13.61,8.27,17.83,9.57,6.9,73.06,0.0,101.96,1.7,2.55,267.88,2.24,4.23,268.19
1990,2,10,13.73,8.47,11.1,13.93,6.5,17.33,10.83,6.84,71.5,0.0,101.74,2.85,2.49,173.44,3.89,2.96,173.0
1990,2,11,13.3,8.12,10.72,13.05,10.45,18.92,8.47,6.71,73.0,0.0,101.35,4.02,2.95,242.44,5.74,2.75,242.38
