YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,WS2M
1990,1,1,2.92,3.21,0.59,328.6,56.1,-999.0,-999.0,-999.0,-999.0,3.48
1990,1,2,2.95,3.23,0.59,322.5,56.7,-999.0,-999.0,-999.0,-999.0,2.43
1990,1,3,3.11,3.36,0.62,324.7,60.6,-999.0,-999.0,-999.0,-999.0,2.02
1990,1,4,1.83,3.5,0.37,330.1,37.2,-999.0,-999.0,-999.0,-999.0,2.41
1990,1,5,1.55,3.46,0.31,355.0,32.1,-999.0,-999.0,-999.0,-999.0,4.06
1990,1,6,2.18,3.24,0.44,350.7,43.7,-999.0,-999.0,-999.0,-999.0,4.83
1990,1,7,3.42,3.63,0.68,306.5,64.7,-999.0,-999.0,-999.0,-999.0,2.08
1990,1,8,3.3,3.58,0.65,325.8,62.8,-999.0,-999.0,-999.0,-999.0,2.25
1990,1,9,3.16,3.2,0.62,329.4,60.9,-999.0,-999.0,-999.0,-999.0,2.6
1990,1,10,1.63,3.48,0.32,337.6,33.1,-999.0,-999.0,-999.0,-999.0,2.64
1990,1,11,3.33,3.49,0.65,323.5,63.4,-999.0,-999.0,-999.0,-999.0,3.16
1990,1,12,2.79,3.4,0.54,342.7,54.7,-999.0,-999.0,-999.0,-999.0,4.38
1990,1,13,3.48,3.6,0.67,317.3,66.9,-999.0,-999.0,-999.0,-999.0,3.01
1990,1,14,3.18,3.44,0.61,326.5,61.3,-999.0,-999.0,-999.0,-999.0,3.59
1990,1,15,1.83,3.74,0.34,357.0,37.4,-999.0,-999.0,-999.0,-999.0,4.84
1990,1,16,1.37,3.84,0.26,346.0,28.3,-999.0,-999.0,-999.0,-999.0,4.76
1990,1,17,1.53,3.83,0.29,352.7,31.9,-999.0,-999.0,-999.0,-999.0,3.37
1990,1,18,1.21,3.86,0.23,324.2,25.4,-999.0,-999.0,-999.0,-999.0,1.94
1990,1,19,1.99,3.64,0.37,350.5,40.7,-999.0,-999.0,-999.0,-999.0,3.8
1990,1,20,1.26,3.97,0.23,343.4,26.4,-999.0,-999.0,-999.0,-999.0,5.93
1990,1,21,0.34,3.98,0.06,331.5,7.8,-999.0,-999.0,-999.0,-999.0,8.77
1990,1,22,1.82,3.76,0.33,354.7,37.4,-999.0,-999.0,-999.0,-999.0,8.41
1990,1,23,1.98,3.49,0.36,355.7,40.4,-999.0,-999.0,-999.0,-999.0,4.05
1990,1,24,1.83,3.98,0.33,348.7,37.4,-999.0,-999.0,-999.0,-999.0,6.59
1990,1,25,3.7,3.84,0.66,303.4,71.5,-999.0,-999.0,-999.0,-999.0,2.44
1990,1,26,3.67,3.86,0.64,299.8,71.3,-999.0,-999.0,-999.0,-999.0,4.57
1990,1,27,3.63,4.06,0.63,293.2,69.9,-999.0,-999.0,-999.0,-999.0,4.66
1990,1,28,2.05,4.25,0.35,344.8,41.9,-999.0,-999.0,-999.0,-999.0,2.77
1990,1,29,0.66,4.28,0.11,336.9,14.6,-999.0,-999.0,-999.0,-999.0,4.52
1990,1,30,3.71,4.0,0.63,293.9,71.9,-999.0,-999.0,-999.0,-999.0,3.81
1990,1,31,3.43,4.4,0.58,336.3,67.1,-999.0,-999.0,-999.0,-999.0,1.71
1990,2,1,3.94,4.02,0.66,318.0,75.8,-999.0,-999.0,-999.0,-999.0,3.99
1990,2,2,3.94,3.95,0.66,299.4,75.8,-999.0,-999.0,-999.0,-999.0,1.97
1990,2,3,3.54,4.15,0.58,302.7,69.5,-999.0,-999.0,-999.0,-999.0,1.33
1990,2,4,3.86,3.86,0.63,293.8,73.5,-999.0,-999.0,-999.0,-999.0,1.9
1990,2,5,3.93,4.02,0.63,304.0,74.8,-999.0,-999.0,-999.0,-999.0,1.6
1990,2,6,4.0,4.01,0.64,297.5,75.9,-999.0,-999.0,-999.0,-999.0,1.8
1990,2,7,3.67,3.72,0.59,315.7,70.2,-999.0,-999.0,-999.0,-999.0,2.1
1990,2,8,4.25,3.74,0.67,316.4,82.4,-999.0,-999.0,-999.0,-999.0,2.02
1990,2,9,4.26,3.85,0.66,307.4,81.5,-999.0,-999.0,-999.0,-999.0,1.27
1990,2,10,3.85,4.13,0.59,323.9,75.0,-999.0,-999.0,-999.0,-999.0,2.09
1990,2,11,4.3,4.31,0.66,310.6,82.6,-999.0,-999.0,-999.0,-999.0,2.88
1990,2,12,3.36,4.61,0.52,338.8,67.0,-999.0,-999.0,-999.0,-999.0,3.99
1990,2,13,3.94,4.01,0.59,340.8,75.4,-999.0,-999.0,-999.0,-999.0,2.84
1990,2,14,4.08,4.11,0.61,344.7,78.0,-999.0,-999.0,-999.0,-999.0,3.83
1990,2,15,4.15,4.16,0.62,307.2,78.1,-999.0,-999.0,-999.0,-999.0,4.27
1990,2,16,4.24,4.25,0.62,314.5,80.2,-999.0,-999.0,-999.0,-999.0,2.02
1990,2,17,4.13,4.17,0.6,336.3,80.1,-999.0,-999.0,-999.0,-999.0,1.23
1990,2,18,4.53,4.55,0.66,312.7,86.4,-999.0,-999.0,-999.0,-999.0,1.69
1990,2,19,3.86,4.44,0.55,331.7,75.2,-999.0,-999.0,-999.0,-999.0,1.94
