YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,WS2M,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_RANGE,WD10M,WS50M,WS50M_RANGE,WD50M
1990,1,1,2.92,3.21,0.59,328.6,56.1,-999.0,-999.0,-999.0,-999.0,3.48,13.81,7.9,10.85,13.93,7.98,18.26,10.27,6.65,69.75,0.29,100.83,4.66,4.64,325.12,6.51,4.48,325.75
1990,1,2,2.95,3.23,0.59,322.5,56.7,-999.0,-999.0,-999.0,-999.0,2.43,12.84,5.78,9.31,13.15,8.98,17.49,8.5,5.74,65.06,0.01,101.27,3.3,1.56,297.38,4.48,2.2,297.44
1990,1,3,3.11,3.36,0.62,324.7,60.6,-999.0,-999.0,-999.0,-999.0,2.02,12.61,5.72,9.16,13.01,8.26,17.45,9.19,5.68,63.88,0.0,101.17,2.73,3.06,258.94,3.52,3.3,258.75
1990,1,4,1.83,3.5,0.37,330.1,37.2,-999.0,-999.0,-999.0,-999.0,2.41,11.84,5.9,8.87,11.69,8.21,16.14,7.93,5.8,68.56,0.33,100.75,3.39,2.74,154.06,4.95,5.8,153.75
1990,1,5,1.55,3.46,0.31,355.0,32.1,-999.0,-999.0,-999.0,-999.0,4.06,13.27,10.19,11.73,13.21,4.4,15.85,11.44,7.75,81.94,6.49,100.79,5.38,3.77,139.62,7.3,4.65,140.0
1990,1,6,2.18,3.24,0.44,350.7,43.7,-999.0,-999.0,-999.0,-999.0,4.83,13.77,10.74,12.26,13.82,5.3,16.87,11.55,7.93,82.69,6.54,101.82,6.27,5.09,62.25,8.51,4.11,47.81
1990,1,7,3.42,3.63,0.68,306.5,64.7,-999.0,-999.0,-999.0,-999.0,2.08,12.08,7.15,9.62,12.37,7.44,16.45,9.01,6.23,73.94,0.12,102.44,2.94,2.68,75.12,4.02,5.14,75.62
1990,1,8,3.3,3.58,0.65,325.8,62.8,-999.0,-999.0,-999.0,-999.0,2.25,12.99,7.19,10.09,12.31,7.91,17.64,9.73,6.23,70.12,0.01,102.51,3.07,3.39,142.44,4.09,4.57,142.44
1990,1,9,3.16,3.2,0.62,329.4,60.9,-999.0,-999.0,-999.0,-999.0,2.6,13.8,8.62,11.21,13.76,4.86,16.59,11.73,6.84,71.62,0.99,102.37,3.59,2.04,107.62,5.21,4.88,107.81
1990,1,10,1.63,3.48,0.32,337.6,33.1,-999.0,-999.0,-999.0,-999.0,2.64,12.98,9.26,11.12,13.16,3.22,14.77,11.55,7.14,78.75,2.65,102.11,3.55,2.42,97.25,4.94,3.48,97.38
1990,1,11,3.33,3.49,0.65,323.5,63.4,-999.0,-999.0,-999.0,-999.0,3.16,12.51,9.8,11.15,12.87,3.66,14.62,10.96,7.45,84.12,0.34,101.79,4.2,3.31,80.5,5.88,3.51,80.19
1990,1,12,2.79,3.4,0.54,342.7,54.7,-999.0,-999.0,-999.0,-999.0,4.38,13.65,8.41,11.03,13.35,5.23,16.47,11.23,6.84,71.5,1.66,101.5,5.8,4.67,105.75,8.21,5.61,105.19
1990,1,13,3.48,3.6,0.67,317.3,66.9,-999.0,-999.0,-999.0,-999.0,3.01,12.83,7.45,10.14,13.12,6.98,16.48,9.51,6.47,71.75,2.5,101.31,3.95,5.57,195.69,5.31,7.59,195.44
