YEAR,DOY,GWETTOP,GWETROOT,GWETPROF
2021,1,0.27,0.28,0.28
2021,2,0.27,0.28,0.28
2021,3,0.27,0.28,0.28
2021,4,0.27,0.28,0.28
2021,5,0.27,0.28,0.28
2021,6,0.27,0.28,0.28
2021,7,0.26,0.28,0.28
2021,8,0.26,0.28,0.28
2021,9,0.25,0.28,0.28
2021,10,0.24,0.27,0.28
2021,11,0.25,0.27,0.28
2021,12,0.26,0.27,0.28
2021,13,0.26,0.27,0.28
2021,14,0.26,0.27,0.27
2021,15,0.26,0.27,0.27
2021,16,0.26,0.27,0.27
2021,17,0.26,0.27,0.27
2021,18,0.26,0.27,0.27
2021,19,0.26,0.27,0.27
2021,20,0.26,0.27,0.27
2021,21,0.25,0.27,0.27
2021,22,0.25,0.27,0.27
2021,23,0.25,0.27,0.27
2021,24,0.25,0.27,0.27
2021,25,0.25,0.27,0.27
2021,26,0.25,0.27,0.27
2021,27,0.25,0.27,0.27
2021,28,0.25,0.27,0.27
2021,29,0.24,0.27,0.27
2021,30,0.24,0.27,0.27
2021,31,0.23,0.27,0.27
2021,32,0.24,0.27,0.27
2021,33,0.25,0.27,0.27
2021,34,0.24,0.27,0.27
2021,35,0.24,0.27,0.27
2021,36,0.23,0.27,0.27
2021,37,0.23,0.27,0.27
2021,38,0.23,0.27,0.27
2021,39,0.23,0.27,0.27
2021,40,0.23,0.27,0.27
2021,41,0.23,0.27,0.27
2021,42,0.22,0.27,0.27
2021,43,0.22,0.26,0.27
2021,44,0.23,0.26,0.27
2021,45,0.23,0.26,0.27
2021,46,0.23,0.26,0.27
2021,47,0.23,0.26,0.27
2021,48,0.23,0.26,0.27
2021,49,0.23,0.26,0.26
2021,50,0.22,0.26,0.26
2021,51,0.22,0.26,0.26
2021,52,0.22,0.26,0.26
2021,53,0.22,0.26,0.26
2021,54,0.22,0.26,0.26
2021,55,0.23,0.26,0.26
2021,56,0.23,0.26,0.26
2021,57,0.23,0.26,0.26
2021,58,0.23,0.26,0.26
2021,59,0.23,0.26,0.26
2021,60,0.23,0.26,0.26
2021,61,0.23,0.26,0.26
2021,62,0.23,0.26,0.26
2021,63,0.23,0.26,0.26
2021,64,0.23,0.26,0.26
2021,65,0.23,0.26,0.26
2021,66,0.24,0.26,0.26
2021,67,0.27,0.26,0.26
2021,68,0.26,0.26,0.26
2021,69,0.26,0.26,0.26
2021,70,0.25,0.26,0.26
2021,71,0.23,0.26,0.26
2021,72,0.23,0.26,0.26
2021,73,0.23,0.25,0.26
2021,74,0.23,0.25,0.26
2021,75,0.22,0.25,0.26
2021,76,0.21,0.25,0.25
2021,77,0.21,0.25,0.25
2021,78,0.21,0.25,0.25
2021,79,0.22,0.25,0.25
2021,80,0.25,0.25,0.25
2021,81,0.27,0.25,0.25
2021,82,0.24,0.25,0.25
2021,83,0.23,0.25,0.25
2021,84,0.23,0.25,0.25
2021,85,0.22,0.25,0.25
2021,86,0.2,0.25,0.25
2021,87,0.2,0.25,0.25
2021,88,0.2,0.25,0.25
2021,89,0.2,0.25,0.25
2021,90,0.2,0.25,0.25
