"DATETIME,TIME,LON,LAT,TOTAL_COLUMN_OZONE"
"""OCT-2004"",12692,8.75,34.5,349.414"
"""NOV-2004"",12723,8.75,34.5,368.132"
"""DEC-2004"",12753,8.75,34.5,373.267"
"""JAN-2005"",12784,8.75,34.5,391.95"
"""FEB-2005"",12815,8.75,34.5,415.319"
"""MAR-2005"",12843,8.75,34.5,408.879"
"""APR-2005"",12874,8.75,34.5,409.013"
"""MAY-2005"",12904,8.75,34.5,395.3"
"""JUN-2005"",12935,8.75,34.5,399.974"
"""JUL-2005"",12965,8.75,34.5,366.815"
"""AUG-2005"",12996,8.75,34.5,369.579"
"""SEP-2005"",13027,8.75,34.5,358.289"
"""OCT-2005"",13057,8.75,34.5,345.03"
"""NOV-2005"",13088,8.75,34.5,343.905"
"""DEC-2005"",13118,8.75,34.5,381.05"
"""JAN-2006"",13149,8.75,34.5,396.479"
"""FEB-2006"",13180,8.75,34.5,378.106"
"""MAR-2006"",13208,8.75,34.5,391.054"
"""APR-2006"",13239,8.75,34.5,397.342"
"""MAY-2006"",13269,8.75,34.5,404.036"
"""JUN-2006"",13300,8.75,34.5,394.91"
"""JUL-2006"",13330,8.75,34.5,382.454"
"""AUG-2006"",13361,8.75,34.5,373.788"
"""SEP-2006"",13392,8.75,34.5,365.277"
"""OCT-2006"",13422,8.75,34.5,353.165"
"""NOV-2006"",13453,8.75,34.5,365.698"
"""DEC-2006"",13483,8.75,34.5,366.738"
"""JAN-2007"",13514,8.75,34.5,359.154"
"""FEB-2007"",13545,8.75,34.5,403.824"
"""MAR-2007"",13573,8.75,34.5,431.25"
"""APR-2007"",13604,8.75,34.5,428.629"
"""MAY-2007"",13634,8.75,34.5,414.996"
"""JUN-2007"",13665,8.75,34.5,389.414"
"""JUL-2007"",13695,8.75,34.5,366.192"
"""AUG-2007"",13726,8.75,34.5,362.964"
"""SEP-2007"",13757,8.75,34.5,359.56"
"""OCT-2007"",13787,8.75,34.5,358.392"
"""NOV-2007"",13818,8.75,34.5,351.685"
"""DEC-2007"",13848,8.75,34.5,366.143"
"""JAN-2008"",13879,8.75,34.5,367.463"
"""FEB-2008"",13910,8.75,34.5,389.076"
"""MAR-2008"",13939,8.75,34.5,409.05"
"""APR-2008"",13970,8.75,34.5,397.407"
"""MAY-2008"",14000,8.75,34.5,396.233"
"""JUN-2008"",14031,8.75,34.5,387.392"
"""JUL-2008"",14061,8.75,34.5,368.867"
"""AUG-2008"",14092,8.75,34.5,366.338"
"""SEP-2008"",14123,8.75,34.5,355.481"
"""OCT-2008"",14153,8.75,34.5,353.328"
"""NOV-2008"",14184,8.75,34.5,361.879"
"""DEC-2008"",14214,8.75,34.5,385.718"
"""JAN-2009"",14245,8.75,34.5,385.213"
"""FEB-2009"",14276,8.75,34.5,413.824"
"""MAR-2009"",14304,8.75,34.5,415.182"
"""APR-2009"",14335,8.75,34.5,445.58"
"""MAY-2009"",14365,8.75,34.5,413.437"
"""JUN-2009"",14396,8.75,34.5,394.017"
"""JUL-2009"",14426,8.75,34.5,375.973"
"""AUG-2009"",14457,8.75,34.5,365.109"
"""SEP-2009"",14488,8.75,34.5,366.283"
"""OCT-2009"",14518,8.75,34.5,353.631"
"""NOV-2009"",14549,8.75,34.5,348.799"
"""DEC-2009"",14579,8.75,34.5,357.951"
"""JAN-2010"",14610,8.75,34.5,386.854"
"""FEB-2010"",14641,8.75,34.5,397.625"
"""MAR-2010"",14669,8.75,34.5,403.309"
"""APR-2010"",14700,8.75,34.5,429.035"
"""MAY-2010"",14730,8.75,34.5,416.986"
"""JUN-2010"",14761,8.75,34.5,400.908"
"""JUL-2010"",14791,8.75,34.5,386.25"
"""AUG-2010"",14822,8.75,34.5,372.25"
"""SEP-2010"",14853,8.75,34.5,367.792"
"""OCT-2010"",14883,8.75,34.5,357.61"
"""NOV-2010"",14914,8.75,34.5,356.883"
"""DEC-2010"",14944,8.75,34.5,353.853"
"""JAN-2011"",14975,8.75,34.5,372.485"
"""FEB-2011"",15006,8.75,34.5,422.732"
"""MAR-2011"",15034,8.75,34.5,412.412"
"""APR-2011"",15065,8.75,34.5,405.785"
"""MAY-2011"",15095,8.75,34.5,394.987"
"""JUN-2011"",15126,8.75,34.5,386.05"
"""JUL-2011"",15156,8.75,34.5,365.71"
"""AUG-2011"",15187,8.75,34.5,365.673"
"""SEP-2011"",15218,8.75,34.5,351.382"
"""OCT-2011"",15248,8.75,34.5,355.256"
"""NOV-2011"",15279,8.75,34.5,350.65"
"""DEC-2011"",15309,8.75,34.5,359.224"
"""JAN-2012"",15340,8.75,34.5,391.531"
"""FEB-2012"",15371,8.75,34.5,414.245"
"""MAR-2012"",15400,8.75,34.5,418.417"
"""APR-2012"",15431,8.75,34.5,405.96"
"""MAY-2012"",15461,8.75,34.5,407.64"
"""JUN-2012"",15492,8.75,34.5,387.708"
"""JUL-2012"",15522,8.75,34.5,368.964"
"""AUG-2012"",15553,8.75,34.5,364.575"
"""SEP-2012"",15584,8.75,34.5,359.165"
"""OCT-2012"",15614,8.75,34.5,341.056"
"""NOV-2012"",15645,8.75,34.5,348.868"
"""DEC-2012"",15675,8.75,34.5,351.563"
"""JAN-2013"",15706,8.75,34.5,399.143"
"""FEB-2013"",15737,8.75,34.5,397.187"
"""MAR-2013"",15765,8.75,34.5,383.512"
"""APR-2013"",15796,8.75,34.5,405.168"
"""MAY-2013"",15826,8.75,34.5,390.193"
"""JUN-2013"",15857,8.75,34.5,398.078"
"""JUL-2013"",15887,8.75,34.5,382.021"
"""AUG-2013"",15918,8.75,34.5,375.547"
"""SEP-2013"",15949,8.75,34.5,368.299"
"""OCT-2013"",15979,8.75,34.5,347.056"
"""NOV-2013"",16010,8.75,34.5,365.736"
"""DEC-2013"",16040,8.75,34.5,373.917"
"""JAN-2014"",16071,8.75,34.5,396.393"
"""FEB-2014"",16102,8.75,34.5,395.232"
"""MAR-2014"",16130,8.75,34.5,429.474"
"""APR-2014"",16161,8.75,34.5,414.625"
"""MAY-2014"",16191,8.75,34.5,403.813"
"""JUN-2014"",16222,8.75,34.5,394.25"
"""JUL-2014"",16252,8.75,34.5,379.006"
"""AUG-2014"",16283,8.75,34.5,364.29"
"""SEP-2014"",16314,8.75,34.5,358.1"
"""OCT-2014"",16344,8.75,34.5,358.053"
"""NOV-2014"",16375,8.75,34.5,350.806"
"""DEC-2014"",16405,8.75,34.5,373.076"
"""JAN-2015"",16436,8.75,34.5,387.585"
"""FEB-2015"",16467,8.75,34.5,427.522"
"""MAR-2015"",16495,8.75,34.5,426.539"
"""APR-2015"",16526,8.75,34.5,418.103"
"""MAY-2015"",16556,8.75,34.5,407.194"
"""JUN-2015"",16587,8.75,34.5,404.108"
"""JUL-2015"",16617,8.75,34.5,385.619"
"""AUG-2015"",16648,8.75,34.5,378.698"
"""SEP-2015"",16679,8.75,34.5,368.388"
"""OCT-2015"",16709,8.75,34.5,354.303"
"""NOV-2015"",16740,8.75,34.5,357.5"
"""DEC-2015"",16770,8.75,34.5,348.333"
"""JAN-2016"",16801,8.75,34.5,367.118"
"""FEB-2016"",16832,8.75,34.5,383.868"
"""MAR-2016"",16861,8.75,34.5,427.688"
"""APR-2016"",16892,8.75,34.5,396.208"
"""MAY-2016"",16922,8.75,34.5,403.467"
"""JUN-2016"",16953,8.75,34.5,389.625"
"""JUL-2016"",16983,8.75,34.5,372.302"
"""AUG-2016"",17014,8.75,34.5,374.359"
"""SEP-2016"",17045,8.75,34.5,361.394"
"""OCT-2016"",17075,8.75,34.5,336.783"
"""NOV-2016"",17106,8.75,34.5,351.963"
"""DEC-2016"",17136,8.75,34.5,364.766"
"""JAN-2017"",17167,8.75,34.5,394.597"
"""FEB-2017"",17198,8.75,34.5,409.348"
"""MAR-2017"",17226,8.75,34.5,394.775"
"""APR-2017"",17257,8.75,34.5,428.587"
"""MAY-2017"",17287,8.75,34.5,401.167"
"""JUN-2017"",17318,8.75,34.5,401.441"
"""JUL-2017"",17348,8.75,34.5,376.935"
"""AUG-2017"",17379,8.75,34.5,368.49"
"""SEP-2017"",17410,8.75,34.5,361.967"
"""OCT-2017"",17440,8.75,34.5,361.847"
"""NOV-2017"",17471,8.75,34.5,375.164"
"""DEC-2017"",17501,8.75,34.5,381.648"
"""JAN-2018"",17532,8.75,34.5,391.188"
"""FEB-2018"",17563,8.75,34.5,418.842"
"""MAR-2018"",17591,8.75,34.5,428.646"
"""APR-2018"",17622,8.75,34.5,417.653"
"""MAY-2018"",17652,8.75,34.5,410.653"
"""JUN-2018"",17683,8.75,34.5,402.175"
"""JUL-2018"",17713,8.75,34.5,374.174"
"""AUG-2018"",17744,8.75,34.5,382.467"
"""SEP-2018"",17775,8.75,34.5,362.571"
"""OCT-2018"",17805,8.75,34.5,349.257"
"""NOV-2018"",17836,8.75,34.5,333.625"
"""DEC-2018"",17866,8.75,34.5,347.096"
"""JAN-2019"",17897,8.75,34.5,392.969"
"""FEB-2019"",17928,8.75,34.5,395.669"
"""MAR-2019"",17956,8.75,34.5,383.984"
"""APR-2019"",17987,8.75,34.5,403.946"
"""MAY-2019"",18017,8.75,34.5,421.03"
"""JUN-2019"",18048,8.75,34.5,393.708"
"""JUL-2019"",18078,8.75,34.5,380.722"
"""AUG-2019"",18109,8.75,34.5,369.33"
"""SEP-2019"",18140,8.75,34.5,363.056"
"""OCT-2019"",18170,8.75,34.5,358.462"
"""NOV-2019"",18201,8.75,34.5,378.882"
"""DEC-2019"",18231,8.75,34.5,388.139"
"""JAN-2020"",18262,8.75,34.5,400.944"
"""FEB-2020"",18293,8.75,34.5,378.515"
"""MAR-2020"",18322,8.75,34.5,421.523"
"""APR-2020"",18353,8.75,34.5,405.965"
"""MAY-2020"",18383,8.75,34.5,389.926"
"""JUN-2020"",18414,8.75,34.5,378.717"
"""JUL-2020"",18444,8.75,34.5,360.208"
"""AUG-2020"",18475,8.75,34.5,363.03"
"""SEP-2020"",18506,8.75,34.5,354.658"
"""OCT-2020"",18536,8.75,34.5,349.244"
"""NOV-2020"",18567,8.75,34.5,348.956"
"""DEC-2020"",18597,8.75,34.5,367"
"""JAN-2021"",18628,8.75,34.5,385.283"
"""FEB-2021"",18659,8.75,34.5,373.859"
"""MAR-2021"",18687,8.75,34.5,420.389"
"""APR-2021"",18718,8.75,34.5,414.506"
"""MAY-2021"",18748,8.75,34.5,388.065"
"""JUN-2021"",18779,8.75,34.5,384.55"
"""JUL-2021"",18809,8.75,34.5,376.136"
"""AUG-2021"",18840,8.75,34.5,369.095"
"""SEP-2021"",18871,8.75,34.5,361.35"
"""OCT-2021"",18901,8.75,34.5,299.025"
"""NOV-2021"",18932,8.75,34.5,292.229"
"""DEC-2021"",18962,8.75,34.5,317.471"
"""JAN-2022"",18993,8.75,34.5,325.083"
"""FEB-2022"",19024,8.75,34.5,319.631"
"""MAR-2022"",19052,8.75,34.5,332.376"
"""APR-2022"",19083,8.75,34.5,330.176"
"""MAY-2022"",19113,8.75,34.5,334.789"
"""JUN-2022"",19144,8.75,34.5,298.279"
"""JUL-2022"",19174,8.75,34.5,301.8"
"""AUG-2022"",19205,8.75,34.5,298.865"
"""SEP-2022"",19236,8.75,34.5,287.575"
"""OCT-2022"",19266,8.75,34.5,270.865"
"""NOV-2022"",19297,8.75,34.5,273.482"
"""DEC-2022"",19327,8.75,34.5,281.994"
"""JAN-2023"",19358,8.75,34.5,316.412"
"""FEB-2023"",19389,8.75,34.5,303.962"
"""MAR-2023"",19417,8.75,34.5,308.238"
"""APR-2023"",19448,8.75,34.5,330.376"
"""MAY-2023"",19478,8.75,34.5,331.53"
