"DATETIME,TIME,LON,LAT,PRECIP"
"""JAN-1979"",65378,8.75,33.75,0.266404"
"""FEB-1979"",65409,8.75,33.75,1.67748"
"""MAR-1979"",65437,8.75,33.75,1.13462"
"""APR-1979"",65468,8.75,33.75,0.638729"
"""MAY-1979"",65498,8.75,33.75,0.195212"
"""JUN-1979"",65529,8.75,33.75,0.0957509"
"""JUL-1979"",65559,8.75,33.75,0.0251237"
"""AUG-1979"",65590,8.75,33.75,0.0706677"
"""SEP-1979"",65621,8.75,33.75,1.07165"
"""OCT-1979"",65651,8.75,33.75,0.334515"
"""NOV-1979"",65682,8.75,33.75,0.213397"
"""DEC-1979"",65712,8.75,33.75,0.0180344"
"""JAN-1980"",65743,8.75,33.75,0.357974"
"""FEB-1980"",65774,8.75,33.75,0.730253"
"""MAR-1980"",65803,8.75,33.75,1.10343"
"""APR-1980"",65834,8.75,33.75,0.735424"
"""MAY-1980"",65864,8.75,33.75,0.316045"
"""JUN-1980"",65895,8.75,33.75,0.0399978"
"""JUL-1980"",65925,8.75,33.75,0.0269038"
"""AUG-1980"",65956,8.75,33.75,0.0272414"
"""SEP-1980"",65987,8.75,33.75,0.532156"
"""OCT-1980"",66017,8.75,33.75,0.685161"
"""NOV-1980"",66048,8.75,33.75,0.541218"
"""DEC-1980"",66078,8.75,33.75,0.924544"
"""JAN-1981"",66109,8.75,33.75,0.228972"
"""FEB-1981"",66140,8.75,33.75,0.929736"
"""MAR-1981"",66168,8.75,33.75,0.177504"
"""APR-1981"",66199,8.75,33.75,0.0855239"
"""MAY-1981"",66229,8.75,33.75,0.176716"
"""JUN-1981"",66260,8.75,33.75,0.27257"
"""JUL-1981"",66290,8.75,33.75,0.0189383"
"""AUG-1981"",66321,8.75,33.75,0.228399"
"""SEP-1981"",66352,8.75,33.75,0.256885"
"""OCT-1981"",66382,8.75,33.75,0.149501"
"""NOV-1981"",66413,8.75,33.75,0.113972"
"""DEC-1981"",66443,8.75,33.75,0.103508"
"""JAN-1982"",66474,8.75,33.75,0.839826"
"""FEB-1982"",66505,8.75,33.75,0.609406"
"""MAR-1982"",66533,8.75,33.75,0.325935"
"""APR-1982"",66564,8.75,33.75,1.13466"
"""MAY-1982"",66594,8.75,33.75,0.658057"
"""JUN-1982"",66625,8.75,33.75,0.129021"
"""JUL-1982"",66655,8.75,33.75,7.61112E-04"
"""AUG-1982"",66686,8.75,33.75,0.0329596"
"""SEP-1982"",66717,8.75,33.75,1.29597"
"""OCT-1982"",66747,8.75,33.75,0.924426"
"""NOV-1982"",66778,8.75,33.75,1.49904"
"""DEC-1982"",66808,8.75,33.75,0.866062"
"""JAN-1983"",66839,8.75,33.75,0.148344"
"""FEB-1983"",66870,8.75,33.75,0.460529"
"""MAR-1983"",66898,8.75,33.75,0.411213"
"""APR-1983"",66929,8.75,33.75,0.0245605"
"""MAY-1983"",66959,8.75,33.75,0.269089"
"""JUN-1983"",66990,8.75,33.75,0.545001"
"""JUL-1983"",67020,8.75,33.75,0.0235322"
"""AUG-1983"",67051,8.75,33.75,0.109321"
"""SEP-1983"",67082,8.75,33.75,0.0260794"
"""OCT-1983"",67112,8.75,33.75,0.460997"
"""NOV-1983"",67143,8.75,33.75,0.183026"
"""DEC-1983"",67173,8.75,33.75,0.703466"
"""JAN-1984"",67204,8.75,33.75,0.273331"
"""FEB-1984"",67235,8.75,33.75,0.492015"
"""MAR-1984"",67264,8.75,33.75,1.0703"
"""APR-1984"",67295,8.75,33.75,0.494112"
"""MAY-1984"",67325,8.75,33.75,0.357098"
"""JUN-1984"",67356,8.75,33.75,0.0196271"
"""JUL-1984"",67386,8.75,33.75,0.00783632"
"""AUG-1984"",67417,8.75,33.75,0.118982"
"""SEP-1984"",67448,8.75,33.75,0.249551"
"""OCT-1984"",67478,8.75,33.75,2.27488"
"""NOV-1984"",67509,8.75,33.75,0.313559"
"""DEC-1984"",67539,8.75,33.75,0.667593"
"""JAN-1985"",67570,8.75,33.75,0.994206"
"""FEB-1985"",67601,8.75,33.75,0.069044"
"""MAR-1985"",67629,8.75,33.75,0.638783"
"""APR-1985"",67660,8.75,33.75,0.42046"
"""MAY-1985"",67690,8.75,33.75,0.581906"
"""JUN-1985"",67721,8.75,33.75,0.0665808"
"""JUL-1985"",67751,8.75,33.75,0.00157007"
"""AUG-1985"",67782,8.75,33.75,0"
"""SEP-1985"",67813,8.75,33.75,0.452748"
"""OCT-1985"",67843,8.75,33.75,0.258407"
"""NOV-1985"",67874,8.75,33.75,0.0389361"
"""DEC-1985"",67904,8.75,33.75,0.442903"
"""JAN-1986"",67935,8.75,33.75,0.33016"
"""FEB-1986"",67966,8.75,33.75,0.223775"
"""MAR-1986"",67994,8.75,33.75,1.33882"
"""APR-1986"",68025,8.75,33.75,0.676998"
"""MAY-1986"",68055,8.75,33.75,0.436213"
"""JUN-1986"",68086,8.75,33.75,0.0642954"
"""JUL-1986"",68116,8.75,33.75,0.122566"
"""AUG-1986"",68147,8.75,33.75,0.174456"
"""SEP-1986"",68178,8.75,33.75,0.530482"
"""OCT-1986"",68208,8.75,33.75,0.593836"
"""NOV-1986"",68239,8.75,33.75,1.24797"
"""DEC-1986"",68269,8.75,33.75,1.12175"
"""JAN-1987"",68300,8.75,33.75,0.464721"
"""FEB-1987"",68331,8.75,33.75,0.494521"
"""MAR-1987"",68359,8.75,33.75,0.39509"
"""APR-1987"",68390,8.75,33.75,0.485904"
"""MAY-1987"",68420,8.75,33.75,0.238969"
"""JUN-1987"",68451,8.75,33.75,0.110754"
"""JUL-1987"",68481,8.75,33.75,0.139491"
"""AUG-1987"",68512,8.75,33.75,0.0833582"
"""SEP-1987"",68543,8.75,33.75,0.173225"
"""OCT-1987"",68573,8.75,33.75,0.590761"
"""NOV-1987"",68604,8.75,33.75,0.504311"
"""DEC-1987"",68634,8.75,33.75,0.436138"
"""JAN-1988"",68665,8.75,33.75,0.397804"
"""FEB-1988"",68696,8.75,33.75,0.172455"
"""MAR-1988"",68725,8.75,33.75,0.310887"
"""APR-1988"",68756,8.75,33.75,0.191822"
"""MAY-1988"",68786,8.75,33.75,0.183557"
"""JUN-1988"",68817,8.75,33.75,0.483259"
"""JUL-1988"",68847,8.75,33.75,0.0383002"
"""AUG-1988"",68878,8.75,33.75,0.097721"
"""SEP-1988"",68909,8.75,33.75,0.439367"
"""OCT-1988"",68939,8.75,33.75,0.102492"
"""NOV-1988"",68970,8.75,33.75,1.02975"
"""DEC-1988"",69000,8.75,33.75,1.00368"
"""JAN-1989"",69031,8.75,33.75,0.3276"
"""FEB-1989"",69062,8.75,33.75,0.21312"
"""MAR-1989"",69090,8.75,33.75,0.212782"
"""APR-1989"",69121,8.75,33.75,0.148875"
"""MAY-1989"",69151,8.75,33.75,0.139372"
"""JUN-1989"",69182,8.75,33.75,0.200031"
"""JUL-1989"",69212,8.75,33.75,0.0605379"
"""AUG-1989"",69243,8.75,33.75,0.491128"
"""SEP-1989"",69274,8.75,33.75,0.190023"
"""OCT-1989"",69304,8.75,33.75,0.259434"
"""NOV-1989"",69335,8.75,33.75,0.475802"
"""DEC-1989"",69365,8.75,33.75,0.203102"
"""JAN-1990"",69396,8.75,33.75,4.97566"
"""FEB-1990"",69427,8.75,33.75,0.0306894"
"""MAR-1990"",69455,8.75,33.75,0.754445"
"""APR-1990"",69486,8.75,33.75,1.15516"
"""MAY-1990"",69516,8.75,33.75,1.02112"
"""JUN-1990"",69547,8.75,33.75,0.105188"
"""JUL-1990"",69577,8.75,33.75,0.0975004"
"""AUG-1990"",69608,8.75,33.75,0.730233"
"""SEP-1990"",69639,8.75,33.75,0.302671"
"""OCT-1990"",69669,8.75,33.75,0.378743"
"""NOV-1990"",69700,8.75,33.75,1.12086"
"""DEC-1990"",69730,8.75,33.75,1.48937"
"""JAN-1991"",69761,8.75,33.75,0.457266"
"""FEB-1991"",69792,8.75,33.75,0.460106"
"""MAR-1991"",69820,8.75,33.75,1.17837"
"""APR-1991"",69851,8.75,33.75,0.327207"
"""MAY-1991"",69881,8.75,33.75,0.660973"
"""JUN-1991"",69912,8.75,33.75,0.203177"
"""JUL-1991"",69942,8.75,33.75,0.0434083"
"""AUG-1991"",69973,8.75,33.75,0.0888459"
"""SEP-1991"",70004,8.75,33.75,0.436355"
"""OCT-1991"",70034,8.75,33.75,0.457473"
"""NOV-1991"",70065,8.75,33.75,0.349584"
"""DEC-1991"",70095,8.75,33.75,0.275311"
"""JAN-1992"",70126,8.75,33.75,0.984882"
"""FEB-1992"",70157,8.75,33.75,0.436127"
"""MAR-1992"",70186,8.75,33.75,0.729885"
"""APR-1992"",70217,8.75,33.75,0.884842"
