"DATETIME,TIME,LON,LAT,CH4_VMR_A_"
"""JAN-2019"",0,9,34,1.85822"
"""FEB-2019"",1,9,34,1.85962"
"""MAR-2019"",2,9,34,1.86102"
"""APR-2019"",3,9,34,1.88011"
"""MAY-2019"",4,9,34,1.86532"
"""JUN-2019"",5,9,34,1.86218"
"""JUL-2019"",6,9,34,1.8694"
"""AUG-2019"",7,9,34,1.87929"
"""SEP-2019"",8,9,34,1.88802"
"""OCT-2019"",9,9,34,1.88081"
"""NOV-2019"",10,9,34,1.87475"
"""DEC-2019"",11,9,34,1.85636"
"""JAN-2020"",12,9,34,1.86334"
"""FEB-2020"",13,9,34,1.86614"
"""MAR-2020"",14,9,34,1.87405"
"""APR-2020"",15,9,34,1.86707"
"""MAY-2020"",16,9,34,1.86777"
"""JUN-2020"",17,9,34,1.86206"
"""JUL-2020"",18,9,34,1.88663"
"""AUG-2020"",19,9,34,1.88011"
"""SEP-2020"",20,9,34,1.88593"
"""OCT-2020"",21,9,34,1.89012"
"""NOV-2020"",22,9,34,1.88453"
"""DEC-2020"",23,9,34,1.8779"
"""JAN-2021"",24,9,34,1.87207"
"""FEB-2021"",25,9,34,1.85962"
"""MAR-2021"",26,9,34,1.88476"
"""APR-2021"",27,9,34,1.88022"
"""MAY-2021"",28,9,34,1.88907"
"""JUN-2021"",29,9,34,1.8779"
"""JUL-2021"",30,9,34,1.89373"
"""AUG-2021"",31,9,34,1.89652"
"""SEP-2021"",32,9,34,1.89641"
"""OCT-2021"",33,9,34,1.89431"
"""NOV-2021"",34,9,34,1.89187"
"""DEC-2021"",35,9,34,1.8701"
"""JAN-2022"",36,9,34,1.89315"
"""FEB-2022"",37,9,34,1.88185"
"""MAR-2022"",38,9,34,1.90106"
