"DATETIME,TIME,LON,LAT,CO2_PPMV_UPPERTROP"
"""SEP-2002"",0,8.5,34.5,373.39"
"""OCT-2002"",1,8.5,34.5,373.068"
"""NOV-2002"",2,8.5,34.5,374.334"
"""DEC-2002"",3,8.5,34.5,374.129"
"""JAN-2003"",4,8.5,34.5,374.71"
"""FEB-2003"",5,8.5,34.5,375.498"
"""MAR-2003"",6,8.5,34.5,375.996"
"""APR-2003"",7,8.5,34.5,376.344"
"""MAY-2003"",8,8.5,34.5,377.834"
"""JUN-2003"",9,8.5,34.5,378.002"
"""JUL-2003"",10,8.5,34.5,377.219"
"""AUG-2003"",11,8.5,34.5,376.07"
"""SEP-2003"",12,8.5,34.5,375.607"
"""OCT-2003"",13,8.5,34.5,374.846"
"""NOV-2003"",14,8.5,34.5,375.337"
"""DEC-2003"",15,8.5,34.5,375.951"
"""JAN-2004"",16,8.5,34.5,376.726"
"""FEB-2004"",17,8.5,34.5,377.185"
"""MAR-2004"",18,8.5,34.5,377.758"
"""APR-2004"",19,8.5,34.5,378.785"
"""MAY-2004"",20,8.5,34.5,378.981"
"""JUN-2004"",21,8.5,34.5,379.701"
"""JUL-2004"",22,8.5,34.5,378.379"
"""AUG-2004"",23,8.5,34.5,377.81"
"""SEP-2004"",24,8.5,34.5,377.167"
"""OCT-2004"",25,8.5,34.5,377.076"
"""NOV-2004"",26,8.5,34.5,376.506"
"""DEC-2004"",27,8.5,34.5,377.917"
"""JAN-2005"",28,8.5,34.5,379.386"
"""FEB-2005"",29,8.5,34.5,380.032"
"""MAR-2005"",30,8.5,34.5,379.583"
"""APR-2005"",31,8.5,34.5,380.769"
"""MAY-2005"",32,8.5,34.5,381.222"
"""JUN-2005"",33,8.5,34.5,381.772"
"""JUL-2005"",34,8.5,34.5,380.613"
"""AUG-2005"",35,8.5,34.5,379.908"
"""SEP-2005"",36,8.5,34.5,379.465"
"""OCT-2005"",37,8.5,34.5,379.133"
"""NOV-2005"",38,8.5,34.5,379.869"
"""DEC-2005"",39,8.5,34.5,380.122"
"""JAN-2006"",40,8.5,34.5,381.25"
"""FEB-2006"",41,8.5,34.5,381.625"
"""MAR-2006"",42,8.5,34.5,382.101"
"""APR-2006"",43,8.5,34.5,382.786"
"""MAY-2006"",44,8.5,34.5,382.872"
"""JUN-2006"",45,8.5,34.5,383.74"
"""JUL-2006"",46,8.5,34.5,382.305"
"""AUG-2006"",47,8.5,34.5,381.711"
"""SEP-2006"",48,8.5,34.5,381.456"
"""OCT-2006"",49,8.5,34.5,380.783"
"""NOV-2006"",50,8.5,34.5,381.456"
"""DEC-2006"",51,8.5,34.5,382.263"
"""JAN-2007"",52,8.5,34.5,382.973"
"""FEB-2007"",53,8.5,34.5,383.402"
"""MAR-2007"",54,8.5,34.5,383.368"
"""APR-2007"",55,8.5,34.5,383.916"
"""MAY-2007"",56,8.5,34.5,385.318"
"""JUN-2007"",57,8.5,34.5,384.868"
"""JUL-2007"",58,8.5,34.5,383.991"
"""AUG-2007"",59,8.5,34.5,382.887"
"""SEP-2007"",60,8.5,34.5,382.655"
"""OCT-2007"",61,8.5,34.5,383.494"
"""NOV-2007"",62,8.5,34.5,384.178"
"""DEC-2007"",63,8.5,34.5,384.186"
"""JAN-2008"",64,8.5,34.5,384.281"
"""FEB-2008"",65,8.5,34.5,385.508"
"""MAR-2008"",66,8.5,34.5,386.232"
"""APR-2008"",67,8.5,34.5,386.003"
"""MAY-2008"",68,8.5,34.5,386.951"
"""JUN-2008"",69,8.5,34.5,386.865"
"""JUL-2008"",70,8.5,34.5,386.399"
"""AUG-2008"",71,8.5,34.5,385.028"
"""SEP-2008"",72,8.5,34.5,384.596"
"""OCT-2008"",73,8.5,34.5,384.349"
"""NOV-2008"",74,8.5,34.5,385.131"
"""DEC-2008"",75,8.5,34.5,386.161"
"""JAN-2009"",76,8.5,34.5,387.052"
"""FEB-2009"",77,8.5,34.5,387.695"
"""MAR-2009"",78,8.5,34.5,387.862"
"""APR-2009"",79,8.5,34.5,387.916"
"""MAY-2009"",80,8.5,34.5,388.616"
"""JUN-2009"",81,8.5,34.5,388.632"
"""JUL-2009"",82,8.5,34.5,388.321"
"""AUG-2009"",83,8.5,34.5,387.461"
"""SEP-2009"",84,8.5,34.5,386.441"
"""OCT-2009"",85,8.5,34.5,386.458"
"""NOV-2009"",86,8.5,34.5,386.871"
"""DEC-2009"",87,8.5,34.5,388.224"
"""JAN-2010"",88,8.5,34.5,388.258"
"""FEB-2010"",89,8.5,34.5,388.831"
"""MAR-2010"",90,8.5,34.5,389.332"
