"DATETIME,TIME,LON,LAT,TOTVAP"
"""SEP-2002"",0,9,34,28.2119"
"""OCT-2002"",1,9,34,20.9004"
"""OCT-2002"",2,9,34,17.0645"
"""DEC-2002"",3,9,34,13.7046"
"""DEC-2002"",4,9,34,12.6367"
"""JAN-2003"",5,9,34,11.9922"
"""MAR-2003"",6,9,34,14.0176"
"""APR-2003"",7,9,34,16.6455"
"""MAY-2003"",8,9,34,19.9551"
"""JUN-2003"",9,9,34,22.8135"
"""JUL-2003"",10,9,34,25.7051"
"""AUG-2003"",11,9,34,26.8174"
"""SEP-2003"",12,9,34,29.2842"
"""OCT-2003"",13,9,34,27.0078"
"""NOV-2003"",14,9,34,14.8149"
"""DEC-2003"",15,9,34,12.0518"
"""DEC-2003"",16,9,34,11.2671"
"""JAN-2004"",17,9,34,12.0562"
"""MAR-2004"",18,9,34,13.3789"
"""APR-2004"",19,9,34,15.3979"
"""MAY-2004"",20,9,34,18.0381"
"""JUN-2004"",21,9,34,23.2402"
"""JUL-2004"",22,9,34,23.8506"
"""AUG-2004"",23,9,34,30.2158"
"""AUG-2004"",24,9,34,26.1279"
"""SEP-2004"",25,9,34,23.2461"
"""OCT-2004"",26,9,34,18.1045"
"""NOV-2004"",27,9,34,13.3486"
"""DEC-2004"",28,9,34,9.03125"
"""JAN-2005"",29,9,34,9.47607"
"""MAR-2005"",30,9,34,14.9766"
"""APR-2005"",31,9,34,16.2212"
"""MAY-2005"",32,9,34,18.001"
"""JUN-2005"",33,9,34,25.7451"
"""JUL-2005"",34,9,34,25.1523"
"""AUG-2005"",35,9,34,28.3242"
"""AUG-2005"",36,9,34,28.9326"
"""OCT-2005"",37,9,34,25.0479"
"""OCT-2005"",38,9,34,17.1924"
"""DEC-2005"",39,9,34,11.9976"
"""DEC-2005"",40,9,34,10.5083"
"""JAN-2006"",41,9,34,12.0542"
"""MAR-2006"",42,9,34,13.0527"
"""APR-2006"",43,9,34,16.8359"
"""MAY-2006"",44,9,34,22.417"
"""JUN-2006"",45,9,34,19.8555"
"""JUL-2006"",46,9,34,26.6416"
"""AUG-2006"",47,9,34,27.7246"
"""AUG-2006"",48,9,34,26.415"
"""OCT-2006"",49,9,34,21.752"
"""OCT-2006"",50,9,34,17.501"
"""DEC-2006"",51,9,34,14.4985"
"""DEC-2006"",52,9,34,12.1709"
"""JAN-2007"",53,9,34,12.9141"
"""MAR-2007"",54,9,34,12.8276"
"""APR-2007"",55,9,34,18.6064"
"""MAY-2007"",56,9,34,19.459"
"""JUN-2007"",57,9,34,21.0732"
"""JUL-2007"",58,9,34,22.4072"
"""AUG-2007"",59,9,34,27.6201"
"""SEP-2007"",60,9,34,30.7842"
"""OCT-2007"",61,9,34,22.8291"
"""NOV-2007"",62,9,34,14.8735"
"""DEC-2007"",63,9,34,12.9243"
"""DEC-2007"",64,9,34,12.0312"
"""JAN-2008"",65,9,34,11.833"
"""MAR-2008"",66,9,34,13.1699"
"""APR-2008"",67,9,34,13.6548"
"""MAY-2008"",68,9,34,19.1602"
"""JUN-2008"",69,9,34,22.04"
"""JUL-2008"",70,9,34,26.1904"
"""AUG-2008"",71,9,34,28.6768"
"""AUG-2008"",72,9,34,29.7646"
"""SEP-2008"",73,9,34,25.5283"
"""OCT-2008"",74,9,34,15.4072"
"""NOV-2008"",75,9,34,12.3535"
"""DEC-2008"",76,9,34,12.7188"
"""JAN-2009"",77,9,34,9.9043"
"""MAR-2009"",78,9,34,13.2754"
"""APR-2009"",79,9,34,14.2725"
"""MAY-2009"",80,9,34,18.1611"
"""JUN-2009"",81,9,34,22.7256"
"""JUL-2009"",82,9,34,26.5361"
"""AUG-2009"",83,9,34,28.2207"
"""AUG-2009"",84,9,34,31.2607"
"""OCT-2009"",85,9,34,20.9551"
"""OCT-2009"",86,9,34,14.9111"
"""DEC-2009"",87,9,34,13.5908"
"""DEC-2009"",88,9,34,11.8882"
"""JAN-2010"",89,9,34,13.3105"
"""MAR-2010"",90,9,34,14.1221"
"""APR-2010"",91,9,34,18.5566"
"""MAY-2010"",92,9,34,18.4219"
"""JUN-2010"",93,9,34,24.3945"
"""JUL-2010"",94,9,34,27.2676"
"""AUG-2010"",95,9,34,30.1621"
"""AUG-2010"",96,9,34,28.9443"
"""OCT-2010"",97,9,34,21.7656"
"""OCT-2010"",98,9,34,15.7075"
"""DEC-2010"",99,9,34,14.0156"
"""DEC-2010"",100,9,34,12.4268"
"""JAN-2011"",101,9,34,11.7559"
"""MAR-2011"",102,9,34,13.7324"
"""APR-2011"",103,9,34,16.6694"
"""MAY-2011"",104,9,34,21.6455"
"""JUN-2011"",105,9,34,22.8682"
"""JUL-2011"",106,9,34,25.9688"
"""AUG-2011"",107,9,34,26.4756"
"""SEP-2011"",108,9,34,26.8916"
"""OCT-2011"",109,9,34,23.3057"
"""NOV-2011"",110,9,34,17.2725"
"""DEC-2011"",111,9,34,12.8691"
"""DEC-2011"",112,9,34,10.8877"
"""JAN-2012"",113,9,34,9.59326"
"""MAR-2012"",114,9,34,13.9292"
"""APR-2012"",115,9,34,15.2002"
"""MAY-2012"",116,9,34,19.5635"
"""JUN-2012"",117,9,34,23.6719"
"""JUL-2012"",118,9,34,26.5908"
"""JUL-2012"",119,9,34,24.7002"
"""AUG-2012"",120,9,34,26.8398"
"""SEP-2012"",121,9,34,24.8145"
"""OCT-2012"",122,9,34,20.5225"
"""NOV-2012"",123,9,34,11.6167"
"""DEC-2012"",124,9,34,10.9048"
"""JAN-2013"",125,9,34,10.0239"
"""MAR-2013"",126,9,34,14.0898"
"""APR-2013"",127,9,34,16.3008"
"""MAY-2013"",128,9,34,19.0469"
"""JUN-2013"",129,9,34,21.5645"
"""JUL-2013"",130,9,34,27.7061"
"""AUG-2013"",131,9,34,26.8555"
"""AUG-2013"",132,9,34,28.4092"
"""OCT-2013"",133,9,34,23.9375"
"""OCT-2013"",134,9,34,16.8276"
"""NOV-2013"",135,9,34,13.2031"
"""DEC-2013"",136,9,34,11.771"
"""JAN-2014"",137,9,34,11.5654"
"""MAR-2014"",138,9,34,14.0381"
"""APR-2014"",139,9,34,15.1719"
"""MAY-2014"",140,9,34,19.2129"
"""JUN-2014"",141,9,34,22.4268"
"""JUL-2014"",142,9,34,24.1611"
"""AUG-2014"",143,9,34,27.5127"
"""AUG-2014"",144,9,34,27.7158"
"""OCT-2014"",145,9,34,21.6357"
"""OCT-2014"",146,9,34,16.79"
"""DEC-2014"",147,9,34,12.5923"
"""DEC-2014"",148,9,34,10.4082"
"""JAN-2015"",149,9,34,12.1328"
"""MAR-2015"",150,9,34,13.1914"
"""APR-2015"",151,9,34,14.1631"
"""MAY-2015"",152,9,34,17.29"
"""JUN-2015"",153,9,34,22.3271"
"""JUL-2015"",154,9,34,23.5283"
"""AUG-2015"",155,9,34,32.1836"
"""SEP-2015"",156,9,34,28.8545"
"""OCT-2015"",157,9,34,25.1201"
"""NOV-2015"",158,9,34,18.5684"
"""DEC-2015"",159,9,34,12.8706"
"""DEC-2015"",160,9,34,12.7437"
"""JAN-2016"",161,9,34,12.4404"
"""MAR-2016"",162,9,34,11.0674"
"""APR-2016"",163,9,34,15.8394"
"""MAY-2016"",164,9,34,19.1592"
"""JUN-2016"",165,9,34,22.832"
"""JUL-2016"",166,9,34,23.9268"
"""JUL-2016"",167,9,34,28.1709"
"""AUG-2016"",168,9,34,28.9951"
"""SEP-2016"",169,9,34,23.8867"
"""OCT-2016"",170,9,34,17.9873"
"""NOV-2016"",171,9,34,15.4126"
"""DEC-2016"",172,9,34,9.54346"
"""JAN-2017"",173,9,34,12.0078"
"""MAR-2017"",174,9,34,13.3574"
"""APR-2017"",175,9,34,16.3633"
"""MAY-2017"",176,9,34,21.1465"
"""JUN-2017"",177,9,34,23.4307"
"""JUL-2017"",178,9,34,24.5332"
"""AUG-2017"",179,9,34,25.3916"
"""AUG-2017"",180,9,34,25.1934"
"""OCT-2017"",181,9,34,21.1895"
"""OCT-2017"",182,9,34,15.4297"
"""NOV-2017"",183,9,34,11.9922"
"""DEC-2017"",184,9,34,11.1392"
"""JAN-2018"",185,9,34,12.9131"
"""MAR-2018"",186,9,34,13.731"
"""APR-2018"",187,9,34,16.8936"
"""MAY-2018"",188,9,34,20.3945"
"""JUN-2018"",189,9,34,23.9805"
"""JUL-2018"",190,9,34,24.8506"
"""AUG-2018"",191,9,34,33.7676"
"""AUG-2018"",192,9,34,29.7324"
"""OCT-2018"",193,9,34,23.2607"
"""OCT-2018"",194,9,34,16.2598"
"""DEC-2018"",195,9,34,12.1714"
"""DEC-2018"",196,9,34,10.4468"
"""JAN-2019"",197,9,34,9.90918"
"""MAR-2019"",198,9,34,12.1929"
"""APR-2019"",199,9,34,15.1777"
"""MAY-2019"",200,9,34,18.7227"
"""JUN-2019"",201,9,34,21.6025"
"""JUL-2019"",202,9,34,25.0352"
"""AUG-2019"",203,9,34,29.6699"
"""SEP-2019"",204,9,34,31.4424"
"""OCT-2019"",205,9,34,23.8906"
"""OCT-2019"",206,9,34,14.8979"
"""DEC-2019"",207,9,34,12.7383"
"""DEC-2019"",208,9,34,11.1138"
"""JAN-2020"",209,9,34,11.1665"
"""MAR-2020"",210,9,34,13.7144"
"""APR-2020"",211,9,34,18.334"
"""MAY-2020"",212,9,34,19.1562"
"""JUN-2020"",213,9,34,22.8301"
"""JUL-2020"",214,9,34,25.2529"
"""JUL-2020"",215,9,34,24.4629"
"""AUG-2020"",216,9,34,31.373"
"""SEP-2020"",217,9,34,20.3076"
"""OCT-2020"",218,9,34,18.334"
"""NOV-2020"",219,9,34,13.4697"
"""DEC-2020"",220,9,34,11.7886"
"""JAN-2021"",221,9,34,11.1924"
"""MAR-2021"",222,9,34,12.8154"
"""APR-2021"",223,9,34,16.4346"
"""MAY-2021"",224,9,34,20.3115"
"""JUN-2021"",225,9,34,23.5791"
"""JUL-2021"",226,9,34,22.3906"
"""AUG-2021"",227,9,34,25.6172"
"""AUG-2021"",228,9,34,27.0645"
"""OCT-2021"",229,9,34,22.0059"
"""OCT-2021"",230,9,34,15.9097"
"""NOV-2021"",231,9,34,12.5581"
"""DEC-2021"",232,9,34,9.72168"
"""JAN-2022"",233,9,34,12.1558"
"""MAR-2022"",234,9,34,13.3755"
"""APR-2022"",235,9,34,14.959"
"""MAY-2022"",236,9,34,16.707"
"""JUN-2022"",237,9,34,19.8203"
