ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,WS2M,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_RANGE,WD10M,WS50M,WS50M_RANGE,WD50M,Date
2.19,2.91,0.46,312.5,43.7,-999.0,-999.0,-999.0,-999.0,2.54,10.88,5.32,8.1,10.7,9.66,16.59,6.93,5.8,71.25,0.32,96.63,3.76,4.13,346.75,5.98,4.09,346.94,1990-01-01
2.6,3.15,0.55,317.2,50.8,-999.0,-999.0,-999.0,-999.0,1.94,9.08,3.55,6.31,8.52,11.12,15.2,4.07,5.07,71.69,0.01,97.0,3.02,1.77,312.94,4.83,4.8,313.12,1990-01-02
2.72,3.34,0.57,303.4,53.5,-999.0,-999.0,-999.0,-999.0,1.67,8.9,3.95,6.43,8.52,11.29,15.56,4.26,5.25,73.44,0.0,96.86,2.72,2.26,184.75,3.92,3.1,185.56,1990-01-03
1.52,3.32,0.31,315.0,31.3,-999.0,-999.0,-999.0,-999.0,1.51,7.83,3.29,5.55,6.23,6.68,11.84,5.16,5.0,73.69,0.08,96.49,2.25,3.63,141.38,3.63,7.12,141.69,1990-01-04
1.68,3.28,0.34,315.3,33.9,-999.0,-999.0,-999.0,-999.0,5.03,9.83,5.75,7.79,9.45,8.52,14.91,6.4,5.92,76.62,2.81,96.64,6.84,5.16,55.69,9.54,4.96,56.19,1990-01-05
2.46,2.98,0.51,297.0,48.6,-999.0,-999.0,-999.0,-999.0,4.48,10.37,7.12,8.75,10.23,9.23,15.12,5.89,6.47,81.31,1.96,97.6,6.21,7.01,39.56,8.66,6.92,39.88,1990-01-06
2.71,3.15,0.55,284.1,52.1,-999.0,-999.0,-999.0,-999.0,1.45,8.87,4.61,6.73,9.06,9.15,14.51,5.35,5.43,76.62,0.2,98.11,2.2,2.52,237.62,2.98,3.9,222.94,1990-01-07
3.0,3.31,0.61,302.3,57.3,-999.0,-999.0,-999.0,-999.0,1.7,8.87,3.12,5.99,7.86,10.63,14.99,4.35,4.88,69.94,0.01,98.18,2.66,2.38,178.94,3.66,2.91,179.75,1990-01-08
2.07,3.48,0.42,328.1,41.9,-999.0,-999.0,-999.0,-999.0,1.74,8.98,5.47,7.22,8.58,7.11,13.11,6.0,5.74,79.94,1.98,98.06,2.77,2.05,91.69,4.49,5.27,92.94,1990-01-09
1.74,3.43,0.35,327.7,35.8,-999.0,-999.0,-999.0,-999.0,2.08,8.65,6.83,7.73,8.49,3.84,10.98,7.14,6.35,88.69,3.32,97.8,3.1,2.55,89.88,5.04,2.98,90.75,1990-01-10
2.33,3.17,0.47,317.4,46.5,-999.0,-999.0,-999.0,-999.0,3.18,8.39,6.56,7.48,8.42,5.09,11.28,6.19,6.23,89.12,0.95,97.5,4.36,2.69,66.44,6.45,2.72,67.12,1990-01-11
