YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_RANGE,WD10M,WS50M,WS50M_RANGE,WD50M
1990,1,1,10.88,5.32,8.1,10.7,9.66,16.59,6.93,5.8,71.25,0.32,96.63,3.76,4.13,346.75,5.98,4.09,346.94
1990,1,2,9.08,3.55,6.31,8.52,11.12,15.2,4.07,5.07,71.69,0.01,97.0,3.02,1.77,312.94,4.83,4.8,313.12
1990,1,3,8.9,3.95,6.43,8.52,11.29,15.56,4.26,5.25,73.44,0.0,96.86,2.72,2.26,184.75,3.92,3.1,185.56
1990,1,4,7.83,3.29,5.55,6.23,6.68,11.84,5.16,5.0,73.69,0.08,96.49,2.25,3.63,141.38,3.63,7.12,141.69
1990,1,5,9.83,5.75,7.79,9.45,8.52,14.91,6.4,5.92,76.62,2.81,96.64,6.84,5.16,55.69,9.54,4.96,56.19
1990,1,6,10.37,7.12,8.75,10.23,9.23,15.12,5.89,6.47,81.31,1.96,97.6,6.21,7.01,39.56,8.66,6.92,39.88
1990,1,7,8.87,4.61,6.73,9.06,9.15,14.51,5.35,5.43,76.62,0.2,98.11,2.2,2.52,237.62,2.98,3.9,222.94
1990,1,8,8.87,3.12,5.99,7.86,10.63,14.99,4.35,4.88,69.94,0.01,98.18,2.66,2.38,178.94,3.66,2.91,179.75
1990,1,9,8.98,5.47,7.22,8.58,7.11,13.11,6.0,5.74,79.94,1.98,98.06,2.77,2.05,91.69,4.49,5.27,92.94
1990,1,10,8.65,6.83,7.73,8.49,3.84,10.98,7.14,6.35,88.69,3.32,97.8,3.1,2.55,89.88,5.04,2.98,90.75
1990,1,11,8.39,6.56,7.48,8.42,5.09,11.28,6.19,6.23,89.12,0.95,97.5,4.36,2.69,66.44,6.45,2.72,67.12
1990,1,12,9.76,7.66,8.71,9.64,4.7,12.72,8.02,6.71,87.38,8.07,97.22,6.2,4.98,91.38,8.55,5.13,91.88
1990,1,13,9.76,6.51,8.14,9.83,6.98,13.3,6.32,6.29,81.44,4.82,97.04,3.4,5.3,81.88,4.9,7.94,82.5
1990,1,14,8.76,6.19,7.48,8.51,9.31,14.32,5.01,6.1,85.19,0.25,97.14,5.15,4.52,103.75,7.98,2.73,103.94
1990,1,15,8.22,3.28,5.75,8.12,11.06,14.87,3.81,5.0,75.0,0.01,97.55,4.75,3.53,24.69,7.52,2.93,24.5
1990,1,16,8.16,3.29,5.73,8.01,11.18,14.73,3.54,4.94,74.69,0.03,97.92,4.84,2.77,33.94,7.79,2.96,33.94
