YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,WS2M
1990,1,1,2.19,2.91,0.46,312.5,43.7,-999.0,-999.0,-999.0,-999.0,2.54
1990,1,2,2.6,3.15,0.55,317.2,50.8,-999.0,-999.0,-999.0,-999.0,1.94
1990,1,3,2.72,3.34,0.57,303.4,53.5,-999.0,-999.0,-999.0,-999.0,1.67
1990,1,4,1.52,3.32,0.31,315.0,31.3,-999.0,-999.0,-999.0,-999.0,1.51
1990,1,5,1.68,3.28,0.34,315.3,33.9,-999.0,-999.0,-999.0,-999.0,5.03
1990,1,6,2.46,2.98,0.51,297.0,48.6,-999.0,-999.0,-999.0,-999.0,4.48
1990,1,7,2.71,3.15,0.55,284.1,52.1,-999.0,-999.0,-999.0,-999.0,1.45
1990,1,8,3.0,3.31,0.61,302.3,57.3,-999.0,-999.0,-999.0,-999.0,1.7
1990,1,9,2.07,3.48,0.42,328.1,41.9,-999.0,-999.0,-999.0,-999.0,1.74
1990,1,10,1.74,3.43,0.35,327.7,35.8,-999.0,-999.0,-999.0,-999.0,2.08
1990,1,11,2.33,3.17,0.47,317.4,46.5,-999.0,-999.0,-999.0,-999.0,3.18
1990,1,12,0.83,3.6,0.16,332.0,18.0,-999.0,-999.0,-999.0,-999.0,4.59
1990,1,13,2.92,3.46,0.58,292.5,56.7,-999.0,-999.0,-999.0,-999.0,2.4
1990,1,14,1.81,3.55,0.36,306.7,36.8,-999.0,-999.0,-999.0,-999.0,3.62
1990,1,15,3.14,3.39,0.62,275.5,60.0,-999.0,-999.0,-999.0,-999.0,3.34
1990,1,16,3.16,3.34,0.62,274.4,60.8,-999.0,-999.0,-999.0,-999.0,3.38
1990,1,17,1.72,3.78,0.34,331.8,35.6,-999.0,-999.0,-999.0,-999.0,3.05
1990,1,18,2.18,3.66,0.42,322.5,43.8,-999.0,-999.0,-999.0,-999.0,0.76
1990,1,19,3.05,3.36,0.58,280.7,59.1,-999.0,-999.0,-999.0,-999.0,3.43
1990,1,20,2.79,3.42,0.53,295.9,54.8,-999.0,-999.0,-999.0,-999.0,5.98
1990,1,21,0.51,3.94,0.09,303.8,11.7,-999.0,-999.0,-999.0,-999.0,8.7
1990,1,22,0.52,3.96,0.09,310.8,11.7,-999.0,-999.0,-999.0,-999.0,9.32
1990,1,23,0.99,4.01,0.18,322.9,21.4,-999.0,-999.0,-999.0,-999.0,7.57
1990,1,24,2.4,3.34,0.44,314.9,47.5,-999.0,-999.0,-999.0,-999.0,6.08
1990,1,25,3.71,3.73,0.68,261.2,71.1,-999.0,-999.0,-999.0,-999.0,2.16
1990,1,26,3.54,3.57,0.64,265.1,68.1,-999.0,-999.0,-999.0,-999.0,2.85
1990,1,27,3.39,3.52,0.61,264.0,64.9,-999.0,-999.0,-999.0,-999.0,2.36
1990,1,28,1.57,4.22,0.28,298.9,33.0,-999.0,-999.0,-999.0,-999.0,1.65
1990,1,29,1.32,4.07,0.23,318.6,27.9,-999.0,-999.0,-999.0,-999.0,2.86
1990,1,30,3.36,3.52,0.59,275.4,65.4,-999.0,-999.0,-999.0,-999.0,2.23
1990,1,31,2.98,3.63,0.52,300.3,59.4,-999.0,-999.0,-999.0,-999.0,2.16
1990,2,1,3.96,4.03,0.68,293.8,76.1,-999.0,-999.0,-999.0,-999.0,3.12
1990,2,2,3.81,4.07,0.65,292.1,74.2,-999.0,-999.0,-999.0,-999.0,1.35
1990,2,3,3.69,3.69,0.62,284.9,70.6,-999.0,-999.0,-999.0,-999.0,2.02
1990,2,4,3.78,3.89,0.63,283.1,71.7,-999.0,-999.0,-999.0,-999.0,1.67
1990,2,5,3.8,3.78,0.63,295.1,72.9,-999.0,-999.0,-999.0,-999.0,1.59
1990,2,6,3.89,3.9,0.64,290.9,75.1,-999.0,-999.0,-999.0,-999.0,1.68
1990,2,7,3.95,4.06,0.64,304.2,76.2,-999.0,-999.0,-999.0,-999.0,1.95
1990,2,8,3.29,3.7,0.53,321.0,65.1,-999.0,-999.0,-999.0,-999.0,1.58
1990,2,9,3.96,4.16,0.63,286.2,75.8,-999.0,-999.0,-999.0,-999.0,1.26
1990,2,10,4.0,4.05,0.63,302.3,78.7,-999.0,-999.0,-999.0,-999.0,1.55
1990,2,11,4.05,4.02,0.64,300.5,78.8,-999.0,-999.0,-999.0,-999.0,1.87
1990,2,12,3.1,4.57,0.48,326.8,62.4,-999.0,-999.0,-999.0,-999.0,2.98
1990,2,13,3.71,3.84,0.57,336.2,72.7,-999.0,-999.0,-999.0,-999.0,2.65
1990,2,14,3.57,3.91,0.55,334.7,70.5,-999.0,-999.0,-999.0,-999.0,2.13
1990,2,15,4.09,4.04,0.62,302.2,78.2,-999.0,-999.0,-999.0,-999.0,2.34
1990,2,16,4.2,4.04,0.63,309.7,81.2,-999.0,-999.0,-999.0,-999.0,1.72
1990,2,17,4.14,3.99,0.62,332.6,83.1,-999.0,-999.0,-999.0,-999.0,1.58
