YEAR,DOY,GWETTOP,GWETROOT,GWETPROF
2021,1,0.33,0.34,0.34
2021,2,0.33,0.34,0.34
2021,3,0.33,0.34,0.34
2021,4,0.33,0.34,0.34
2021,5,0.32,0.34,0.34
2021,6,0.32,0.34,0.34
2021,7,0.32,0.34,0.34
2021,8,0.32,0.34,0.34
2021,9,0.34,0.34,0.34
2021,10,0.32,0.34,0.34
2021,11,0.32,0.34,0.34
2021,12,0.32,0.34,0.34
2021,13,0.32,0.34,0.34
2021,14,0.32,0.34,0.34
2021,15,0.31,0.34,0.34
2021,16,0.32,0.34,0.34
2021,17,0.32,0.34,0.34
2021,18,0.32,0.33,0.34
2021,19,0.31,0.33,0.34
2021,20,0.31,0.33,0.34
2021,21,0.31,0.33,0.34
2021,22,0.32,0.33,0.34
2021,23,0.31,0.33,0.34
2021,24,0.31,0.33,0.34
2021,25,0.31,0.33,0.34
2021,26,0.31,0.33,0.34
2021,27,0.31,0.33,0.34
2021,28,0.31,0.33,0.34
2021,29,0.31,0.33,0.34
2021,30,0.3,0.33,0.34
2021,31,0.3,0.33,0.34
2021,32,0.32,0.33,0.34
2021,33,0.32,0.33,0.34
2021,34,0.31,0.33,0.34
2021,35,0.3,0.33,0.34
2021,36,0.3,0.33,0.34
2021,37,0.3,0.33,0.34
2021,38,0.3,0.33,0.34
2021,39,0.3,0.33,0.34
2021,40,0.3,0.33,0.34
2021,41,0.3,0.33,0.34
2021,42,0.29,0.33,0.34
2021,43,0.29,0.33,0.34
2021,44,0.29,0.33,0.34
2021,45,0.29,0.33,0.34
2021,46,0.29,0.33,0.34
2021,47,0.29,0.33,0.34
2021,48,0.29,0.33,0.34
2021,49,0.28,0.33,0.34
2021,50,0.27,0.33,0.34
2021,51,0.27,0.33,0.34
2021,52,0.27,0.32,0.33
2021,53,0.26,0.32,0.33
2021,54,0.26,0.32,0.33
2021,55,0.27,0.32,0.33
2021,56,0.27,0.32,0.33
2021,57,0.27,0.32,0.33
2021,58,0.27,0.32,0.33
2021,59,0.26,0.32,0.33
2021,60,0.26,0.32,0.33
2021,61,0.26,0.32,0.33
2021,62,0.27,0.32,0.33
2021,63,0.27,0.32,0.33
2021,64,0.27,0.32,0.33
2021,65,0.27,0.32,0.33
2021,66,0.27,0.32,0.33
2021,67,0.27,0.32,0.33
2021,68,0.28,0.33,0.33
2021,69,0.31,0.33,0.33
2021,70,0.31,0.33,0.33
2021,71,0.3,0.33,0.33
2021,72,0.29,0.33,0.33
2021,73,0.28,0.33,0.33
2021,74,0.27,0.33,0.33
2021,75,0.27,0.32,0.33
2021,76,0.26,0.32,0.33
2021,77,0.26,0.32,0.33
2021,78,0.27,0.32,0.33
2021,79,0.33,0.33,0.33
2021,80,0.34,0.33,0.33
2021,81,0.33,0.33,0.33
2021,82,0.32,0.33,0.33
2021,83,0.3,0.33,0.33
2021,84,0.3,0.33,0.33
2021,85,0.29,0.33,0.33
2021,86,0.28,0.33,0.33
2021,87,0.27,0.33,0.33
2021,88,0.25,0.32,0.33
2021,89,0.24,0.32,0.33
2021,90,0.24,0.32,0.33
