"DATETIME,TIME,LON,LAT,TOTAL_COLUMN_OZONE"
"""OCT-2004"",12692,9.5,36.5,353.259"
"""NOV-2004"",12723,9.5,36.5,371.169"
"""DEC-2004"",12753,9.5,36.5,377.655"
"""JAN-2005"",12784,9.5,36.5,400.367"
"""FEB-2005"",12815,9.5,36.5,430.662"
"""MAR-2005"",12843,9.5,36.5,419.421"
"""APR-2005"",12874,9.5,36.5,423.944"
"""MAY-2005"",12904,9.5,36.5,403.558"
"""JUN-2005"",12935,9.5,36.5,406.621"
"""JUL-2005"",12965,9.5,36.5,372.427"
"""AUG-2005"",12996,9.5,36.5,377.379"
"""SEP-2005"",13027,9.5,36.5,363.246"
"""OCT-2005"",13057,9.5,36.5,349.004"
"""NOV-2005"",13088,9.5,36.5,350.465"
"""DEC-2005"",13118,9.5,36.5,389.146"
"""JAN-2006"",13149,9.5,36.5,399.446"
"""FEB-2006"",13180,9.5,36.5,392.442"
"""MAR-2006"",13208,9.5,36.5,409.067"
"""APR-2006"",13239,9.5,36.5,409.521"
"""MAY-2006"",13269,9.5,36.5,410.492"
"""JUN-2006"",13300,9.5,36.5,400.323"
"""JUL-2006"",13330,9.5,36.5,388.913"
"""AUG-2006"",13361,9.5,36.5,380.571"
"""SEP-2006"",13392,9.5,36.5,368.487"
"""OCT-2006"",13422,9.5,36.5,352.918"
"""NOV-2006"",13453,9.5,36.5,365.483"
"""DEC-2006"",13483,9.5,36.5,369.758"
"""JAN-2007"",13514,9.5,36.5,365.946"
"""FEB-2007"",13545,9.5,36.5,414.574"
"""MAR-2007"",13573,9.5,36.5,448.984"
"""APR-2007"",13604,9.5,36.5,435.741"
"""MAY-2007"",13634,9.5,36.5,421.904"
"""JUN-2007"",13665,9.5,36.5,392.987"
"""JUL-2007"",13695,9.5,36.5,367.921"
"""AUG-2007"",13726,9.5,36.5,364.913"
"""SEP-2007"",13757,9.5,36.5,364.983"
"""OCT-2007"",13787,9.5,36.5,366.042"
"""NOV-2007"",13818,9.5,36.5,356.306"
"""DEC-2007"",13848,9.5,36.5,374.582"
"""JAN-2008"",13879,9.5,36.5,369.425"
"""FEB-2008"",13910,9.5,36.5,399.147"
"""MAR-2008"",13939,9.5,36.5,419.442"
"""APR-2008"",13970,9.5,36.5,409.509"
"""MAY-2008"",14000,9.5,36.5,407.491"
"""JUN-2008"",14031,9.5,36.5,393.978"
"""JUL-2008"",14061,9.5,36.5,371.263"
"""AUG-2008"",14092,9.5,36.5,368.09"
"""SEP-2008"",14123,9.5,36.5,360.144"
"""OCT-2008"",14153,9.5,36.5,353.905"
"""NOV-2008"",14184,9.5,36.5,366.032"
"""DEC-2008"",14214,9.5,36.5,389.178"
"""JAN-2009"",14245,9.5,36.5,397.389"
"""FEB-2009"",14276,9.5,36.5,429.83"
"""MAR-2009"",14304,9.5,36.5,428.233"
"""APR-2009"",14335,9.5,36.5,451.006"
"""MAY-2009"",14365,9.5,36.5,424.44"
"""JUN-2009"",14396,9.5,36.5,398.625"
"""JUL-2009"",14426,9.5,36.5,377.337"
"""AUG-2009"",14457,9.5,36.5,369.642"
"""SEP-2009"",14488,9.5,36.5,373.2"
"""OCT-2009"",14518,9.5,36.5,355.388"
"""NOV-2009"",14549,9.5,36.5,351.396"
"""DEC-2009"",14579,9.5,36.5,368.046"
"""JAN-2010"",14610,9.5,36.5,414.044"
"""FEB-2010"",14641,9.5,36.5,406.713"
"""MAR-2010"",14669,9.5,36.5,420.618"
"""APR-2010"",14700,9.5,36.5,443.816"
"""MAY-2010"",14730,9.5,36.5,430.569"
"""JUN-2010"",14761,9.5,36.5,414.566"
"""JUL-2010"",14791,9.5,36.5,394.656"
"""AUG-2010"",14822,9.5,36.5,375"
"""SEP-2010"",14853,9.5,36.5,371.757"
"""OCT-2010"",14883,9.5,36.5,364.336"
"""NOV-2010"",14914,9.5,36.5,361.132"
"""DEC-2010"",14944,9.5,36.5,361.336"
"""JAN-2011"",14975,9.5,36.5,391.132"
"""FEB-2011"",15006,9.5,36.5,436.975"
"""MAR-2011"",15034,9.5,36.5,422.52"
"""APR-2011"",15065,9.5,36.5,406.426"
"""MAY-2011"",15095,9.5,36.5,404.75"
"""JUN-2011"",15126,9.5,36.5,388.632"
"""JUL-2011"",15156,9.5,36.5,370.762"
"""AUG-2011"",15187,9.5,36.5,368.819"
"""SEP-2011"",15218,9.5,36.5,354.222"
"""OCT-2011"",15248,9.5,36.5,351.243"
"""NOV-2011"",15279,9.5,36.5,349.7"
"""DEC-2011"",15309,9.5,36.5,360.016"
"""JAN-2012"",15340,9.5,36.5,388.19"
"""FEB-2012"",15371,9.5,36.5,426"
"""MAR-2012"",15400,9.5,36.5,431.909"
"""APR-2012"",15431,9.5,36.5,420.161"
"""MAY-2012"",15461,9.5,36.5,414.598"
"""JUN-2012"",15492,9.5,36.5,389.5"
"""JUL-2012"",15522,9.5,36.5,372.983"
"""AUG-2012"",15553,9.5,36.5,366.772"
"""SEP-2012"",15584,9.5,36.5,363.075"
"""OCT-2012"",15614,9.5,36.5,340.025"
"""NOV-2012"",15645,9.5,36.5,349.744"
"""DEC-2012"",15675,9.5,36.5,356.225"
"""JAN-2013"",15706,9.5,36.5,398.881"
"""FEB-2013"",15737,9.5,36.5,412.132"
"""MAR-2013"",15765,9.5,36.5,400.165"
"""APR-2013"",15796,9.5,36.5,416.255"
"""MAY-2013"",15826,9.5,36.5,406.344"
"""JUN-2013"",15857,9.5,36.5,406.88"
"""JUL-2013"",15887,9.5,36.5,387.115"
"""AUG-2013"",15918,9.5,36.5,378.474"
