"DATETIME,TIME,LON,LAT,PRECIP"
"""JAN-1979"",65378,8.75,36.25,1.67868"
"""FEB-1979"",65409,8.75,36.25,3.52496"
"""MAR-1979"",65437,8.75,36.25,2.07644"
"""APR-1979"",65468,8.75,36.25,3.71635"
"""MAY-1979"",65498,8.75,36.25,0.829789"
"""JUN-1979"",65529,8.75,36.25,0.721541"
"""JUL-1979"",65559,8.75,36.25,0.127887"
"""AUG-1979"",65590,8.75,36.25,0.47308"
"""SEP-1979"",65621,8.75,36.25,3.27144"
"""OCT-1979"",65651,8.75,36.25,1.07545"
"""NOV-1979"",65682,8.75,36.25,3.343"
"""DEC-1979"",65712,8.75,36.25,0.415726"
"""JAN-1980"",65743,8.75,36.25,1.49665"
"""FEB-1980"",65774,8.75,36.25,1.45557"
"""MAR-1980"",65803,8.75,36.25,2.81171"
"""APR-1980"",65834,8.75,36.25,1.9079"
"""MAY-1980"",65864,8.75,36.25,1.72941"
"""JUN-1980"",65895,8.75,36.25,0.228587"
"""JUL-1980"",65925,8.75,36.25,0.0668343"
"""AUG-1980"",65956,8.75,36.25,0.238161"
"""SEP-1980"",65987,8.75,36.25,1.11773"
"""OCT-1980"",66017,8.75,36.25,1.07512"
"""NOV-1980"",66048,8.75,36.25,2.19667"
"""DEC-1980"",66078,8.75,36.25,3.53879"
"""JAN-1981"",66109,8.75,36.25,2.09699"
"""FEB-1981"",66140,8.75,36.25,1.74832"
"""MAR-1981"",66168,8.75,36.25,1.08689"
"""APR-1981"",66199,8.75,36.25,1.01541"
"""MAY-1981"",66229,8.75,36.25,1.07815"
"""JUN-1981"",66260,8.75,36.25,1.196"
"""JUL-1981"",66290,8.75,36.25,0.0988108"
"""AUG-1981"",66321,8.75,36.25,0.517271"
"""SEP-1981"",66352,8.75,36.25,1.05602"
"""OCT-1981"",66382,8.75,36.25,0.959644"
"""NOV-1981"",66413,8.75,36.25,0.623266"
"""DEC-1981"",66443,8.75,36.25,1.9117"
"""JAN-1982"",66474,8.75,36.25,3.16882"
"""FEB-1982"",66505,8.75,36.25,2.41299"
"""MAR-1982"",66533,8.75,36.25,2.22017"
"""APR-1982"",66564,8.75,36.25,2.74508"
"""MAY-1982"",66594,8.75,36.25,1.67602"
"""JUN-1982"",66625,8.75,36.25,0.160056"
"""JUL-1982"",66655,8.75,36.25,0.0764534"
"""AUG-1982"",66686,8.75,36.25,0.453653"
"""SEP-1982"",66717,8.75,36.25,0.785021"
"""OCT-1982"",66747,8.75,36.25,3.37046"
"""NOV-1982"",66778,8.75,36.25,3.89919"
"""DEC-1982"",66808,8.75,36.25,2.67766"
"""JAN-1983"",66839,8.75,36.25,1.05422"
"""FEB-1983"",66870,8.75,36.25,0.581133"
"""MAR-1983"",66898,8.75,36.25,2.02662"
"""APR-1983"",66929,8.75,36.25,0.19055"
"""MAY-1983"",66959,8.75,36.25,1.05795"
"""JUN-1983"",66990,8.75,36.25,0.707568"
"""JUL-1983"",67020,8.75,36.25,0.0459744"
"""AUG-1983"",67051,8.75,36.25,0.483252"
"""SEP-1983"",67082,8.75,36.25,0.898153"
"""OCT-1983"",67112,8.75,36.25,2.06789"
"""NOV-1983"",67143,8.75,36.25,2.33277"
"""DEC-1983"",67173,8.75,36.25,1.74054"
"""JAN-1984"",67204,8.75,36.25,2.62914"
"""FEB-1984"",67235,8.75,36.25,3.22069"
"""MAR-1984"",67264,8.75,36.25,2.18471"
"""APR-1984"",67295,8.75,36.25,1.27232"
"""MAY-1984"",67325,8.75,36.25,0.486315"
"""JUN-1984"",67356,8.75,36.25,0.289951"
"""JUL-1984"",67386,8.75,36.25,0.0354154"
"""AUG-1984"",67417,8.75,36.25,0.461731"
"""SEP-1984"",67448,8.75,36.25,1.30507"
"""OCT-1984"",67478,8.75,36.25,2.75423"
"""NOV-1984"",67509,8.75,36.25,1.09339"
"""DEC-1984"",67539,8.75,36.25,5.25372"
"""JAN-1985"",67570,8.75,36.25,2.96643"
"""FEB-1985"",67601,8.75,36.25,1.32405"
"""MAR-1985"",67629,8.75,36.25,2.63631"
"""APR-1985"",67660,8.75,36.25,1.10304"
"""MAY-1985"",67690,8.75,36.25,1.88683"
"""JUN-1985"",67721,8.75,36.25,0.209025"
"""JUL-1985"",67751,8.75,36.25,0.0809835"
"""AUG-1985"",67782,8.75,36.25,0.0686995"
"""SEP-1985"",67813,8.75,36.25,1.17873"
"""OCT-1985"",67843,8.75,36.25,0.825848"
"""NOV-1985"",67874,8.75,36.25,0.84729"
"""DEC-1985"",67904,8.75,36.25,1.3787"
"""JAN-1986"",67935,8.75,36.25,2.30375"
"""FEB-1986"",67966,8.75,36.25,1.6611"
"""MAR-1986"",67994,8.75,36.25,2.93816"
"""APR-1986"",68025,8.75,36.25,1.0757"
"""MAY-1986"",68055,8.75,36.25,0.755518"
"""JUN-1986"",68086,8.75,36.25,0.654015"
