"DATETIME,TIME,LON,LAT,CH4_VMR_A_"
"""JAN-2019"",0,9,36,1.89978"
"""FEB-2019"",1,9,36,1.88313"
"""MAR-2019"",2,9,36,1.88698"
"""APR-2019"",3,9,36,1.89594"
"""MAY-2019"",4,9,36,1.90665"
"""JUN-2019"",5,9,36,1.9013"
"""JUL-2019"",6,9,36,1.91526"
"""AUG-2019"",7,9,36,1.91177"
"""SEP-2019"",8,9,36,1.91596"
"""OCT-2019"",9,9,36,1.91736"
"""NOV-2019"",10,9,36,1.89524"
"""DEC-2019"",11,9,36,1.8935"
"""JAN-2020"",12,9,36,1.89501"
"""FEB-2020"",13,9,36,1.88872"
"""MAR-2020"",14,9,36,1.90048"
"""APR-2020"",15,9,36,1.90758"
"""MAY-2020"",16,9,36,1.90968"
"""JUN-2020"",17,9,36,1.91876"
"""JUL-2020"",18,9,36,1.92528"
"""AUG-2020"",19,9,36,1.92062"
"""SEP-2020"",20,9,36,1.91573"
"""OCT-2020"",21,9,36,1.92435"
"""NOV-2020"",22,9,36,1.91992"
"""DEC-2020"",23,9,36,1.90327"
"""JAN-2021"",24,9,36,1.89338"
"""FEB-2021"",25,9,36,1.88965"
"""MAR-2021"",26,9,36,1.91899"
"""APR-2021"",27,9,36,1.91131"
"""MAY-2021"",28,9,36,1.91783"
"""JUN-2021"",29,9,36,1.91666"
"""JUL-2021"",30,9,36,1.93273"
"""AUG-2021"",31,9,36,1.93482"
"""SEP-2021"",32,9,36,1.91899"
"""OCT-2021"",33,9,36,1.92923"
"""NOV-2021"",34,9,36,1.92341"
"""DEC-2021"",35,9,36,1.90048"
"""JAN-2022"",36,9,36,1.9127"
"""FEB-2022"",37,9,36,1.90642"
"""MAR-2022"",38,9,36,1.90875"
