"DATETIME,TIME,LON,LAT,CO2_PPMV_UPPERTROP"
"""SEP-2002"",0,9.5,36.5,372.765"
"""OCT-2002"",1,9.5,36.5,372.331"
"""NOV-2002"",2,9.5,36.5,372.986"
"""DEC-2002"",3,9.5,36.5,373.642"
"""JAN-2003"",4,9.5,36.5,374.558"
"""FEB-2003"",5,9.5,36.5,375.307"
"""MAR-2003"",6,9.5,36.5,375.913"
"""APR-2003"",7,9.5,36.5,375.795"
"""MAY-2003"",8,9.5,36.5,376.391"
"""JUN-2003"",9,9.5,36.5,377.524"
"""JUL-2003"",10,9.5,36.5,376.506"
"""AUG-2003"",11,9.5,36.5,375.491"
"""SEP-2003"",12,9.5,36.5,375.357"
"""OCT-2003"",13,9.5,36.5,374.987"
"""NOV-2003"",14,9.5,36.5,376.092"
"""DEC-2003"",15,9.5,36.5,375.227"
"""JAN-2004"",16,9.5,36.5,376.543"
"""FEB-2004"",17,9.5,36.5,376.839"
"""MAR-2004"",18,9.5,36.5,376.35"
"""APR-2004"",19,9.5,36.5,377.738"
"""MAY-2004"",20,9.5,36.5,377.822"
"""JUN-2004"",21,9.5,36.5,378.607"
"""JUL-2004"",22,9.5,36.5,378.123"
"""AUG-2004"",23,9.5,36.5,376.824"
"""SEP-2004"",24,9.5,36.5,376.326"
"""OCT-2004"",25,9.5,36.5,376.69"
"""NOV-2004"",26,9.5,36.5,376.272"
"""DEC-2004"",27,9.5,36.5,377.808"
"""JAN-2005"",28,9.5,36.5,377.937"
"""FEB-2005"",29,9.5,36.5,378.858"
"""MAR-2005"",30,9.5,36.5,379.486"
"""APR-2005"",31,9.5,36.5,379.468"
"""MAY-2005"",32,9.5,36.5,380.509"
"""JUN-2005"",33,9.5,36.5,380.424"
"""JUL-2005"",34,9.5,36.5,380.027"
"""AUG-2005"",35,9.5,36.5,378.945"
"""SEP-2005"",36,9.5,36.5,378.632"
"""OCT-2005"",37,9.5,36.5,379.47"
"""NOV-2005"",38,9.5,36.5,379.388"
"""DEC-2005"",39,9.5,36.5,379.819"
"""JAN-2006"",40,9.5,36.5,380.632"
"""FEB-2006"",41,9.5,36.5,380.914"
"""MAR-2006"",42,9.5,36.5,382.093"
"""APR-2006"",43,9.5,36.5,381.821"
"""MAY-2006"",44,9.5,36.5,382.263"
"""JUN-2006"",45,9.5,36.5,382.759"
"""JUL-2006"",46,9.5,36.5,381.918"
"""AUG-2006"",47,9.5,36.5,380.976"
"""SEP-2006"",48,9.5,36.5,381.045"
