YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_RANGE,WD10M,WS50M,WS50M_RANGE,WD50M
1990,1,1,9.37,7.59,8.48,9.33,7.38,12.91,5.53,6.71,88.81,1.55,97.46,3.8,3.8,327.69,6.03,2.34,327.56
1990,1,2,7.61,6.53,7.07,7.02,7.61,12.25,4.64,6.23,91.62,1.31,97.71,3.16,2.03,297.31,4.8,1.67,297.56
1990,1,3,8.76,4.08,6.42,8.32,11.55,15.61,4.06,5.31,75.5,0.15,97.52,2.79,3.21,216.44,4.48,6.05,216.38
1990,1,4,8.78,4.08,6.43,8.51,10.89,15.07,4.19,5.25,74.06,0.31,97.17,2.84,2.08,152.94,4.91,4.02,153.88
1990,1,5,9.23,7.96,8.6,8.73,5.68,11.68,6.01,6.84,91.94,6.7,97.69,4.09,6.36,106.62,6.27,8.24,106.94
1990,1,6,9.81,7.3,8.55,9.45,5.16,13.52,8.36,6.47,85.19,6.24,98.52,2.51,2.61,200.31,4.02,4.49,199.88
1990,1,7,8.94,4.27,6.61,7.51,12.1,15.28,3.17,5.25,75.0,0.32,98.75,1.96,2.7,206.88,2.74,4.12,206.56
1990,1,8,9.1,3.05,6.08,8.1,13.6,16.39,2.79,4.82,69.12,0.09,98.82,2.83,3.83,213.62,4.33,5.55,214.69
1990,1,9,9.74,3.22,6.48,9.33,12.02,16.72,4.7,4.88,67.19,0.01,98.76,2.77,3.56,181.56,4.59,5.98,181.31
1990,1,10,8.37,6.89,7.63,8.08,6.89,12.52,5.64,6.29,90.69,11.29,98.63,2.63,1.86,137.38,4.4,4.0,137.19
1990,1,11,8.2,7.12,7.66,8.17,7.45,12.91,5.46,6.41,93.31,5.93,98.34,2.55,1.61,132.19,3.96,2.84,132.12
1990,1,12,9.58,8.84,9.21,9.34,6.25,13.26,7.01,7.26,95.38,4.5,98.13,3.77,3.52,105.38,6.04,3.77,105.88
1990,1,13,9.87,9.05,9.46,9.33,2.23,11.24,9.02,7.32,94.69,15.33,97.95,2.89,3.02,82.44,4.77,5.93,83.81
1990,1,14,9.3,7.76,8.52,9.14,6.3,13.15,6.85,6.71,90.62,4.16,98.06,3.36,4.82,132.25,5.2,5.34,133.0
1990,1,15,8.73,6.11,7.42,8.51,6.66,12.98,6.33,5.98,84.69,0.56,98.43,3.12,2.58,330.5,4.8,1.96,330.56
1990,1,16,9.28,5.89,7.58,8.91,6.85,13.6,6.74,5.86,80.69,0.2,98.8,2.05,1.31,257.38,2.98,2.19,257.56
1990,1,17,8.96,5.0,6.98,8.2,9.61,14.88,5.27,5.49,78.75,0.03,98.76,1.59,2.0,165.06,2.23,3.38,163.75
1990,1,18,8.41,3.73,6.08,7.79,9.98,14.17,4.19,5.07,75.06,0.05,98.2,2.24,1.14,273.81,3.12,2.27,258.62
1990,1,19,7.33,5.69,6.51,6.62,8.3,12.08,3.78,5.8,88.81,1.63,98.33,2.97,2.84,327.56,4.25,2.75,328.31
1990,1,20,8.03,5.18,6.6,7.83,9.57,13.54,3.98,5.62,83.88,1.23,98.83,3.09,3.08,155.12,4.66,3.41,155.56
1990,1,21,7.0,4.53,5.76,6.48,8.06,11.64,3.58,5.31,85.31,0.18,98.74,3.34,3.84,52.19,4.99,4.91,52.69
1990,1,22,8.65,7.68,8.16,8.46,4.48,10.84,6.36,6.65,93.62,15.0,98.42,5.38,3.23,53.69,7.88,3.4,55.25
1990,1,23,8.3,7.46,7.87,8.23,3.34,10.15,6.8,6.53,94.44,17.76,98.38,4.16,3.83,49.75,6.16,4.06,50.69
1990,1,24,8.33,6.62,7.48,8.03,7.66,13.16,5.51,6.16,89.94,2.17,98.46,2.9,3.19,300.19,4.27,3.09,300.69
1990,1,25,9.09,6.53,7.81,8.5,10.32,15.12,4.8,6.16,85.69,1.26,98.38,3.02,2.84,276.69,4.22,3.52,277.12
1990,1,26,9.97,6.28,8.12,9.13,14.51,18.38,3.87,6.16,80.88,0.01,98.05,3.45,4.12,262.38,5.2,5.7,262.5
1990,1,27,10.94,6.35,8.65,10.56,14.05,19.06,5.01,6.16,75.81,0.0,97.87,2.85,5.05,217.06,4.55,8.05,217.5
1990,1,28,9.64,4.38,7.01,9.26,8.64,14.18,5.54,5.37,70.19,0.01,97.48,5.16,3.36,196.56,7.93,3.98,197.94
1990,1,29,10.23,6.28,8.26,10.27,7.48,14.74,7.25,6.16,77.75,0.84,97.13,4.38,3.32,252.75,6.76,4.45,253.56
1990,1,30,10.25,6.98,8.62,10.23,10.05,15.84,5.79,6.41,82.31,0.63,97.67,5.54,4.77,282.5,8.26,5.54,283.44
1990,1,31,11.18,5.61,8.4,11.26,9.41,17.01,7.6,5.86,70.94,0.05,97.8,2.58,4.01,231.75,4.42,7.57,233.06
1990,2,1,9.63,5.12,7.37,9.59,10.29,16.26,5.97,5.68,75.0,0.54,97.46,4.23,3.5,263.38,6.6,3.7,264.0
1990,2,2,8.62,5.41,7.02,8.63,8.86,14.12,5.26,5.74,82.56,1.11,98.03,4.3,4.42,287.5,6.39,4.45,287.62
1990,2,3,10.61,6.08,8.34,10.23,14.23,18.88,4.65,5.98,76.94,0.11,98.41,2.38,3.3,184.94,3.6,5.11,187.25
1990,2,4,11.23,4.11,7.67,10.36,15.08,19.87,4.79,5.25,64.69,0.0,98.53,2.49,2.34,170.75,3.67,4.59,170.88
1990,2,5,11.54,5.11,8.33,10.72,13.43,19.58,6.16,5.55,67.62,0.0,98.59,3.02,3.66,150.62,4.6,7.27,151.5
1990,2,6,11.69,5.95,8.82,11.52,14.63,21.33,6.7,5.92,72.31,0.0,98.18,3.5,3.01,253.06,5.48,4.79,253.56
1990,2,7,11.21,8.54,9.87,11.27,10.12,17.17,7.05,7.14,85.06,0.01,98.26,3.43,3.94,300.06,5.04,3.48,300.0
1990,2,8,11.91,8.73,10.32,12.05,9.62,17.75,8.12,7.14,82.62,0.04,98.5,2.25,2.84,262.38,3.1,3.58,262.06
1990,2,9,11.39,8.62,10.01,11.62,10.91,17.76,6.85,7.14,83.75,0.04,98.44,4.21,5.89,292.62,5.97,6.8,293.5
1990,2,10,10.44,7.23,8.83,10.68,10.18,16.22,6.04,6.47,82.19,0.91,98.2,2.91,2.52,240.62,4.57,4.71,240.62
1990,2,11,10.15,7.01,8.58,10.03,11.12,16.08,4.97,6.53,82.38,0.9,97.7,4.65,4.91,266.25,7.2,4.48,267.06
1990,2,12,10.8,7.3,9.05,10.64,10.52,17.27,6.75,6.59,81.62,0.44,97.14,6.93,10.52,265.5,10.17,11.42,266.25
1990,2,13,12.37,8.41,10.4,12.39,9.73,17.93,8.19,7.08,78.56,0.34,97.24,7.92,6.1,279.62,11.07,5.48,280.69
1990,2,14,12.55,6.3,9.42,12.37,12.41,20.2,7.79,6.16,69.5,0.0,97.55,6.01,5.37,276.88,9.11,3.7,277.62
