YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,WS2M
1990,1,1,0.92,2.98,0.21,320.7,19.7,-999.0,-999.0,-999.0,-999.0,2.39
1990,1,2,2.73,3.11,0.62,274.9,50.9,-999.0,-999.0,-999.0,-999.0,1.78
1990,1,3,2.68,3.15,0.6,280.6,50.6,-999.0,-999.0,-999.0,-999.0,1.58
1990,1,4,2.02,2.98,0.45,322.5,39.6,-999.0,-999.0,-999.0,-999.0,1.7
1990,1,5,0.5,3.15,0.11,315.5,11.0,-999.0,-999.0,-999.0,-999.0,2.66
1990,1,6,2.51,3.15,0.55,290.6,47.9,-999.0,-999.0,-999.0,-999.0,1.57
1990,1,7,3.02,3.26,0.66,271.7,56.5,-999.0,-999.0,-999.0,-999.0,1.21
1990,1,8,2.5,3.23,0.55,314.3,48.1,-999.0,-999.0,-999.0,-999.0,1.67
1990,1,9,2.33,3.16,0.51,296.8,44.9,-999.0,-999.0,-999.0,-999.0,1.65
1990,1,10,2.67,3.11,0.58,305.4,50.8,-999.0,-999.0,-999.0,-999.0,1.52
1990,1,11,2.0,3.12,0.43,311.7,39.4,-999.0,-999.0,-999.0,-999.0,1.52
1990,1,12,1.73,3.06,0.37,290.0,34.4,-999.0,-999.0,-999.0,-999.0,2.41
1990,1,13,0.92,3.38,0.2,309.6,19.4,-999.0,-999.0,-999.0,-999.0,1.89
1990,1,14,1.56,3.21,0.33,317.3,31.6,-999.0,-999.0,-999.0,-999.0,2.09
1990,1,15,2.44,3.21,0.51,283.3,46.8,-999.0,-999.0,-999.0,-999.0,1.87
1990,1,16,2.19,3.2,0.45,281.5,42.9,-999.0,-999.0,-999.0,-999.0,1.21
1990,1,17,2.81,3.4,0.58,273.1,53.2,-999.0,-999.0,-999.0,-999.0,0.96
1990,1,18,3.27,3.53,0.67,267.1,61.3,-999.0,-999.0,-999.0,-999.0,1.36
1990,1,19,2.46,3.38,0.5,299.8,47.9,-999.0,-999.0,-999.0,-999.0,1.78
1990,1,20,1.95,3.56,0.39,292.2,38.8,-999.0,-999.0,-999.0,-999.0,1.84
1990,1,21,1.84,3.65,0.37,289.9,36.8,-999.0,-999.0,-999.0,-999.0,2.16
1990,1,22,0.47,3.66,0.09,287.8,10.3,-999.0,-999.0,-999.0,-999.0,3.63
1990,1,23,0.78,3.71,0.16,326.0,16.8,-999.0,-999.0,-999.0,-999.0,2.75
1990,1,24,1.1,3.46,0.22,323.5,22.8,-999.0,-999.0,-999.0,-999.0,1.74
1990,1,25,3.26,3.38,0.63,267.8,62.5,-999.0,-999.0,-999.0,-999.0,1.98
1990,1,26,3.32,3.45,0.64,272.2,63.1,-999.0,-999.0,-999.0,-999.0,2.12
1990,1,27,3.46,3.52,0.66,269.6,65.6,-999.0,-999.0,-999.0,-999.0,1.66
1990,1,28,1.18,3.92,0.23,296.1,24.6,-999.0,-999.0,-999.0,-999.0,3.43
1990,1,29,1.99,3.84,0.38,325.9,40.0,-999.0,-999.0,-999.0,-999.0,2.92
1990,1,30,2.39,3.65,0.45,313.6,46.9,-999.0,-999.0,-999.0,-999.0,3.71
1990,1,31,3.38,3.63,0.62,292.3,64.5,-999.0,-999.0,-999.0,-999.0,1.56
1990,2,1,2.93,4.04,0.53,319.2,57.3,-999.0,-999.0,-999.0,-999.0,2.73
1990,2,2,3.76,4.05,0.68,298.4,72.2,-999.0,-999.0,-999.0,-999.0,2.83
1990,2,3,3.8,3.85,0.68,270.7,71.7,-999.0,-999.0,-999.0,-999.0,1.36
1990,2,4,3.87,3.9,0.69,271.9,72.5,-999.0,-999.0,-999.0,-999.0,1.38
1990,2,5,3.91,3.94,0.69,264.8,73.1,-999.0,-999.0,-999.0,-999.0,2.0
1990,2,6,4.07,4.07,0.7,270.8,76.7,-999.0,-999.0,-999.0,-999.0,2.2
1990,2,7,1.81,4.15,0.31,323.4,37.0,-999.0,-999.0,-999.0,-999.0,2.11
1990,2,8,3.5,4.02,0.59,292.4,67.4,-999.0,-999.0,-999.0,-999.0,1.44
1990,2,9,2.95,3.75,0.5,301.9,58.1,-999.0,-999.0,-999.0,-999.0,2.83
1990,2,10,4.19,4.25,0.7,272.6,79.5,-999.0,-999.0,-999.0,-999.0,1.77
1990,2,11,2.42,4.46,0.4,307.5,48.1,-999.0,-999.0,-999.0,-999.0,2.97
1990,2,12,1.95,4.32,0.32,320.8,40.5,-999.0,-999.0,-999.0,-999.0,4.62
1990,2,13,2.0,4.34,0.32,332.5,40.6,-999.0,-999.0,-999.0,-999.0,5.42
1990,2,14,4.3,4.26,0.69,307.0,81.2,-999.0,-999.0,-999.0,-999.0,3.98
1990,2,15,4.38,4.4,0.7,279.1,82.2,-999.0,-999.0,-999.0,-999.0,3.47
1990,2,16,4.27,4.15,0.67,314.4,82.4,-999.0,-999.0,-999.0,-999.0,2.45
1990,2,17,4.44,4.31,0.7,310.5,86.5,-999.0,-999.0,-999.0,-999.0,1.45
1990,2,18,4.54,4.57,0.7,307.3,85.8,-999.0,-999.0,-999.0,-999.0,1.43
1990,2,19,4.54,4.62,0.7,285.1,86.7,-999.0,-999.0,-999.0,-999.0,1.44
