YEAR,DOY,GWETTOP,GWETROOT,GWETPROF
2021,1,0.59,0.59,0.6
2021,2,0.59,0.58,0.6
2021,3,0.59,0.58,0.6
2021,4,0.59,0.58,0.6
2021,5,0.59,0.57,0.6
2021,6,0.59,0.57,0.59
2021,7,0.58,0.57,0.59
2021,8,0.58,0.56,0.59
2021,9,0.58,0.56,0.59
2021,10,0.59,0.56,0.59
2021,11,0.6,0.57,0.59
2021,12,0.62,0.58,0.6
2021,13,0.6,0.59,0.6
2021,14,0.59,0.58,0.6
2021,15,0.6,0.58,0.6
2021,16,0.62,0.59,0.6
2021,17,0.61,0.59,0.6
2021,18,0.61,0.59,0.6
2021,19,0.6,0.59,0.6
2021,20,0.59,0.58,0.6
2021,21,0.59,0.58,0.6
2021,22,0.59,0.58,0.6
2021,23,0.62,0.59,0.61
2021,24,0.6,0.59,0.61
2021,25,0.6,0.58,0.6
2021,26,0.61,0.59,0.61
2021,27,0.59,0.58,0.61
2021,28,0.59,0.58,0.6
2021,29,0.59,0.58,0.6
2021,30,0.59,0.57,0.6
2021,31,0.6,0.57,0.6
2021,32,0.63,0.59,0.61
2021,33,0.61,0.59,0.61
2021,34,0.6,0.59,0.61
2021,35,0.59,0.58,0.61
2021,36,0.59,0.58,0.61
2021,37,0.58,0.57,0.6
2021,38,0.59,0.57,0.6
2021,39,0.59,0.57,0.6
2021,40,0.58,0.57,0.6
2021,41,0.59,0.57,0.6
2021,42,0.58,0.57,0.6
2021,43,0.58,0.56,0.6
2021,44,0.62,0.58,0.6
2021,45,0.62,0.59,0.61
2021,46,0.6,0.59,0.61
2021,47,0.59,0.58,0.61
2021,48,0.59,0.58,0.6
2021,49,0.59,0.57,0.6
2021,50,0.58,0.57,0.6
2021,51,0.57,0.56,0.6
2021,52,0.57,0.56,0.6
2021,53,0.56,0.55,0.6
2021,54,0.56,0.55,0.6
2021,55,0.56,0.55,0.59
2021,56,0.56,0.55,0.59
2021,57,0.55,0.55,0.59
2021,58,0.55,0.55,0.59
2021,59,0.55,0.55,0.59
2021,60,0.55,0.55,0.59
2021,61,0.55,0.54,0.59
2021,62,0.55,0.54,0.59
2021,63,0.55,0.54,0.59
2021,64,0.56,0.54,0.59
2021,65,0.55,0.54,0.59
2021,66,0.55,0.54,0.59
2021,67,0.55,0.54,0.59
2021,68,0.58,0.54,0.59
2021,69,0.56,0.55,0.59
2021,70,0.55,0.55,0.59
2021,71,0.55,0.54,0.59
2021,72,0.55,0.54,0.59
2021,73,0.55,0.54,0.59
2021,74,0.55,0.54,0.59
2021,75,0.56,0.54,0.59
2021,76,0.57,0.55,0.59
2021,77,0.56,0.55,0.59
2021,78,0.61,0.55,0.59
2021,79,0.72,0.59,0.6
2021,80,0.7,0.66,0.62
2021,81,0.68,0.65,0.62
2021,82,0.66,0.64,0.62
2021,83,0.65,0.62,0.62
2021,84,0.63,0.62,0.62
2021,85,0.62,0.6,0.62
2021,86,0.6,0.59,0.62
2021,87,0.59,0.59,0.62
2021,88,0.59,0.58,0.61
2021,89,0.58,0.57,0.61
2021,90,0.58,0.56,0.61
