"DATETIME,TIME,LON,LAT,TOTAL_COLUMN_OZONE"
"""OCT-2004"",12692,10.25,36.75,355.466"
"""NOV-2004"",12723,10.25,36.75,370.529"
"""DEC-2004"",12753,10.25,36.75,377.319"
"""JAN-2005"",12784,10.25,36.75,403.267"
"""FEB-2005"",12815,10.25,36.75,433.148"
"""MAR-2005"",12843,10.25,36.75,421.529"
"""APR-2005"",12874,10.25,36.75,426.84"
"""MAY-2005"",12904,10.25,36.75,406.129"
"""JUN-2005"",12935,10.25,36.75,409.772"
"""JUL-2005"",12965,10.25,36.75,375.464"
"""AUG-2005"",12996,10.25,36.75,379.346"
"""SEP-2005"",13027,10.25,36.75,366.461"
"""OCT-2005"",13057,10.25,36.75,351.071"
"""NOV-2005"",13088,10.25,36.75,351.302"
"""DEC-2005"",13118,10.25,36.75,391.221"
"""JAN-2006"",13149,10.25,36.75,401.713"
"""FEB-2006"",13180,10.25,36.75,394.75"
"""MAR-2006"",13208,10.25,36.75,410.171"
"""APR-2006"",13239,10.25,36.75,411.362"
"""MAY-2006"",13269,10.25,36.75,413.129"
"""JUN-2006"",13300,10.25,36.75,403.336"
"""JUL-2006"",13330,10.25,36.75,393.208"
"""AUG-2006"",13361,10.25,36.75,382.142"
"""SEP-2006"",13392,10.25,36.75,370.768"
"""OCT-2006"",13422,10.25,36.75,353.983"
"""NOV-2006"",13453,10.25,36.75,367.625"
"""DEC-2006"",13483,10.25,36.75,369.85"
"""JAN-2007"",13514,10.25,36.75,368.171"
"""FEB-2007"",13545,10.25,36.75,418.708"
"""MAR-2007"",13573,10.25,36.75,452.198"
"""APR-2007"",13604,10.25,36.75,438.518"
"""MAY-2007"",13634,10.25,36.75,423.533"
"""JUN-2007"",13665,10.25,36.75,395.539"
"""JUL-2007"",13695,10.25,36.75,370.442"
"""AUG-2007"",13726,10.25,36.75,367.058"
"""SEP-2007"",13757,10.25,36.75,367.586"
"""OCT-2007"",13787,10.25,36.75,368.017"
"""NOV-2007"",13818,10.25,36.75,357.086"
"""DEC-2007"",13848,10.25,36.75,375.207"
"""JAN-2008"",13879,10.25,36.75,371.75"
"""FEB-2008"",13910,10.25,36.75,402.406"
"""MAR-2008"",13939,10.25,36.75,425.172"
"""APR-2008"",13970,10.25,36.75,412.069"
"""MAY-2008"",14000,10.25,36.75,409.474"
"""JUN-2008"",14031,10.25,36.75,397.013"
"""JUL-2008"",14061,10.25,36.75,373.062"
"""AUG-2008"",14092,10.25,36.75,368.741"
"""SEP-2008"",14123,10.25,36.75,361.065"
"""OCT-2008"",14153,10.25,36.75,354.037"
"""NOV-2008"",14184,10.25,36.75,364.819"
"""DEC-2008"",14214,10.25,36.75,387.957"
"""JAN-2009"",14245,10.25,36.75,397.05"
"""FEB-2009"",14276,10.25,36.75,439.125"
"""MAR-2009"",14304,10.25,36.75,429.01"
"""APR-2009"",14335,10.25,36.75,453.167"
"""MAY-2009"",14365,10.25,36.75,425.652"
"""JUN-2009"",14396,10.25,36.75,401.17"
"""JUL-2009"",14426,10.25,36.75,379.63"
"""AUG-2009"",14457,10.25,36.75,371.988"
"""SEP-2009"",14488,10.25,36.75,373.65"
"""OCT-2009"",14518,10.25,36.75,360.1"
"""NOV-2009"",14549,10.25,36.75,353.072"
"""DEC-2009"",14579,10.25,36.75,371.678"
"""JAN-2010"",14610,10.25,36.75,413.743"
"""FEB-2010"",14641,10.25,36.75,413.691"
"""MAR-2010"",14669,10.25,36.75,422.342"
"""APR-2010"",14700,10.25,36.75,451.917"
"""MAY-2010"",14730,10.25,36.75,433.05"
"""JUN-2010"",14761,10.25,36.75,419.944"
"""JUL-2010"",14791,10.25,36.75,394.525"
"""AUG-2010"",14822,10.25,36.75,377.599"
"""SEP-2010"",14853,10.25,36.75,374.938"
"""OCT-2010"",14883,10.25,36.75,367.987"
"""NOV-2010"",14914,10.25,36.75,365.243"
"""DEC-2010"",14944,10.25,36.75,364.271"
"""JAN-2011"",14975,10.25,36.75,392.513"
"""FEB-2011"",15006,10.25,36.75,438.008"
"""MAR-2011"",15034,10.25,36.75,424.158"
"""APR-2011"",15065,10.25,36.75,407.729"
"""MAY-2011"",15095,10.25,36.75,408.545"
"""JUN-2011"",15126,10.25,36.75,393.28"
"""JUL-2011"",15156,10.25,36.75,373.389"
"""AUG-2011"",15187,10.25,36.75,371.185"
"""SEP-2011"",15218,10.25,36.75,355.825"
"""OCT-2011"",15248,10.25,36.75,352.469"
"""NOV-2011"",15279,10.25,36.75,349.444"
"""DEC-2011"",15309,10.25,36.75,363.293"
"""JAN-2012"",15340,10.25,36.75,387.195"
"""FEB-2012"",15371,10.25,36.75,429.804"
"""MAR-2012"",15400,10.25,36.75,436.917"
"""APR-2012"",15431,10.25,36.75,421.696"
"""MAY-2012"",15461,10.25,36.75,418.41"
"""JUN-2012"",15492,10.25,36.75,392.641"
"""JUL-2012"",15522,10.25,36.75,374.422"
"""AUG-2012"",15553,10.25,36.75,368.771"
"""SEP-2012"",15584,10.25,36.75,364.705"
"""OCT-2012"",15614,10.25,36.75,340.705"
"""NOV-2012"",15645,10.25,36.75,351.523"
"""DEC-2012"",15675,10.25,36.75,360.642"
"""JAN-2013"",15706,10.25,36.75,397.582"
"""FEB-2013"",15737,10.25,36.75,416.947"
"""MAR-2013"",15765,10.25,36.75,403.761"
"""APR-2013"",15796,10.25,36.75,416.142"
"""MAY-2013"",15826,10.25,36.75,407.495"
"""JUN-2013"",15857,10.25,36.75,407.739"
"""JUL-2013"",15887,10.25,36.75,392.911"
"""AUG-2013"",15918,10.25,36.75,382.495"
"""SEP-2013"",15949,10.25,36.75,377.728"
"""OCT-2013"",15979,10.25,36.75,352.44"
"""NOV-2013"",16010,10.25,36.75,374.257"
"""DEC-2013"",16040,10.25,36.75,377.196"
"""JAN-2014"",16071,10.25,36.75,409.665"
"""FEB-2014"",16102,10.25,36.75,413.069"
"""MAR-2014"",16130,10.25,36.75,443.678"
"""APR-2014"",16161,10.25,36.75,423.585"
"""MAY-2014"",16191,10.25,36.75,416.755"
"""JUN-2014"",16222,10.25,36.75,403.35"
"""JUL-2014"",16252,10.25,36.75,387.304"
"""AUG-2014"",16283,10.25,36.75,369.682"
"""SEP-2014"",16314,10.25,36.75,361.847"
"""OCT-2014"",16344,10.25,36.75,359.454"
"""NOV-2014"",16375,10.25,36.75,357.074"
"""DEC-2014"",16405,10.25,36.75,389.458"
"""JAN-2015"",16436,10.25,36.75,408.014"
