"DATETIME,TIME,LON,LAT,PRECIP"
"""JAN-1979"",65378,11.25,36.25,0.894552"
"""FEB-1979"",65409,11.25,36.25,2.94855"
"""MAR-1979"",65437,11.25,36.25,2.03312"
"""APR-1979"",65468,11.25,36.25,1.25379"
"""MAY-1979"",65498,11.25,36.25,0.103781"
"""JUN-1979"",65529,11.25,36.25,0.124245"
"""JUL-1979"",65559,11.25,36.25,0.0128524"
"""AUG-1979"",65590,11.25,36.25,0.488261"
"""SEP-1979"",65621,11.25,36.25,3.39935"
"""OCT-1979"",65651,11.25,36.25,1.13182"
"""NOV-1979"",65682,11.25,36.25,1.69836"
"""DEC-1979"",65712,11.25,36.25,0.521419"
"""JAN-1980"",65743,11.25,36.25,0.991386"
"""FEB-1980"",65774,11.25,36.25,1.29514"
"""MAR-1980"",65803,11.25,36.25,2.42043"
"""APR-1980"",65834,11.25,36.25,1.81561"
"""MAY-1980"",65864,11.25,36.25,0.716702"
"""JUN-1980"",65895,11.25,36.25,0.20103"
"""JUL-1980"",65925,11.25,36.25,0.0437883"
"""AUG-1980"",65956,11.25,36.25,0.282838"
"""SEP-1980"",65987,11.25,36.25,0.533068"
"""OCT-1980"",66017,11.25,36.25,0.930953"
"""NOV-1980"",66048,11.25,36.25,0.90319"
"""DEC-1980"",66078,11.25,36.25,3.12476"
"""JAN-1981"",66109,11.25,36.25,1.34153"
"""FEB-1981"",66140,11.25,36.25,1.54911"
"""MAR-1981"",66168,11.25,36.25,0.659228"
"""APR-1981"",66199,11.25,36.25,0.511031"
"""MAY-1981"",66229,11.25,36.25,0.667138"
"""JUN-1981"",66260,11.25,36.25,0.339021"
"""JUL-1981"",66290,11.25,36.25,0.0737537"
"""AUG-1981"",66321,11.25,36.25,0.290301"
"""SEP-1981"",66352,11.25,36.25,0.339253"
"""OCT-1981"",66382,11.25,36.25,1.15475"
"""NOV-1981"",66413,11.25,36.25,0.508511"
"""DEC-1981"",66443,11.25,36.25,1.19573"
"""JAN-1982"",66474,11.25,36.25,4.25408"
"""FEB-1982"",66505,11.25,36.25,1.38749"
"""MAR-1982"",66533,11.25,36.25,0.915172"
"""APR-1982"",66564,11.25,36.25,1.34185"
"""MAY-1982"",66594,11.25,36.25,0.662475"
"""JUN-1982"",66625,11.25,36.25,0.0231318"
"""JUL-1982"",66655,11.25,36.25,0.00280767"
"""AUG-1982"",66686,11.25,36.25,0.264448"
"""SEP-1982"",66717,11.25,36.25,0.82632"
"""OCT-1982"",66747,11.25,36.25,4.92887"
"""NOV-1982"",66778,11.25,36.25,4.22357"
"""DEC-1982"",66808,11.25,36.25,2.0076"
