"DATETIME,TIME,LON,LAT,CH4_VMR_A_"
"""JAN-2019"",0,10,37,1.89303"
"""FEB-2019"",1,10,37,1.87929"
"""MAR-2019"",2,10,37,1.87953"
"""APR-2019"",3,10,37,1.88418"
"""MAY-2019"",4,10,37,1.88709"
"""JUN-2019"",5,10,37,1.87836"
"""JUL-2019"",6,10,37,1.90048"
"""AUG-2019"",7,10,37,1.89862"
"""SEP-2019"",8,10,37,1.90176"
"""OCT-2019"",9,10,37,1.90339"
"""NOV-2019"",10,10,37,1.89373"
"""DEC-2019"",11,10,37,1.89105"
"""JAN-2020"",12,10,37,1.88546"
"""FEB-2020"",13,10,37,1.88756"
"""MAR-2020"",14,10,37,1.89908"
"""APR-2020"",15,10,37,1.89187"
"""MAY-2020"",16,10,37,1.88686"
"""JUN-2020"",17,10,37,1.9049"
"""JUL-2020"",18,10,37,1.90688"
"""AUG-2020"",19,10,37,1.90211"
"""SEP-2020"",20,10,37,1.89757"
"""OCT-2020"",21,10,37,1.91364"
"""NOV-2020"",22,10,37,1.90735"
"""DEC-2020"",23,10,37,1.89664"
"""JAN-2021"",24,10,37,1.88535"
"""FEB-2021"",25,10,37,1.88278"
"""MAR-2021"",26,10,37,1.89699"
"""APR-2021"",27,10,37,1.89396"
"""MAY-2021"",28,10,37,1.89652"
"""JUN-2021"",29,10,37,1.89082"
"""JUL-2021"",30,10,37,1.91899"
"""AUG-2021"",31,10,37,1.91852"
"""SEP-2021"",32,10,37,1.8971"
"""OCT-2021"",33,10,37,1.92062"
"""NOV-2021"",34,10,37,1.9127"
"""DEC-2021"",35,10,37,1.91038"
"""JAN-2022"",36,10,37,1.91573"
"""FEB-2022"",37,10,37,1.90642"
"""MAR-2022"",38,10,37,1.8978"
