"DATETIME,TIME,LON,LAT,CO2_PPMV_UPPERTROP"
"""SEP-2002"",0,10.5,36.5,372.04"
"""OCT-2002"",1,10.5,36.5,372.3"
"""NOV-2002"",2,10.5,36.5,372.69"
"""DEC-2002"",3,10.5,36.5,373.236"
"""JAN-2003"",4,10.5,36.5,374.212"
"""FEB-2003"",5,10.5,36.5,374.826"
"""MAR-2003"",6,10.5,36.5,375.913"
"""APR-2003"",7,10.5,36.5,375.823"
"""MAY-2003"",8,10.5,36.5,376.652"
"""JUN-2003"",9,10.5,36.5,377.437"
"""JUL-2003"",10,10.5,36.5,376.2"
"""AUG-2003"",11,10.5,36.5,375.438"
"""SEP-2003"",12,10.5,36.5,374.914"
"""OCT-2003"",13,10.5,36.5,375.026"
"""NOV-2003"",14,10.5,36.5,375.908"
"""DEC-2003"",15,10.5,36.5,375.39"
"""JAN-2004"",16,10.5,36.5,376.776"
"""FEB-2004"",17,10.5,36.5,376.586"
"""MAR-2004"",18,10.5,36.5,376.847"
"""APR-2004"",19,10.5,36.5,377.709"
"""MAY-2004"",20,10.5,36.5,378.453"
"""JUN-2004"",21,10.5,36.5,378.874"
"""JUL-2004"",22,10.5,36.5,378.299"
"""AUG-2004"",23,10.5,36.5,376.799"
"""SEP-2004"",24,10.5,36.5,376.857"
"""OCT-2004"",25,10.5,36.5,376.903"
"""NOV-2004"",26,10.5,36.5,376.277"
"""DEC-2004"",27,10.5,36.5,377.145"
"""JAN-2005"",28,10.5,36.5,378.08"
"""FEB-2005"",29,10.5,36.5,378.881"
"""MAR-2005"",30,10.5,36.5,379.584"
"""APR-2005"",31,10.5,36.5,380.111"
"""MAY-2005"",32,10.5,36.5,381.268"
"""JUN-2005"",33,10.5,36.5,381.373"
"""JUL-2005"",34,10.5,36.5,380.52"
"""AUG-2005"",35,10.5,36.5,379.457"
"""SEP-2005"",36,10.5,36.5,378.896"
"""OCT-2005"",37,10.5,36.5,379.208"
"""NOV-2005"",38,10.5,36.5,379.591"
"""DEC-2005"",39,10.5,36.5,379.37"
"""JAN-2006"",40,10.5,36.5,380.527"
"""FEB-2006"",41,10.5,36.5,380.515"
"""MAR-2006"",42,10.5,36.5,382.115"
"""APR-2006"",43,10.5,36.5,381.842"
"""MAY-2006"",44,10.5,36.5,382.767"
"""JUN-2006"",45,10.5,36.5,382.807"
"""JUL-2006"",46,10.5,36.5,382.616"
"""AUG-2006"",47,10.5,36.5,381.242"
"""SEP-2006"",48,10.5,36.5,381.235"
"""OCT-2006"",49,10.5,36.5,381.217"
"""NOV-2006"",50,10.5,36.5,381.243"
"""DEC-2006"",51,10.5,36.5,382.058"
"""JAN-2007"",52,10.5,36.5,382.954"
"""FEB-2007"",53,10.5,36.5,382.613"
"""MAR-2007"",54,10.5,36.5,383.531"
"""APR-2007"",55,10.5,36.5,383.372"
"""MAY-2007"",56,10.5,36.5,384.987"
"""JUN-2007"",57,10.5,36.5,384.529"
"""JUL-2007"",58,10.5,36.5,384.198"
"""AUG-2007"",59,10.5,36.5,383.122"
"""SEP-2007"",60,10.5,36.5,383.095"
"""OCT-2007"",61,10.5,36.5,382.561"
"""NOV-2007"",62,10.5,36.5,383.006"
"""DEC-2007"",63,10.5,36.5,383.492"
"""JAN-2008"",64,10.5,36.5,384.133"
"""FEB-2008"",65,10.5,36.5,384.861"
"""MAR-2008"",66,10.5,36.5,384.902"
"""APR-2008"",67,10.5,36.5,386.067"
"""MAY-2008"",68,10.5,36.5,386.056"
"""JUN-2008"",69,10.5,36.5,387.043"
"""JUL-2008"",70,10.5,36.5,386.006"
"""AUG-2008"",71,10.5,36.5,385.461"
"""SEP-2008"",72,10.5,36.5,384.271"
"""OCT-2008"",73,10.5,36.5,384.503"
"""NOV-2008"",74,10.5,36.5,384.938"
"""DEC-2008"",75,10.5,36.5,385.68"
"""JAN-2009"",76,10.5,36.5,385.624"
"""FEB-2009"",77,10.5,36.5,387.228"
"""MAR-2009"",78,10.5,36.5,386.972"
"""APR-2009"",79,10.5,36.5,386.925"
"""MAY-2009"",80,10.5,36.5,389.441"
"""JUN-2009"",81,10.5,36.5,389.414"
"""JUL-2009"",82,10.5,36.5,388.442"
"""AUG-2009"",83,10.5,36.5,387.711"
"""SEP-2009"",84,10.5,36.5,386.768"
"""OCT-2009"",85,10.5,36.5,386.412"
"""NOV-2009"",86,10.5,36.5,387.01"
"""DEC-2009"",87,10.5,36.5,387.189"
"""JAN-2010"",88,10.5,36.5,387.332"
"""FEB-2010"",89,10.5,36.5,388.189"
"""MAR-2010"",90,10.5,36.5,388.218"
"""APR-2010"",91,10.5,36.5,389.681"
"""MAY-2010"",92,10.5,36.5,389.414"
"""JUN-2010"",93,10.5,36.5,390.23"
"""JUL-2010"",94,10.5,36.5,390.505"
"""AUG-2010"",95,10.5,36.5,389.423"
"""SEP-2010"",96,10.5,36.5,388.118"
"""OCT-2010"",97,10.5,36.5,388.161"
"""NOV-2010"",98,10.5,36.5,388.433"
"""DEC-2010"",99,10.5,36.5,389.337"
"""JAN-2011"",100,10.5,36.5,389.945"
"""FEB-2011"",101,10.5,36.5,390.746"
"""MAR-2011"",102,10.5,36.5,391.174"
"""APR-2011"",103,10.5,36.5,391.579"
"""MAY-2011"",104,10.5,36.5,391.662"
"""JUN-2011"",105,10.5,36.5,392.107"
"""JUL-2011"",106,10.5,36.5,392.023"
"""AUG-2011"",107,10.5,36.5,390.809"
"""SEP-2011"",108,10.5,36.5,389.892"
"""OCT-2011"",109,10.5,36.5,389.91"
"""NOV-2011"",110,10.5,36.5,390.422"
"""DEC-2011"",111,10.5,36.5,390.798"
"""JAN-2012"",112,10.5,36.5,391.029"
"""FEB-2012"",113,10.5,36.5,391.295"
"""MAR-2012"",114,10.5,36.5,392.732"
"""APR-2012"",115,10.5,36.5,392.724"
"""MAY-2012"",116,10.5,36.5,394.569"
"""JUN-2012"",117,10.5,36.5,394.85"
"""JUL-2012"",118,10.5,36.5,393.641"
"""AUG-2012"",119,10.5,36.5,392.817"
"""SEP-2012"",120,10.5,36.5,391.863"
"""OCT-2012"",121,10.5,36.5,391.656"
"""NOV-2012"",122,10.5,36.5,392.555"
"""DEC-2012"",123,10.5,36.5,393.015"
"""JAN-2013"",124,10.5,36.5,392.948"
"""FEB-2013"",125,10.5,36.5,393.079"
"""MAR-2013"",126,10.5,36.5,393.627"
"""APR-2013"",127,10.5,36.5,395.263"
"""MAY-2013"",128,10.5,36.5,395.631"
"""JUN-2013"",129,10.5,36.5,397.301"
"""JUL-2013"",130,10.5,36.5,395.98"
"""AUG-2013"",131,10.5,36.5,394.747"
"""SEP-2013"",132,10.5,36.5,393.976"
"""OCT-2013"",133,10.5,36.5,394.553"
"""NOV-2013"",134,10.5,36.5,395.025"
"""DEC-2013"",135,10.5,36.5,394.988"
"""JAN-2014"",136,10.5,36.5,395.891"
"""FEB-2014"",137,10.5,36.5,396.101"
"""MAR-2014"",138,10.5,36.5,395.817"
"""APR-2014"",139,10.5,36.5,396.997"
"""MAY-2014"",140,10.5,36.5,397.673"
"""JUN-2014"",141,10.5,36.5,397.723"
"""JUL-2014"",142,10.5,36.5,397.292"
"""AUG-2014"",143,10.5,36.5,396.131"
"""SEP-2014"",144,10.5,36.5,395.598"
"""OCT-2014"",145,10.5,36.5,395.815"
"""NOV-2014"",146,10.5,36.5,395.673"
"""DEC-2014"",147,10.5,36.5,396.636"
"""JAN-2015"",148,10.5,36.5,397.814"
"""FEB-2015"",149,10.5,36.5,398.029"
"""MAR-2015"",150,10.5,36.5,398.811"
"""APR-2015"",151,10.5,36.5,399.917"
"""MAY-2015"",152,10.5,36.5,400.572"
"""JUN-2015"",153,10.5,36.5,400.771"
"""JUL-2015"",154,10.5,36.5,400.357"
"""AUG-2015"",155,10.5,36.5,399.094"
"""SEP-2015"",156,10.5,36.5,398.106"
"""OCT-2015"",157,10.5,36.5,398.273"
"""NOV-2015"",158,10.5,36.5,398.712"
"""DEC-2015"",159,10.5,36.5,399.44"
"""JAN-2016"",160,10.5,36.5,399.778"
"""FEB-2016"",161,10.5,36.5,400.099"
"""MAR-2016"",162,10.5,36.5,401.664"
"""APR-2016"",163,10.5,36.5,401.103"
"""MAY-2016"",164,10.5,36.5,402.219"
"""JUN-2016"",165,10.5,36.5,403.598"
"""JUL-2016"",166,10.5,36.5,403.063"
"""AUG-2016"",167,10.5,36.5,402.106"
"""SEP-2016"",168,10.5,36.5,401.052"
"""OCT-2016"",169,10.5,36.5,401.11"
"""NOV-2016"",170,10.5,36.5,400.811"
"""DEC-2016"",171,10.5,36.5,401.16"
"""JAN-2017"",172,10.5,36.5,402.022"
"""FEB-2017"",173,10.5,36.5,402.647"
"""MAR-2017"",174,10.5,36.5,403.967"
"""APR-2017"",175,10.5,36.5,404.636"
"""MAY-2017"",176,10.5,36.5,405.166"
"""JUN-2017"",177,10.5,36.5,405.772"
"""JUL-2017"",178,10.5,36.5,405.031"
"""AUG-2017"",179,10.5,36.5,404.099"
"""SEP-2017"",180,10.5,36.5,402.923"
"""OCT-2017"",181,10.5,36.5,403.866"
"""NOV-2017"",182,10.5,36.5,403.421"
"""DEC-2017"",183,10.5,36.5,404.406"
"""JAN-2018"",184,10.5,36.5,403.848"
"""FEB-2018"",185,10.5,36.5,404.577"
"""MAR-2018"",186,10.5,36.5,404.435"
"""APR-2018"",187,10.5,36.5,405.835"
"""MAY-2018"",188,10.5,36.5,406.272"
"""JUN-2018"",189,10.5,36.5,407.504"
"""JUL-2018"",190,10.5,36.5,406.554"
"""AUG-2018"",191,10.5,36.5,404.973"
"""SEP-2018"",192,10.5,36.5,404.802"
"""OCT-2018"",193,10.5,36.5,404.806"
"""NOV-2018"",194,10.5,36.5,406.059"
"""DEC-2018"",195,10.5,36.5,406.592"
"""JAN-2019"",196,10.5,36.5,406.195"
"""FEB-2019"",197,10.5,36.5,406.979"
"""MAR-2019"",198,10.5,36.5,409.165"
"""APR-2019"",199,10.5,36.5,408.101"
"""MAY-2019"",200,10.5,36.5,408.334"
"""JUN-2019"",201,10.5,36.5,410.509"
"""JUL-2019"",202,10.5,36.5,409.947"
"""AUG-2019"",203,10.5,36.5,408.703"
"""SEP-2019"",204,10.5,36.5,408.125"
"""OCT-2019"",205,10.5,36.5,407.817"
"""NOV-2019"",206,10.5,36.5,407.684"
"""DEC-2019"",207,10.5,36.5,408.844"
"""JAN-2020"",208,10.5,36.5,409.508"
"""FEB-2020"",209,10.5,36.5,410.156"
"""MAR-2020"",210,10.5,36.5,409.615"
"""APR-2020"",211,10.5,36.5,409.887"
"""MAY-2020"",212,10.5,36.5,411.414"
"""JUN-2020"",213,10.5,36.5,412.433"
"""JUL-2020"",214,10.5,36.5,412.959"
"""AUG-2020"",215,10.5,36.5,411.122"
"""SEP-2020"",216,10.5,36.5,408.283"
"""OCT-2020"",217,10.5,36.5,409.644"
"""NOV-2020"",218,10.5,36.5,411.145"
"""DEC-2020"",219,10.5,36.5,411.172"
"""JAN-2021"",220,10.5,36.5,410.291"
"""FEB-2021"",221,10.5,36.5,412.157"
"""MAR-2021"",222,10.5,36.5,411.932"
"""APR-2021"",223,10.5,36.5,412.647"
"""MAY-2021"",224,10.5,36.5,413.166"
"""JUN-2021"",225,10.5,36.5,412.758"
"""JUL-2021"",226,10.5,36.5,414.551"
"""AUG-2021"",227,10.5,36.5,412.572"
"""SEP-2021"",228,10.5,36.5,410.623"
"""OCT-2021"",229,10.5,36.5,410.379"
"""NOV-2021"",230,10.5,36.5,412.301"
"""DEC-2021"",231,10.5,36.5,412.322"
"""JAN-2022"",232,10.5,36.5,412.532"
"""FEB-2022"",233,10.5,36.5,412.792"
"""MAR-2022"",234,10.5,36.5,412.387"
"""APR-2022"",235,10.5,36.5,413.396"
"""MAY-2022"",236,10.5,36.5,414.886"
"""JUN-2022"",237,10.5,36.5,416.431"
"""JUL-2022"",238,10.5,36.5,416.724"
"""AUG-2022"",239,10.5,36.5,414.741"
"""SEP-2022"",240,10.5,36.5,413.106"
"""OCT-2022"",241,10.5,36.5,413.507"
"""NOV-2022"",242,10.5,36.5,413.588"
"""DEC-2022"",243,10.5,36.5,414.231"
"""JAN-2023"",244,10.5,36.5,414.399"
"""FEB-2023"",245,10.5,36.5,414.714"
"""MAR-2023"",246,10.5,36.5,415.961"
"""APR-2023"",247,10.5,36.5,416.407"
"""MAY-2023"",248,10.5,36.5,414.202"
"""JUN-2023"",249,10.5,36.5,416.654"
"""JUL-2023"",250,10.5,36.5,417.248"
"""AUG-2023"",251,10.5,36.5,416.894"
