"DATETIME,TIME,LON,LAT,TOTVAP"
"""SEP-2002"",0,10,37,30.4961"
"""OCT-2002"",1,10,37,23.3984"
"""OCT-2002"",2,10,37,19.8477"
"""DEC-2002"",3,10,37,17.2344"
"""DEC-2002"",4,10,37,14.5547"
"""JAN-2003"",5,10,37,13.4141"
"""MAR-2003"",6,10,37,14.5435"
"""APR-2003"",7,10,37,19.4121"
"""MAY-2003"",8,10,37,21.7178"
"""JUN-2003"",9,10,37,26.499"
"""JUL-2003"",10,10,37,30.127"
"""AUG-2003"",11,10,37,30.6572"
"""SEP-2003"",12,10,37,34.3984"
"""OCT-2003"",13,10,37,28.9482"
"""NOV-2003"",14,10,37,17.8311"
"""DEC-2003"",15,10,37,14.5659"
"""DEC-2003"",16,10,37,13.5356"
"""JAN-2004"",17,10,37,13.355"
"""MAR-2004"",18,10,37,15.6382"
"""APR-2004"",19,10,37,18.5986"
"""MAY-2004"",20,10,37,21.0645"
"""JUN-2004"",21,10,37,27.2803"
"""JUL-2004"",22,10,37,26.6328"
"""AUG-2004"",23,10,37,30.5146"
"""AUG-2004"",24,10,37,28.9717"
"""SEP-2004"",25,10,37,25.9346"
"""OCT-2004"",26,10,37,19.3516"
"""NOV-2004"",27,10,37,16.3525"
"""DEC-2004"",28,10,37,11.7808"
"""JAN-2005"",29,10,37,11.6797"
"""MAR-2005"",30,10,37,15.6104"
"""APR-2005"",31,10,37,18.3271"
"""MAY-2005"",32,10,37,20.4805"
"""JUN-2005"",33,10,37,26.8945"
"""JUL-2005"",34,10,37,28.6064"
"""AUG-2005"",35,10,37,31.876"
"""AUG-2005"",36,10,37,29.4766"
"""OCT-2005"",37,10,37,26.8271"
"""OCT-2005"",38,10,37,19.124"
"""DEC-2005"",39,10,37,15.0059"
"""DEC-2005"",40,10,37,12.7388"
"""JAN-2006"",41,10,37,13.1382"
"""MAR-2006"",42,10,37,15.2788"
"""APR-2006"",43,10,37,19.5732"
"""MAY-2006"",44,10,37,24.3828"
"""JUN-2006"",45,10,37,22.7656"
"""JUL-2006"",46,10,37,28.4248"
"""AUG-2006"",47,10,37,30.6631"
"""AUG-2006"",48,10,37,28.3604"
"""OCT-2006"",49,10,37,25.1035"
"""OCT-2006"",50,10,37,19.1709"
"""DEC-2006"",51,10,37,15.4346"
"""DEC-2006"",52,10,37,14.3364"
"""JAN-2007"",53,10,37,14.9702"
"""MAR-2007"",54,10,37,15.8867"
"""APR-2007"",55,10,37,20.3779"
"""MAY-2007"",56,10,37,21.748"
"""JUN-2007"",57,10,37,26.1348"
"""JUL-2007"",58,10,37,24.1123"
"""AUG-2007"",59,10,37,29.4512"
"""SEP-2007"",60,10,37,30.7373"
"""OCT-2007"",61,10,37,25.3877"
"""NOV-2007"",62,10,37,18.166"
"""DEC-2007"",63,10,37,15.3867"
"""DEC-2007"",64,10,37,14.2163"
"""JAN-2008"",65,10,37,14.1299"
"""MAR-2008"",66,10,37,15.8223"
"""APR-2008"",67,10,37,16.7422"
"""MAY-2008"",68,10,37,23.3252"
"""JUN-2008"",69,10,37,24.4102"
"""JUL-2008"",70,10,37,29.4805"
"""AUG-2008"",71,10,37,28.416"
"""AUG-2008"",72,10,37,31.0723"
"""SEP-2008"",73,10,37,26.3662"
"""OCT-2008"",74,10,37,18.3281"
"""NOV-2008"",75,10,37,14.6973"
"""DEC-2008"",76,10,37,14.8018"
"""JAN-2009"",77,10,37,12.8979"
"""MAR-2009"",78,10,37,14.5127"
"""APR-2009"",79,10,37,18.9404"
"""MAY-2009"",80,10,37,20.7852"
"""JUN-2009"",81,10,37,23.3047"
"""JUL-2009"",82,10,37,28.207"
"""AUG-2009"",83,10,37,32.4678"
"""AUG-2009"",84,10,37,31.9141"
"""OCT-2009"",85,10,37,23.6465"
"""OCT-2009"",86,10,37,18.3418"
"""DEC-2009"",87,10,37,16.4023"
"""DEC-2009"",88,10,37,15.4185"
"""JAN-2010"",89,10,37,15.5942"
"""MAR-2010"",90,10,37,16.0459"
"""APR-2010"",91,10,37,20.4932"
"""MAY-2010"",92,10,37,22.0146"
"""JUN-2010"",93,10,37,26.3311"
"""JUL-2010"",94,10,37,28.335"
"""AUG-2010"",95,10,37,30.5977"
"""AUG-2010"",96,10,37,29.6182"
"""OCT-2010"",97,10,37,24.0039"
"""OCT-2010"",98,10,37,20.6729"
"""DEC-2010"",99,10,37,15.6104"
"""DEC-2010"",100,10,37,14.1519"
"""JAN-2011"",101,10,37,12.5005"
"""MAR-2011"",102,10,37,15.7036"
"""APR-2011"",103,10,37,19.1084"
"""MAY-2011"",104,10,37,22.8926"
"""JUN-2011"",105,10,37,26.6807"
"""JUL-2011"",106,10,37,30.1035"
"""AUG-2011"",107,10,37,26.9922"
"""SEP-2011"",108,10,37,30.5225"
"""OCT-2011"",109,10,37,24.1172"
"""NOV-2011"",110,10,37,21.1436"
"""DEC-2011"",111,10,37,15.1357"
"""DEC-2011"",112,10,37,13.4854"
"""JAN-2012"",113,10,37,11.918"
"""MAR-2012"",114,10,37,14.5386"
"""APR-2012"",115,10,37,18.6934"
"""MAY-2012"",116,10,37,22.8516"
"""JUN-2012"",117,10,37,27.0146"
"""JUL-2012"",118,10,37,28.8857"
"""JUL-2012"",119,10,37,27.2148"
"""AUG-2012"",120,10,37,30.3076"
"""SEP-2012"",121,10,37,27.5928"
"""OCT-2012"",122,10,37,22.5195"
"""NOV-2012"",123,10,37,14.811"
"""DEC-2012"",124,10,37,14.0015"
"""JAN-2013"",125,10,37,13.2847"
"""MAR-2013"",126,10,37,17.5703"
"""APR-2013"",127,10,37,19.7822"
"""MAY-2013"",128,10,37,21.7002"
"""JUN-2013"",129,10,37,22.5898"
"""JUL-2013"",130,10,37,29.335"
"""AUG-2013"",131,10,37,30.1699"
"""AUG-2013"",132,10,37,33.416"
"""OCT-2013"",133,10,37,28.499"
"""OCT-2013"",134,10,37,19.2197"
"""NOV-2013"",135,10,37,15.0981"
"""DEC-2013"",136,10,37,14.4888"
"""JAN-2014"",137,10,37,13.5835"
"""MAR-2014"",138,10,37,15.0708"
"""APR-2014"",139,10,37,17.4932"
"""MAY-2014"",140,10,37,21.9551"
"""JUN-2014"",141,10,37,26.3232"
"""JUL-2014"",142,10,37,28.0986"
"""AUG-2014"",143,10,37,31.501"
"""AUG-2014"",144,10,37,30.5586"
"""OCT-2014"",145,10,37,25.7539"
"""OCT-2014"",146,10,37,20.3584"
"""DEC-2014"",147,10,37,15.186"
"""DEC-2014"",148,10,37,13.207"
"""JAN-2015"",149,10,37,13.874"
"""MAR-2015"",150,10,37,16.3701"
"""APR-2015"",151,10,37,16.6631"
"""MAY-2015"",152,10,37,20.2256"
"""JUN-2015"",153,10,37,25.1504"
"""JUL-2015"",154,10,37,28.2393"
"""AUG-2015"",155,10,37,32.9902"
"""SEP-2015"",156,10,37,31.2168"
"""OCT-2015"",157,10,37,26.7119"
"""NOV-2015"",158,10,37,20.5439"
"""DEC-2015"",159,10,37,15.2153"
"""DEC-2015"",160,10,37,15.6206"
"""JAN-2016"",161,10,37,15.7197"
"""MAR-2016"",162,10,37,14.6924"
"""APR-2016"",163,10,37,18.7803"
"""MAY-2016"",164,10,37,21.0371"
"""JUN-2016"",165,10,37,26.7637"
"""JUL-2016"",166,10,37,27.1953"
"""JUL-2016"",167,10,37,28.9775"
"""AUG-2016"",168,10,37,32.1279"
"""SEP-2016"",169,10,37,27.2764"
"""OCT-2016"",170,10,37,19.6963"
"""NOV-2016"",171,10,37,16.9814"
"""DEC-2016"",172,10,37,12.3628"
"""JAN-2017"",173,10,37,14.6689"
"""MAR-2017"",174,10,37,14.6167"
"""APR-2017"",175,10,37,17.1689"
"""MAY-2017"",176,10,37,21.1357"
"""JUN-2017"",177,10,37,25.6338"
"""JUL-2017"",178,10,37,26.3174"
"""AUG-2017"",179,10,37,28.3594"
"""AUG-2017"",180,10,37,28.082"
"""OCT-2017"",181,10,37,21.9521"
"""OCT-2017"",182,10,37,17.7588"
"""NOV-2017"",183,10,37,13.7983"
"""DEC-2017"",184,10,37,13.8813"
"""JAN-2018"",185,10,37,13.7705"
"""MAR-2018"",186,10,37,16.7207"
"""APR-2018"",187,10,37,19.4404"
"""MAY-2018"",188,10,37,24.1064"
"""JUN-2018"",189,10,37,27.7871"
"""JUL-2018"",190,10,37,27.4775"
"""AUG-2018"",191,10,37,35.2988"
"""AUG-2018"",192,10,37,34.2559"
"""OCT-2018"",193,10,37,26.1279"
"""OCT-2018"",194,10,37,18.8838"
"""DEC-2018"",195,10,37,16.0156"
"""DEC-2018"",196,10,37,12.8135"
"""JAN-2019"",197,10,37,12.4707"
"""MAR-2019"",198,10,37,13.9771"
"""APR-2019"",199,10,37,18.1689"
"""MAY-2019"",200,10,37,20.5576"
"""JUN-2019"",201,10,37,25.1934"
"""JUL-2019"",202,10,37,28.8359"
"""AUG-2019"",203,10,37,32.3828"
"""SEP-2019"",204,10,37,33.0117"
"""OCT-2019"",205,10,37,25.6562"
"""OCT-2019"",206,10,37,18.8936"
"""DEC-2019"",207,10,37,16.1152"
"""DEC-2019"",208,10,37,14.208"
"""JAN-2020"",209,10,37,14.4214"
"""MAR-2020"",210,10,37,15.8726"
"""APR-2020"",211,10,37,20.3447"
"""MAY-2020"",212,10,37,20.4541"
"""JUN-2020"",213,10,37,26.7725"
"""JUL-2020"",214,10,37,26.5"
"""JUL-2020"",215,10,37,29.585"
"""AUG-2020"",216,10,37,33.8359"
"""SEP-2020"",217,10,37,22.1504"
"""OCT-2020"",218,10,37,19.9619"
"""NOV-2020"",219,10,37,15.876"
"""DEC-2020"",220,10,37,14.7588"
"""JAN-2021"",221,10,37,13.0386"
"""MAR-2021"",222,10,37,15.144"
"""APR-2021"",223,10,37,18.4102"
"""MAY-2021"",224,10,37,23.7197"
"""JUN-2021"",225,10,37,27.6846"
"""JUL-2021"",226,10,37,26.7871"
"""AUG-2021"",227,10,37,30.1543"
"""AUG-2021"",228,10,37,32.7539"
"""OCT-2021"",229,10,37,23.4473"
"""OCT-2021"",230,10,37,18.5869"
"""NOV-2021"",231,10,37,15.0415"
"""DEC-2021"",232,10,37,12.0703"
"""JAN-2022"",233,10,37,13.7632"
"""MAR-2022"",234,10,37,14.3994"
"""APR-2022"",235,10,37,16.6318"
"""MAY-2022"",236,10,37,19.9414"
"""JUN-2022"",237,10,37,23.5615"
