YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,WS50M_RANGE,WD50M,PS,WS10M,WS10M_RANGE,WD10M,WS50M
1990,1,1,12.81,8.65,10.73,13.15,5.45,15.35,9.9,6.96,76.44,0.35,1.95,297.06,100.87,6.62,3.39,296.94,9.07
1990,1,2,11.41,7.41,9.41,11.62,5.84,15.08,9.23,6.35,77.62,0.35,2.31,315.56,101.17,5.21,2.66,315.56,7.97
1990,1,3,11.69,8.3,10.0,11.65,8.03,16.7,8.67,6.77,82.06,0.37,4.39,231.81,101.04,3.61,2.45,231.81,5.29
1990,1,4,12.24,8.6,10.42,12.2,7.23,16.44,9.22,6.96,80.31,1.52,3.7,127.19,100.82,4.14,3.42,126.94,6.19
1990,1,5,12.73,10.42,11.57,12.8,2.33,13.87,11.54,7.81,86.06,5.66,7.6,53.38,101.2,6.29,6.97,53.62,8.66
1990,1,6,12.08,8.65,10.37,12.36,3.96,14.89,10.94,6.9,80.06,4.54,2.12,193.25,102.06,3.12,2.32,194.38,4.48
1990,1,7,12.09,6.3,9.2,11.4,8.08,16.03,7.94,5.8,68.88,0.08,3.75,249.31,102.35,2.05,2.41,249.69,2.68
1990,1,8,11.75,5.03,8.39,11.67,11.3,18.01,6.7,5.37,66.44,0.16,6.7,192.69,102.42,2.71,3.74,191.81,3.9
1990,1,9,11.81,6.64,9.23,12.06,9.91,17.9,7.99,6.04,73.12,0.01,4.09,180.31,102.39,4.18,2.77,178.75,6.4
1990,1,10,11.76,10.3,11.03,11.52,3.77,13.91,10.15,7.63,90.75,10.27,3.4,111.88,102.25,2.87,1.79,111.56,4.45
1990,1,11,12.19,10.85,11.52,12.14,4.7,14.56,9.87,8.0,91.62,6.29,5.53,116.75,101.99,4.76,4.95,116.12,6.81
1990,1,12,13.36,11.19,12.27,13.22,4.77,16.31,11.55,8.18,87.25,3.69,2.21,104.0,101.82,5.81,2.89,103.69,8.35
1990,1,13,13.24,12.15,12.7,13.07,1.34,13.8,12.45,8.73,93.06,19.23,1.46,90.62,101.59,6.56,2.13,90.06,9.06
1990,1,14,12.51,9.73,11.12,12.76,5.45,15.42,9.97,7.45,83.75,2.08,3.77,124.5,101.56,5.48,4.02,124.31,7.75
1990,1,15,11.4,7.62,9.51,11.47,6.23,15.22,8.98,6.41,78.56,0.09,2.43,335.31,101.94,3.42,1.98,336.0,4.82
1990,1,16,11.37,7.3,9.33,10.69,5.77,15.07,9.3,6.23,76.88,0.01,3.32,97.0,102.36,2.34,1.77,97.12,3.12
1990,1,17,11.85,7.21,9.53,10.68,6.55,15.73,9.18,6.23,73.88,0.02,2.44,140.94,102.34,2.13,2.1,126.31,2.68
1990,1,18,10.51,6.7,8.61,10.15,8.14,15.4,7.26,6.04,79.06,0.13,3.07,285.12,101.75,2.54,2.24,285.56,3.39
1990,1,19,11.12,8.08,9.6,10.74,6.18,14.93,8.74,6.59,82.38,2.29,3.34,253.38,101.81,3.98,3.45,253.25,5.6
1990,1,20,10.8,6.94,8.87,10.62,6.9,15.2,8.3,6.1,78.5,0.36,2.7,30.12,102.4,4.32,3.15,30.06,6.02
1990,1,21,10.75,6.21,8.48,10.51,6.49,14.37,7.89,5.8,74.5,0.01,2.87,61.38,102.36,4.24,2.9,61.38,6.18
1990,1,22,12.18,9.12,10.65,11.93,4.31,14.83,10.51,7.08,81.81,0.92,1.85,73.56,102.08,5.37,3.05,73.69,8.23
1990,1,23,11.04,9.33,10.18,11.18,2.16,12.18,10.02,7.2,89.19,5.83,5.56,66.56,102.0,4.88,4.16,66.62,6.84
1990,1,24,11.65,8.82,10.23,11.29,6.12,15.14,9.03,6.96,83.5,0.33,5.47,240.75,101.96,3.0,3.24,241.38,4.26
1990,1,25,12.73,9.62,11.17,12.53,8.29,17.37,9.08,7.39,82.38,1.98,2.77,291.62,101.83,4.96,3.31,291.44,7.61
1990,1,26,12.51,9.0,10.76,12.69,11.21,18.86,7.65,7.08,81.19,0.04,3.7,258.81,101.56,4.61,3.08,258.75,6.98
1990,1,27,13.4,10.06,11.73,13.64,9.52,19.26,9.74,7.63,81.62,0.02,5.83,198.56,101.43,3.49,2.97,197.5,5.55
1990,1,28,11.42,6.78,9.1,11.78,10.71,16.8,6.1,6.16,74.44,0.0,4.03,190.81,101.06,5.4,3.18,189.12,7.59
1990,1,29,12.83,8.63,10.73,13.19,7.23,17.55,10.32,7.02,76.69,0.61,4.67,246.44,100.6,5.01,2.5,245.75,7.06
1990,1,30,13.95,9.76,11.86,13.96,5.12,17.46,12.33,7.51,77.25,0.99,3.19,290.5,101.07,7.24,3.33,289.94,9.92
1990,1,31,13.37,8.31,10.84,13.75,5.23,16.26,11.04,6.77,72.25,0.0,8.38,208.88,101.34,4.16,5.32,208.62,6.05
1990,2,1,12.16,7.51,9.83,12.58,8.0,17.36,9.35,6.41,74.19,1.02,6.45,246.25,100.97,4.38,4.7,244.75,6.53
